source,html,table_index,table_id,header_tokens,unresolved_header_tokens,th_cells,td_cells,scope_attributes
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,1,Site,81,72,5,46,5
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,2,Identity-check,24,24,2,13,2
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,3,Original-recording-interval,36,33,5,16,5
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,4,Recorded-information,54,54,3,18,3
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,5,Site,135,126,9,64,9
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,6,Stored-outcome,28,14,3,22,3
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,7,Placement,36,34,6,13,6
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,8,Measure,18,0,3,18,3
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,9,Site,117,54,9,63,9
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,10,Check,28,14,3,21,3
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,11,Stage,20,16,6,13,6
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,12,Step-and-producing-code,45,45,2,10,2
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,13,Stored_artifact,15,0,3,15,3
notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,14,Component,10,0,2,10,2
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,1,Decision,24,12,3,18,3
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,2,Stored-outcome,52,26,3,39,3
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,3,Site,323,272,8,136,8
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,4,Daily-valid-fraction-summary,25,15,3,15,3
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,5,Placement,120,90,7,71,7
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,6,Stage,306,144,8,108,8
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,7,Check,24,12,3,18,3
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,8,Files-listed,9,8,5,6,5
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,9,Step-and-producing-code,36,36,2,8,2
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,10,Stored_artifact,21,0,3,21,3
notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,11,Component,10,0,2,10,2
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,1,Decision,42,36,3,19,3
notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,2,Setting,36,24,2,25,2
