logical_order,source,html,main_count,document_ids,duplicate_ids,gt_tables,header_tokens,unresolved_header_tokens,tables_without_headers,figures,figures_missing_alt,informative_missing_alt,decorative_missing_alt,missing_alt_captioned,error_nodes,local_links,unresolved_local_links,outside_build_links
1,index.qmd,_build/nathealth/index.html,1,921,0,0,0,0,0,24,24,24,0,24,0,203,0,0
2,supplementary_information.qmd,_build/nathealth/supplementary_information.html,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,1,1183,5,14,647,486,0,0,0,0,0,0,0,14,0,0
4,notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,1,918,6,11,950,615,0,0,0,0,0,0,0,8,0,0
5,notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,1,1382,2,11,549,497,0,1,0,0,0,0,0,19,0,0
6,notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,1,2401,3,14,1075,862,0,1,0,0,0,0,0,5,0,0
7,notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,1,1082,0,9,400,342,0,0,0,0,0,0,0,5,0,0
8,notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,1,2629,14,19,1818,1518,0,1,0,0,0,0,0,6,0,0
9,notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,1,1238,2,7,306,187,0,3,0,0,0,0,0,7,0,0
10,notebooks/placement_decision.qmd,_build/nathealth/notebooks/placement_decision.html,1,78,0,0,0,0,0,0,0,0,0,0,0,4,0,0
11,notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,1,988,31,8,2813,1002,0,23,17,0,17,17,0,10,0,0
12,notebooks/preregistration_deviations.qmd,_build/nathealth/notebooks/preregistration_deviations.html,1,135,0,0,0,0,0,0,0,0,0,0,0,63,0,0
13,notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,1,3339,0,36,11084,0,0,10,0,0,0,0,0,123,0,0
14,audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,1,2417,0,20,1442,0,0,2,0,0,0,0,0,701,0,0
15,notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,1,273,0,15,530,0,0,5,0,0,0,0,0,43,0,0
16,audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,1,2411,0,16,527,0,0,4,0,0,0,0,0,721,0,0
17,notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,1,208,0,14,1082,0,0,8,0,0,0,0,0,47,0,0
18,audit/hypotheses/H03/H03_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,1,3546,0,27,1537,0,0,4,0,0,0,0,0,1141,0,0
19,notebooks/hypotheses/H04.qmd,_build/nathealth/notebooks/hypotheses/H04.html,1,256,0,17,1164,0,0,7,0,0,0,0,0,45,0,0
20,audit/hypotheses/H04/H04_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,1,4381,0,37,1968,0,0,4,0,0,0,0,0,1403,0,0
21,notebooks/hypotheses/H05.qmd,_build/nathealth/notebooks/hypotheses/H05.html,1,644,0,30,2514,0,0,7,0,0,0,0,0,89,0,0
22,audit/hypotheses/H05/H05_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,1,3500,0,22,1925,0,0,3,0,0,0,0,0,1151,0,0
23,notebooks/hypotheses/H06.qmd,_build/nathealth/notebooks/hypotheses/H06.html,1,1810,0,13,406,0,0,6,0,0,0,0,0,75,0,0
24,audit/hypotheses/H06/H06_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,1,2807,0,30,1142,0,1,3,0,0,0,0,0,823,0,0
25,notebooks/hypotheses/H06_daily.qmd,_build/nathealth/notebooks/hypotheses/H06_daily.html,1,231,0,14,1293,0,0,5,0,0,0,0,0,40,0,0
26,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,1,584,0,17,1193,0,0,1,0,0,0,0,0,357,0,0
27,notebooks/hypotheses/H07.qmd,_build/nathealth/notebooks/hypotheses/H07.html,1,243,0,11,965,0,0,2,0,0,0,0,0,18,0,0
28,audit/hypotheses/H07/H07_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html,1,2001,0,21,1144,0,0,2,0,0,0,0,0,404,0,0
29,notebooks/hypotheses/H08.qmd,_build/nathealth/notebooks/hypotheses/H08.html,1,281,0,15,864,0,0,5,0,0,0,0,0,115,0,0
30,audit/hypotheses/H08/H08_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,1,2462,0,19,1581,0,0,3,0,0,0,0,0,737,0,0
31,notebooks/hypotheses/H09.qmd,_build/nathealth/notebooks/hypotheses/H09.html,1,142,0,11,505,0,0,4,0,0,0,0,0,25,0,0
32,audit/hypotheses/H09/H09_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,1,2111,0,19,831,0,0,1,0,0,0,0,0,629,0,0
33,notebooks/hypotheses/H10.qmd,_build/nathealth/notebooks/hypotheses/H10.html,1,214,0,15,1038,0,0,8,0,0,0,0,0,30,0,0
34,audit/hypotheses/H10/H10_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,1,2075,0,19,1050,0,0,2,0,0,0,0,0,448,0,0
35,notebooks/hypotheses/H11.qmd,_build/nathealth/notebooks/hypotheses/H11.html,1,271,0,15,584,0,0,8,0,0,0,0,0,36,0,0
