source_html,href,resolved_target,inside_build,target_exists,fragment,fragment_resolves,resolved
_build/nathealth/index.html,#ref-aschoff1965,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-aschoff1965,TRUE,TRUE
_build/nathealth/index.html,#ref-wirz-justice2022,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-wirz-justice2022,TRUE,TRUE
_build/nathealth/index.html,#ref-brown2020,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-brown2020,TRUE,TRUE
_build/nathealth/index.html,#ref-spitschan2026,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-spitschan2026,TRUE,TRUE
_build/nathealth/index.html,#ref-argentieri2025,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-argentieri2025,TRUE,TRUE
_build/nathealth/index.html,#ref-spitschan2026a,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-spitschan2026a,TRUE,TRUE
_build/nathealth/index.html,#ref-didikoglu2023,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-didikoglu2023,TRUE,TRUE
_build/nathealth/index.html,#ref-windred2024a,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-windred2024a,TRUE,TRUE
_build/nathealth/index.html,#ref-price2021,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-price2021,TRUE,TRUE
_build/nathealth/index.html,#ref-huss2019,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-huss2019,TRUE,TRUE
_build/nathealth/index.html,#ref-brown2020,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-brown2020,TRUE,TRUE
_build/nathealth/index.html,#ref-cies02,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-cies02,TRUE,TRUE
_build/nathealth/index.html,#ref-brown2022,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-brown2022,TRUE,TRUE
_build/nathealth/index.html,#ref-biller2025,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-biller2025,TRUE,TRUE
_build/nathealth/index.html,#ref-spitschan2026a,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-spitschan2026a,TRUE,TRUE
_build/nathealth/index.html,#ref-price2021,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-price2021,TRUE,TRUE
_build/nathealth/index.html,#ref-esaki2020,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-esaki2020,TRUE,TRUE
_build/nathealth/index.html,#ref-kim2022,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-kim2022,TRUE,TRUE
_build/nathealth/index.html,#ref-lok2024,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-lok2024,TRUE,TRUE
_build/nathealth/index.html,#ref-biller2025,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-biller2025,TRUE,TRUE
_build/nathealth/index.html,#ref-didikoglu2023,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-didikoglu2023,TRUE,TRUE
_build/nathealth/index.html,#ref-windred2024a,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-windred2024a,TRUE,TRUE
_build/nathealth/index.html,#ref-spitschan2026,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-spitschan2026,TRUE,TRUE
_build/nathealth/index.html,#ref-zauner2026,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-zauner2026,TRUE,TRUE
_build/nathealth/index.html,#ref-spitschan2024,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-spitschan2024,TRUE,TRUE
_build/nathealth/index.html,#ref-guidolin2024,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-guidolin2024,TRUE,TRUE
_build/nathealth/index.html,#ref-zauner2026a,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,ref-zauner2026a,TRUE,TRUE
_build/nathealth/index.html,#fig-overview,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,TRUE,fig-overview,TRUE,TRUE
