path,expected_sha256,actual_sha256,expected_bytes,actual_bytes,status
assets/reference.docx,8c0cf634a4958aa05412de3f5f15aa92c40cbb5331a2319f761530472697e15f,8c0cf634a4958aa05412de3f5f15aa92c40cbb5331a2319f761530472697e15f,60429,60429,PASS
manuscript/R0_NatMed/ZaunerEtAl2026_NatMed.docx,9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35,9cd2e1ffb1395337528db4e3151a8fbbb3ab4be8352852424bda06aca9527e35,10063517,10063517,PASS
manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0,80774,80774,PASS
manuscript/R0_NatHealth/_quarto.yml,2aa2911f13d4532aa8ce98e38363a5c92b1d2bdc025b3c8bba49950077e76b33,2aa2911f13d4532aa8ce98e38363a5c92b1d2bdc025b3c8bba49950077e76b33,435,435,PASS
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac,30881505,30881505,PASS
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,07ff074d4bd4124656063f69a2437b4c646a8240ad771ce94d30339f41d0604c,07ff074d4bd4124656063f69a2437b4c646a8240ad771ce94d30339f41d0604c,28749374,28749374,PASS
scripts/manuscript_nature_health/prepare_word_manuscript.py,0e6310467104be48993ca00f63d18e8e0b6d9ac7b59605ac18f749ee250a8d9c,0e6310467104be48993ca00f63d18e8e0b6d9ac7b59605ac18f749ee250a8d9c,25939,25939,PASS
manuscript/R0_NatHealth/references_merged.bib,4972d8011fd9ccd2067e5e583a9bbc8846a825218ca7b4b574bcc6bd4bea1c06,4972d8011fd9ccd2067e5e583a9bbc8846a825218ca7b4b574bcc6bd4bea1c06,51953,51953,PASS
manuscript/R0_NatHealth/manuscript_displays.css,5974136901a8325e831e932a3999382532acfcf94508f428b23bc8f5de3ffc98,5974136901a8325e831e932a3999382532acfcf94508f428b23bc8f5de3ffc98,4397,4397,PASS
tests/manuscript_nature_health/validate_current_revision.R,adf639878cca1bd1dff5886a50f839c39529732e3a75f4183011d3aadf65f354,adf639878cca1bd1dff5886a50f839c39529732e3a75f4183011d3aadf65f354,23841,23841,PASS
