logical_order,path,expected_sha256,actual_sha256,status
1,_build/nathealth/index.html,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,PASS
2,_build/nathealth/supplementary_information.html,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,PASS
3,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,PASS
4,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,PASS
5,_build/nathealth/notebooks/preparation/03_reference_profiles.html,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,PASS
6,_build/nathealth/notebooks/preparation/04_metric_derivation.html,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,PASS
7,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,PASS
8,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,PASS
9,_build/nathealth/notebooks/preparation/07_example_days.html,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,PASS
10,_build/nathealth/notebooks/placement_decision.html,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,PASS
