page,orientation,pdf_width_points,pdf_height_points,png_width_pixels,png_height_pixels,text_characters,text_lines,pdf_images,nonwhite_fraction,content_bbox_pixels,characters_outside_page,first_line,last_line,blank_candidate
1,portrait,595.304,841.89,1414,2000,475,28,0,0.02483,"107,181,1227,1876",0,The multiscale architecture of personal,2,False
2,portrait,595.304,841.89,1414,2000,1841,31,0,0.068806,"106,175,1239,1876",0,25 María Concepción Pérez Gutiérrez,4,False
3,portrait,595.304,841.89,1414,2000,2551,34,0,0.093538,"107,173,1239,1877",0,54 daytime schedules8. These physiology-based ranges make daily light a health-,6,False
4,portrait,595.304,841.89,1414,2000,2116,32,0,0.083238,"92,175,1237,1877",0,86 contributions define the multiscale architecture of personal light exposure. Although,8,False
5,portrait,595.304,841.89,1414,2000,1000,16,1,0.129193,"92,171,1232,1877",0,114,10,False
6,landscape,841.89,595.304,2000,1414,506,7,1,0.233603,"0,108,1904,1290",5,"128 Table 1: Participant and measurement characteristics overall and by country-coded study site. The table distinguishes the 191-person roster,",12,False
7,landscape,841.89,595.304,2000,1414,9,3,1,0.14672,"0,94,1903,1290",1,133,14,False
8,portrait,595.304,841.89,1414,2000,2490,34,0,0.092955,"92,175,1240,1877",0,"134 Recommendation-range coverage differed across windows. Of 573,712 waking",16,False
9,portrait,595.304,841.89,1414,2000,394,7,0,0.014651,"92,175,1235,1877",0,"166 percentage points of variance, compared with a 2.2-point participant-intercept",18,False
10,landscape,841.89,595.304,2000,1414,1162,11,0,0.044404,"0,108,1912,1291",9,"171 Table 2: Recommendation adherence by Brown et al. recommendation window and day type. Daytime, Pre-sleep and Sleep identify the",20,False
11,landscape,841.89,595.304,2000,1414,10,3,1,0.147798,"0,113,1903,1290",1,180,22,False
12,portrait,595.304,841.89,1414,2000,2418,35,0,0.09178,"91,175,1235,1876",0,181 A separate exploratory analysis related adherence across recommendation,24,False
13,portrait,595.304,841.89,1414,2000,767,11,0,0.027888,"91,175,1233,1877",0,212 10:30 and 0.40 to 0.57 from 17:30 to 20:30. Izmir (TR) shifted from 0.51 to 0.59 at,26,False
14,portrait,595.304,841.89,1414,2000,1038,17,1,0.139779,"91,178,1241,1877",0,221,28,False
15,portrait,595.304,841.89,1414,2000,2495,33,0,0.091259,"91,175,1239,1877",0,"235 brightest- and darkest-10-hour midpoints, and the mean and last timing above 250",30,False
16,portrait,595.304,841.89,1414,2000,118,4,0,0.00502,"91,175,1096,1877",0,"266 specific results are summarised in Table 3 , Supplementary Figure S7 and",32,False
17,landscape,841.89,595.304,2000,1414,1007,9,0,0.037448,"0,108,1913,1291",7,268 Table 3: Near-eye personal light-exposure metrics and their geographic and photoperiod context. Descriptive exposure values are medians with,34,False
18,landscape,841.89,595.304,2000,1414,10,3,1,0.229973,"0,109,1903,1291",1,275,36,False
19,landscape,841.89,595.304,2000,1414,10,3,1,0.20165,"0,94,1903,1291",1,276,38,False
20,landscape,841.89,595.304,2000,1414,10,3,1,0.213519,"0,94,1903,1291",1,277,40,False
21,landscape,841.89,595.304,2000,1414,10,3,1,0.227738,"0,95,1879,1290",1,278,42,False
