page,orientation,pdf_width_points,pdf_height_points,png_width_pixels,png_height_pixels,text_characters,text_lines,pdf_images,nonwhite_fraction,content_bbox_pixels,characters_outside_page,first_line,last_line,blank_candidate
1,portrait,595.304,841.89,1414,2000,529,29,0,0.024548,"132,181,1227,1821",0,The multiscale architecture of personal,1,False
2,portrait,595.304,841.89,1414,2000,2573,34,0,0.082183,"131,174,1242,1821",0,27 Oliver Stefani,2,False
3,portrait,595.304,841.89,1414,2000,2731,36,0,0.090019,"132,174,1232,1822",0,"60 relevance but mostly measured broad-spectrum light at the wrist or bedside, providing only",3,False
4,portrait,595.304,841.89,1414,2000,1110,14,0,0.037025,"117,174,1240,1821",0,93 measurements are non-ocular; both describe the bedside sleep environment during reported,4,False
5,portrait,595.304,841.89,1414,2000,996,15,1,0.129074,"117,171,1232,1822",0,106,5,False
6,landscape,841.89,595.304,2000,1414,501,6,1,0.233446,"23,108,1904,1236",0,"120 Table 1: Participant and measurement characteristics overall and by country-coded study site. The table distinguishes the 191-person roster,",6,False
7,landscape,841.89,595.304,2000,1414,4,2,1,0.146563,"23,94,1903,1235",0,125,7,False
8,portrait,595.304,841.89,1414,2000,2865,35,0,0.091882,"117,174,1234,1822",0,"126 Recommendation-range coverage differed across windows. Of 573,712 waking daytime",8,False
9,landscape,841.89,595.304,2000,1414,1156,10,0,0.044453,"23,108,1912,1236",0,"160 Table 2: Recommendation adherence by Brown et al. recommendation window and day type. Daytime, Pre-sleep and Sleep identify the",9,False
10,landscape,841.89,595.304,2000,1414,5,2,1,0.147653,"23,113,1903,1236",0,169,10,False
11,portrait,595.304,841.89,1414,2000,2837,36,0,0.091815,"116,174,1236,1821",0,170 A separate exploratory analysis related adherence across recommendation windows. Within,11,False
12,portrait,595.304,841.89,1414,2000,326,5,0,0.010676,"116,174,1242,1821",0,"203 comparisons supported the combined participant-plus-day ordering, but the participant-only",12,False
13,portrait,595.304,841.89,1414,2000,1044,16,1,0.13904,"116,178,1223,1822",0,207,13,False
14,portrait,595.304,841.89,1414,2000,2580,31,0,0.081317,"116,174,1237,1821",0,"221 and darkest-10-hour midpoints, and the mean and last timing above 250 lx. They were not",14,False
15,landscape,841.89,595.304,2000,1414,1002,8,0,0.037419,"22,108,1913,1236",0,251 Table 3: Near-eye personal light-exposure metrics and their geographic and photoperiod context. Descriptive exposure values are medians with,15,False
16,landscape,841.89,595.304,2000,1414,5,2,1,0.229815,"22,109,1903,1236",0,258,16,False
17,landscape,841.89,595.304,2000,1414,5,2,1,0.201479,"22,94,1903,1235",0,259,17,False
18,landscape,841.89,595.304,2000,1414,5,2,1,0.213385,"22,94,1903,1236",0,260,18,False
19,landscape,841.89,595.304,2000,1414,5,2,1,0.227607,"22,95,1879,1236",0,261,19,False
20,portrait,595.304,841.89,1414,2000,2887,35,0,0.093989,"116,177,1241,1822",0,Immediate environments and routines reorganise exposure,20,False
21,portrait,595.304,841.89,1414,2000,1964,23,0,0.06216,"116,174,1242,1821",0,"295 influenced the magnitude, but not the direction, of this contrast. Supplementary Figure S8",21,False
22,portrait,595.304,841.89,1414,2000,5,2,1,0.072396,"116,177,1002,1821",0,317,22,False
23,portrait,595.304,841.89,1414,2000,2910,35,0,0.098199,"116,175,1241,1822",0,318 Figure 3: Personal light exposure by immediate setting across time of day and study,23,False
24,portrait,595.304,841.89,1414,2000,2695,37,0,0.092204,"116,177,1236,1821",0,Person-level correlates are selective,24,False
25,portrait,595.304,841.89,1414,2000,2828,35,0,0.091311,"115,174,1243,1822",0,385 chest dataset of 154 participants and 902 participant-days broadened coverage beyond the,25,False
26,portrait,595.304,841.89,1414,2000,2970,35,0,0.094525,"115,174,1240,1822",0,"418 bedside limit, while 87.7% of pooled bedside sleep-environment minutes met it. These",26,False
27,portrait,595.304,841.89,1414,2000,2998,36,0,0.096516,"115,174,1240,1821",0,"452 latitude, season, weather, temperature, culture, mobility and the built environment entangled.",27,False
28,portrait,595.304,841.89,1414,2000,2799,36,0,0.091557,"115,174,1241,1822",0,"487 Several limitations qualify these findings. Modest site samples limit site estimates,",28,False
