page,orientation,pdf_width_points,pdf_height_points,png_width_pixels,png_height_pixels,text_characters,text_lines,pdf_images,nonwhite_fraction,content_bbox_pixels,characters_outside_page,first_line,last_line,blank_candidate
1,portrait,595.304,841.89,1414,2000,532,30,0,0.024625,"132,181,1227,1880",0,The multiscale architecture of personal,2,False
2,portrait,595.304,841.89,1414,2000,2576,35,0,0.082271,"131,174,1242,1880",0,27 Oliver Stefani,4,False
3,portrait,595.304,841.89,1414,2000,2734,37,0,0.090118,"132,174,1232,1881",0,"60 relevance but mostly measured broad-spectrum light at the wrist or bedside, providing only",6,False
4,portrait,595.304,841.89,1414,2000,1113,15,0,0.037114,"117,174,1240,1881",0,93 measurements are non-ocular; both describe the bedside sleep environment during reported,8,False
5,portrait,595.304,841.89,1414,2000,1000,16,1,0.129215,"117,171,1232,1881",0,106,10,False
6,landscape,841.89,595.304,2000,1414,506,7,1,0.233587,"23,108,1904,1294",0,"120 Table 1: Participant and measurement characteristics overall and by country-coded study site. The table distinguishes the 191-person roster,",12,False
7,landscape,841.89,595.304,2000,1414,9,3,1,0.146715,"23,94,1903,1294",0,125,14,False
8,portrait,595.304,841.89,1414,2000,2870,36,0,0.092044,"117,174,1234,1881",0,"126 Recommendation-range coverage differed across windows. Of 573,712 waking daytime",16,False
9,landscape,841.89,595.304,2000,1414,1161,11,0,0.044606,"23,108,1912,1295",0,"160 Table 2: Recommendation adherence by Brown et al. recommendation window and day type. Daytime, Pre-sleep and Sleep identify the",18,False
10,landscape,841.89,595.304,2000,1414,10,3,1,0.147834,"23,113,1903,1295",0,169,20,False
11,portrait,595.304,841.89,1414,2000,2842,37,0,0.091978,"116,174,1236,1880",0,170 A separate exploratory analysis related adherence across recommendation windows. Within,22,False
12,portrait,595.304,841.89,1414,2000,331,6,0,0.01085,"116,174,1242,1880",0,"203 comparisons supported the combined participant-plus-day ordering, but the participant-only",24,False
13,portrait,595.304,841.89,1414,2000,1049,17,1,0.139224,"116,178,1223,1881",0,207,26,False
14,portrait,595.304,841.89,1414,2000,2585,32,0,0.081492,"116,174,1237,1881",0,"221 and darkest-10-hour midpoints, and the mean and last timing above 250 lx. They were not",28,False
15,landscape,841.89,595.304,2000,1414,1007,9,0,0.037615,"22,108,1913,1295",0,251 Table 3: Near-eye personal light-exposure metrics and their geographic and photoperiod context. Descriptive exposure values are medians with,30,False
16,landscape,841.89,595.304,2000,1414,10,3,1,0.229989,"22,109,1903,1295",0,258,32,False
17,landscape,841.89,595.304,2000,1414,10,3,1,0.201663,"22,94,1903,1295",0,259,34,False
18,landscape,841.89,595.304,2000,1414,10,3,1,0.213581,"22,94,1903,1295",0,260,36,False
19,landscape,841.89,595.304,2000,1414,10,3,1,0.227792,"22,95,1879,1295",0,261,38,False
20,portrait,595.304,841.89,1414,2000,2892,36,0,0.094187,"116,177,1241,1881",0,Immediate environments and routines reorganise exposure,40,False
