"link_text","href","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden","known_hold","pass"
"Hypothesis analyses","../../../notebooks/hypotheses/H01.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../../audit/hypotheses/H01/H01_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Nature Health analysis and manuscript","../../../","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Manuscript","../../../index.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Supplementary information","../../../supplementary_information.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/../../../supplementary_information.html",FALSE,"",FALSE,FALSE,TRUE,TRUE
"01 Import and state alignment","../../../notebooks/preparation/01_import_state_alignment.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"02 Coverage and sample flow","../../../notebooks/preparation/02_coverage_sample_flow.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"03 Reference profiles","../../../notebooks/preparation/03_reference_profiles.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"04 Metric derivation","../../../notebooks/preparation/04_metric_derivation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"05 Model-input acquisition","../../../notebooks/preparation/05_model_input_acquisition.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"06 Model-ready datasets","../../../notebooks/preparation/06_model_ready_datasets.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"07 Example days","../../../notebooks/preparation/07_example_days.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Placement decision","../../../notebooks/placement_decision.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Descriptive results","../../../notebooks/descriptives.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"Preregistration deviations","../../../notebooks/preregistration_deviations.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 results","../../../notebooks/hypotheses/H01.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H01 preparation and provenance","../../../audit/hypotheses/H01/H01_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H02 results","../../../notebooks/hypotheses/H02.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H02 preparation and provenance","../../../audit/hypotheses/H02/H02_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H03 results","../../../notebooks/hypotheses/H03.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H03.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H03 preparation and provenance","../../../audit/hypotheses/H03/H03_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H04 results","../../../notebooks/hypotheses/H04.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H04.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H04 preparation and provenance","../../../audit/hypotheses/H04/H04_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H05 results","../../../notebooks/hypotheses/H05.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H05.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H05 preparation and provenance","../../../audit/hypotheses/H05/H05_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 results","../../../notebooks/hypotheses/H06.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 preparation and provenance","../../../audit/hypotheses/H06/H06_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 complementary daily results","../../../notebooks/hypotheses/H06_daily.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H06 complementary daily preparation and provenance","../../../audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H07 results","../../../notebooks/hypotheses/H07.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H07 preparation and provenance","../../../audit/hypotheses/H07/H07_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H08 results","../../../notebooks/hypotheses/H08.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H08.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H08 preparation and provenance","../../../audit/hypotheses/H08/H08_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H09 results","../../../notebooks/hypotheses/H09.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H09.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H09 preparation and provenance","../../../audit/hypotheses/H09/H09_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H10 results","../../../notebooks/hypotheses/H10.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H10.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H10 preparation and provenance","../../../audit/hypotheses/H10/H10_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H11 results","../../../notebooks/hypotheses/H11.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H11.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
"H11 preparation and provenance","../../../audit/hypotheses/H11/H11_analysis_preparation.html","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html",TRUE,"",TRUE,FALSE,FALSE,TRUE
