"path","role","sha256","bytes","producer","r_version","current_sha256","current_bytes","live_exact"
"scripts/hypotheses/H01/archive_h01_pre_sleep_tweedie_baseline.R","H01_code","90a5d2cae47fd865bed31388d1078c321f3aaba395d97d4d0bb957f5458ab7fe",7602,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","90a5d2cae47fd865bed31388d1078c321f3aaba395d97d4d0bb957f5458ab7fe",7602,TRUE
"scripts/hypotheses/H01/assess_h01_response_family_candidates.R","H01_code","912ae884a8ef13d0ed67a96905eca243fb7b2560f2f34ff7b6d1a555544f5dec",33717,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","912ae884a8ef13d0ed67a96905eca243fb7b2560f2f34ff7b6d1a555544f5dec",33717,TRUE
"scripts/hypotheses/H01/audit_h01_l10_METRIC011.R","H01_code","711dbfc8f9ca9ed10957271b8bf44fb34369b59dcd4201211f8c030f5abb4cf8",31911,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","711dbfc8f9ca9ed10957271b8bf44fb34369b59dcd4201211f8c030f5abb4cf8",31911,TRUE
"scripts/hypotheses/H01/audit_h01_major_gates.R","H01_code","978c47c8baafd6900ed214e088bfa43c81348403c4b695379d0496bfe20c100b",10412,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","978c47c8baafd6900ed214e088bfa43c81348403c4b695379d0496bfe20c100b",10412,TRUE
"scripts/hypotheses/H01/audit_h01_mder_METRIC010.R","H01_code","f87e674a7da27165676170afb9dbeeb8d0cfb5cf441dc1a74815435b5db8f329",36568,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","f87e674a7da27165676170afb9dbeeb8d0cfb5cf441dc1a74815435b5db8f329",36568,TRUE
"scripts/hypotheses/H01/audit_h01_postbootstrap_response_families.R","H01_code","b5ab40b93ab8a3d9c4cc43f917c84b2ed1cee6128d86dc373a2c284e70c1fdf3",7654,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","b5ab40b93ab8a3d9c4cc43f917c84b2ed1cee6128d86dc373a2c284e70c1fdf3",7654,TRUE
"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","H01_code","da6e5c743d8eb693b35453b7a67344fb012344144697d2d0c0b94a0d91cbdcbf",8460,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","da6e5c743d8eb693b35453b7a67344fb012344144697d2d0c0b94a0d91cbdcbf",8460,TRUE
"scripts/hypotheses/H01/build_h01_reporting_inputs.R","H01_code","8d331dd3c8c1c5f2bc70c074d482481a7667b20d215f31a8e1248530da2096b3",38210,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","8d331dd3c8c1c5f2bc70c074d482481a7667b20d215f31a8e1248530da2096b3",38210,TRUE
"scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R","H01_code","39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc",68626,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc",68626,TRUE
"scripts/hypotheses/H01/build_h01_worker_manifest.R","H01_code","1bcfdc0eaee6a7d63e16368b87a33e3b0499789a756af1f551594d6f2d6f8a63",2538,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","1bcfdc0eaee6a7d63e16368b87a33e3b0499789a756af1f551594d6f2d6f8a63",2538,TRUE
"scripts/hypotheses/H01/extract_h01_v0_results.R","H01_code","a2da4fa2e9d1b9c0fda10dc6890f6fb6f8f71456d5346cbd8795fb257447a63e",15430,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","a2da4fa2e9d1b9c0fda10dc6890f6fb6f8f71456d5346cbd8795fb257447a63e",15430,TRUE
"scripts/hypotheses/H01/h01_contract.R","H01_code","dfa35f7c8a1ca8a1f2132c6930a8ac219c461ffac769a7423bf85522430da81a",10553,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","dfa35f7c8a1ca8a1f2132c6930a8ac219c461ffac769a7423bf85522430da81a",10553,TRUE
"scripts/hypotheses/H01/h01_modeling.R","H01_code","a8879209e0d7c42f2e0de0d459e3cfbf7218cec27afd8f39a50c846ed43f9388",54282,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","a8879209e0d7c42f2e0de0d459e3cfbf7218cec27afd8f39a50c846ed43f9388",54282,TRUE
"scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R","H01_code","46a61393e97afa0a32219506b96dea8e6de31d2493cb94cbcedf3eb12b1fc5ac",25064,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","46a61393e97afa0a32219506b96dea8e6de31d2493cb94cbcedf3eb12b1fc5ac",25064,TRUE
"scripts/hypotheses/H01/integrate_h01_l10_METRIC011_reporting.R","H01_code","3b4249b57d57242e887bfab18dd86efd177e1979911678ac5df2e199680d4a5b",61648,"scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","4.6.1","3b4249b57d57242e887bfab18dd86efd177e1979911678ac5df2e199680d4a5b",61648,TRUE
