"check","evidence","status"
"desktop_1440x1000","Full-page and focused screenshots; no clipping, overlap, or distorted text","PASS"
"narrow_708x1000","Full-page and focused screenshots; document width 693 equals scroll width 693","PASS"
"detailed_200_percent_equivalent","720 by 500 CSS viewport gives the 1440 by 1000 screen's 200 percent content geometry","PASS"
"native_gt_tables","20 endpoints retained; 19 visible plus one inactive tab panel; 12 px table text","PASS"
"sample_tabset","Near-eye and chest tables both inspected and readable","PASS"
"horizontal_scroller","Table 18 moved from scrollLeft 0 to 75 of 75; table 19 has the same contained geometry","PASS"
"figures_final_display","Both figures fit within the reader column and retain readable labels and legends","PASS"
"figures_original_size","Both 2016 by 1497 PNGs inspected directly","PASS"
"mermaid","Top-to-bottom dependency map is complete, bounded, and readable","PASS"
"callouts_and_headings","Hierarchy, notes, captions, and explanatory text are visible and unobstructed","PASS"
"links_and_navigation","Active companion navigation, reciprocal result links, and two source-data links resolve structurally","PASS"
"browser_console","No warning or error entries","PASS"
"page_overflow","No document-level horizontal overflow at desktop, narrow, or detailed geometry","PASS"
