"path","expected_sha256","current_sha256","current_bytes","status"
"audit/report_harmonization/owner_orders/32k_h01_companion_no_render_acceptance.md","4672a03ab6f5a2988e2b12b86b3d9b26e4014eb92c4979a03a3fedcb4bf5664c","4672a03ab6f5a2988e2b12b86b3d9b26e4014eb92c4979a03a3fedcb4bf5664c",9864,"PASS"
"audit/report_harmonization/report017_h01_order32k_dispatch_manifest.csv","c7aa02097145598448819f98888e974233ea187daefb8f9c18c85030c1be9e47","c7aa02097145598448819f98888e974233ea187daefb8f9c18c85030c1be9e47",5653,"PASS"
"artifacts/12_manifests/H01/H01_preparation_report_manifest.csv","310a017f49992e8a4a17f8497b66112b8352364ef80526c11709c1f39155653e","310a017f49992e8a4a17f8497b66112b8352364ef80526c11709c1f39155653e",14470,"PASS"
"audit/hypotheses/H01/H01_analysis_preparation.qmd","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827,"PASS"
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.qmd","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827,"PASS"
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe","5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe",727310,"PASS"
"notebooks/hypotheses/H01.qmd","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260,"PASS"
"_build/nathealth/notebooks/hypotheses/H01.html","df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007","df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007",1643915,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS"
"tests/hypotheses/H01/test_h01_preparation_report.R","7c1466cd8f964e0696c3c0a17fc2c53a9702dd7ccbb84e0e4926089b56de0fc6","7c1466cd8f964e0696c3c0a17fc2c53a9702dd7ccbb84e0e4926089b56de0fc6",10974,"PASS"
"artifacts/12_manifests/H01_worker_artifacts.csv","d695d40401f3d6758fa81a8370d7bd224c3526a8038258e835e5917c8f675bb6","d695d40401f3d6758fa81a8370d7bd224c3526a8038258e835e5917c8f675bb6",397567,"PASS"
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_h04_global_country_findings.csv","cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963","cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963",234,"PASS"
