"endpoint_order","table_id","native_gt_count","caption_count","thead_count","tbody_count","body_rows","body_cells","pass"
1,"tbl-h01-prep-boundary",1,1,1,1,6,18,TRUE
2,"tbl-h01-prep-inputs",1,1,1,1,2,6,TRUE
3,"tbl-h01-prep-exclusions",1,1,1,1,17,45,TRUE
4,"tbl-h01-prep-metric-contract",1,1,1,1,23,68,TRUE
5,"tbl-h01-prep-construct-rules",1,1,1,1,4,16,TRUE
6,"tbl-h01-prep-scenarios",1,1,1,1,10,48,TRUE
7,"tbl-h01-prep-primary-near-samples",1,1,1,1,17,102,TRUE
8,"tbl-h01-prep-primary-chest-samples",1,1,1,1,17,102,TRUE
9,"tbl-h01-prep-site-sample-ranges",1,1,1,1,19,68,TRUE
10,"tbl-h01-prep-formulas",1,1,1,1,12,20,TRUE
11,"tbl-h01-prep-model-settings",1,1,1,1,9,27,TRUE
12,"tbl-h01-prep-estimands",1,1,1,1,6,24,TRUE
13,"tbl-h01-prep-multiplicity",1,1,1,1,4,20,TRUE
14,"tbl-h01-prep-bootstrap-audit",1,1,1,1,10,56,TRUE
15,"tbl-h01-prep-diagnostic-map",1,1,1,1,6,18,TRUE
16,"tbl-h01-prep-sensitivity-map",1,1,1,1,8,32,TRUE
17,"tbl-h01-prep-module-map",1,1,1,1,4,12,TRUE
18,"tbl-h01-prep-script-map",1,1,1,1,13,65,TRUE
19,"tbl-h01-prep-manifests",1,1,1,1,8,32,TRUE
20,"tbl-h01-prep-environment",1,1,1,1,9,18,TRUE
