"check","evidence","status"
"preparation_manifest","65/65 live-exact","PASS"
"worker_manifest","1657/1659 live-exact; 2 historical","PASS"
"protected_inventory","1725 paths; 2 authorized H01 changes; 1 mutable coordination record; 2 independently sealed H04 order-35b whitespace reflows","PASS"
"build_inventory","1118/1118 content-identical","PASS"
"semantic_contracts","21/21","PASS"
"gt_tables","20","PASS"
"figures","2","PASS"
"headers","1442","PASS"
"supported_idrefs","1471","PASS"
"h01_country_sites","9/9","PASS"
"h04_expected_findings","2","PASS"
