"path","type","sha256","bytes","mtime_utc","mode","link_target","link_resolved","link_safe"
"","directory",,,"2026-08-20T07:25:23.000000Z","0755","","",
"artifacts","directory",,,"2026-08-15T09:29:26.000000Z","0755","","",
"artifacts/02_aligned","directory",,,"2026-08-01T14:20:08.000000Z","0755","","",
"artifacts/02_aligned/source_audit.csv","file","6eba1b000d7245d6bee2b2e494070d655d1eebe85e4edd877726e2deae8a0ca8",15677,"2026-07-30T17:35:05.796000Z","0644","","",
"artifacts/02_aligned/state_interval_audit.csv","file","3c9e05c6320bc8b47bfa2f2163bc44d6809db394c28fac67b1b14e7749812800",3022,"2026-07-30T17:35:06.923000Z","0644","","",
"artifacts/02_aligned/stream_epoch_audit.csv","file","fd0f532edfc0979b6aaed82589aa5b59c7ed494f83c655f1d662fcaefeb5156f",63051,"2026-07-30T17:35:06.746999Z","0644","","",
"artifacts/03_coverage","directory",,,"2026-08-01T15:13:37.000000Z","0755","","",
"artifacts/03_coverage/coverage_settings.csv","file","727a11c1491bbe11e0a58a11315a8714b5a0621657ddea073777be42ce6dd49e",1560,"2026-07-31T06:10:22.437000Z","0644","","",
"artifacts/03_coverage/light_chest_coverage.rds","file","07f2be7b58839b384eda76c6bf21ca736791fc81e22c07bd4615e35bbb0ff1ce",21201236,"2026-07-31T06:03:11.657999Z","0644","","",
"artifacts/03_coverage/light_glasses_coverage.rds","file","00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee",19922480,"2026-07-31T06:10:21.532999Z","0644","","",
"artifacts/04_reference_profiles","directory",,,"2026-08-01T15:13:37.000000Z","0755","","",
"artifacts/04_reference_profiles/reference_profiles.csv","file","f0b98823ab13e0aa4d5e51ed04b49b4c1cc2e77ebf9078678619f8f22986b5a7",2972065,"2026-07-31T06:42:31.549999Z","0644","","",
"artifacts/06_model_data","directory",,,"2026-08-12T00:35:47.000000Z","0755","","",
"artifacts/06_model_data/H06","directory",,,"2026-08-11T07:12:31.000000Z","0755","","",
"artifacts/06_model_data/H06/H06_category_cells.csv","file","2285e77afc2b24709de5936e29517b0f85a1945c81a6d7af4763eb9a56bfb36c",17784,"2026-08-10T15:15:25.055999Z","0644","","",
"artifacts/06_model_data/H08","directory",,,"2026-08-12T00:54:17.196209Z","0755","","",
"artifacts/06_model_data/H08/H08_model_frame_by_site.csv","file","35bd76c2b985da32630566725329008c7740160a63228241e0d5840f7c43198d",93464,"2026-08-11T23:40:45.000000Z","0644","","",
"artifacts/06_model_data/H08/H08_model_frame_index.csv","file","3a95b69384db3be721e76de59eb5d84d6f911fbbe902c2b8cdf09afc00f6d7c5",45369,"2026-08-12T00:23:10.302000Z","0644","","",
"artifacts/06_model_data/H10","directory",,,"2026-08-12T00:35:47.000000Z","0755","","",
"artifacts/06_model_data/H10/H10_input_audit.csv","file","9c8aebbc232d8706a23b71f87e31b649078055e139f9f011bc8c0c3d4d557f3b",8083,"2026-08-12T00:05:36.891000Z","0644","","",
"artifacts/08_diagnostics","directory",,,"2026-08-14T16:23:45.000000Z","0755","","",
"artifacts/08_diagnostics/H01","directory",,,"2026-08-01T15:03:55.000000Z","0755","","",
"artifacts/08_diagnostics/H01/main","directory",,,"2026-08-01T15:03:55.000000Z","0755","","",
"artifacts/08_diagnostics/H01/main/glasses","directory",,,"2026-08-01T15:03:55.000000Z","0755","","",
"artifacts/08_diagnostics/H01/main/glasses/all_available","directory",,,"2026-08-01T15:03:55.000000Z","0755","","",
"artifacts/08_diagnostics/H01/main/glasses/all_available/daily_geometric_mean_medi_diagnostics.png","file","9884f802d3a684860108c890a238a2c6da94115cec6e28af3792454903592076",165969,"2026-07-31T22:42:09.628000Z","0644","","",
"artifacts/08_diagnostics/H01/main/glasses/all_available/duration_above_250_wake_diagnostics.png","file","57561680d936790688ed092d18bd4d5b3ffecd9593caf18dd9f7737afb2829d5",180891,"2026-07-31T22:42:20.163000Z","0644","","",
"artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_1_sleep_environment_diagnostics.png","file","de8e2f79918a509addc890578c916278efbbf9b803622e8025ef7a1f109a446a",180767,"2026-07-31T22:42:28.647000Z","0644","","",
"artifacts/08_diagnostics/H01/main/glasses/all_available/duration_below_10_pre_sleep_diagnostics.png","file","bad792b679f53f26209b969a23286312ccc3a18bc1e95aff06f1b591d25b736a",166089,"2026-07-31T22:42:25.335999Z","0644","","",
"artifacts/08_diagnostics/H03","directory",,,"2026-08-14T15:13:34.223678Z","0755","","",
"artifacts/08_diagnostics/H03/H03_near_eye_participant_random_intercept_diagnostics.csv","file","5c752f7aa5a2b1d0d301aa0d991b9880bca9b3935bf6d156d30ae04d08957880",1059,"2026-08-14T14:26:41.071425Z","0644","","",
"artifacts/08_diagnostics/H03/H03_near_eye_participant_random_intercept_shapley_models.csv","file","c4fcee2bf57342dddc65bbe96621be5c2076ddda1ac6cb64973a91908ec53fce",1455,"2026-08-14T15:13:34.224908Z","0644","","",
"artifacts/08_diagnostics/H03/H03_reader_latitude_leave_one_site_out.csv","file","100b5bc929aeb03c07fd6355344bed48a04f12c9d3121d19488f72c914bed721",11230,"2026-08-10T07:50:20.516000Z","0644","","",
"artifacts/08_diagnostics/H03/H03_reader_latitude_model_diagnostics.csv","file","4946711391fbc61a8f99aa6f1bcd2b4f611be54a7e5847af8684f731f1618034",1243,"2026-08-10T07:50:20.473999Z","0644","","",
