"item","path","sha256","bytes"
"helper","scripts/hypotheses/H01/build_h01_preparation_report_manifest.R","da6e5c743d8eb693b35453b7a67344fb012344144697d2d0c0b94a0d91cbdcbf",8460
"source_qmd","audit/hypotheses/H01/H01_analysis_preparation.qmd","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827
"build_qmd","_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.qmd","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",55827
"companion_html","_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe",727310
"result_qmd","notebooks/hypotheses/H01.qmd","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",93260
"result_html","_build/nathealth/notebooks/hypotheses/H01.html","df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007",1643915
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480
"preparation_manifest","artifacts/12_manifests/H01/H01_preparation_report_manifest.csv","310a017f49992e8a4a17f8497b66112b8352364ef80526c11709c1f39155653e",14470
"preparation_test","tests/hypotheses/H01/test_h01_preparation_report.R","7c1466cd8f964e0696c3c0a17fc2c53a9702dd7ccbb84e0e4926089b56de0fc6",10974
"worker_manifest","artifacts/12_manifests/H01_worker_artifacts.csv","d695d40401f3d6758fa81a8370d7bd224c3526a8038258e835e5917c8f675bb6",397567
