"path","role","sha256","bytes","seal_source","observed_sha256","observed_bytes","live_exact","status"
"audit/report_harmonization/owner_orders/35b_h04_country_label_source_reflow.md","owner_order","eef9e794836a06d1d92d8cac10f8dbe9cbe6023afc444e3deabeac291c9253c3",5975,"order-35b dispatch with authorized current-source identities","eef9e794836a06d1d92d8cac10f8dbe9cbe6023afc444e3deabeac291c9253c3",5975,TRUE,"PASS_LIVE_EXACT"
"audit/report_harmonization/report017_h04_order35a_source_independent_acceptance.md","accepted_source_state","de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,"order-35b dispatch with authorized current-source identities","de987cb6cfb4df36726b6fdcc7331db6326feb64f2dccb3c5287b150bc3c8df1",2648,TRUE,"PASS_LIVE_EXACT"
"audit/report_harmonization/report017_h04_order35a_source_acceptance_manifest.csv","accepted_source_manifest","5173ebe87cb59ff9d40fefea10bc480e42f63976fe770dd2c3a4bb6f3c906c34",2661,"order-35b dispatch with authorized current-source identities","5173ebe87cb59ff9d40fefea10bc480e42f63976fe770dd2c3a4bb6f3c906c34",2661,TRUE,"PASS_LIVE_EXACT"
"audit/report_harmonization/report017_h04_consolidated_audit_manifest.csv","protected_owner_package","ab0cfd8b663c70d78e4d6b2b9adaf507bf547c7ae21190e4ff2aec81ff3bca89",5495,"order-35b dispatch with authorized current-source identities","ab0cfd8b663c70d78e4d6b2b9adaf507bf547c7ae21190e4ff2aec81ff3bca89",5495,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H01/report017_order32k_companion_acceptance/order32k_h04_global_country_findings.csv","sequencing_failure_evidence","cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963",234,"order-35b dispatch with authorized current-source identities","cc7d51ae2248b9223250580f12b48bc6092d10eb9b22e85a6682ee923f31f963",234,TRUE,"PASS_LIVE_EXACT"
"notebooks/hypotheses/H04.qmd","mutable_result_source","f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5",83285,"order-35b dispatch with authorized current-source identities","f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5",83285,TRUE,"PASS_LIVE_EXACT"
"audit/hypotheses/H04/H04_analysis_preparation.qmd","mutable_companion_source","efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474",91202,"order-35b dispatch with authorized current-source identities","efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474",91202,TRUE,"PASS_LIVE_EXACT"
"tests/hypotheses/H04/test_h04_report017_source_harmonization.R","protected_source_test","934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,"order-35b dispatch with authorized current-source identities","934ec16dcd2b7e6c4b2771f09f35c0832d059d695c21c5b917ba3303bd16c19b",33144,TRUE,"PASS_LIVE_EXACT"
"tests/hypotheses/H04/test_h04_participant_random_intercept_assessment.R","protected_auxiliary_test","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,"order-35b dispatch with authorized current-source identities","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,TRUE,"PASS_LIVE_EXACT"
"audit/handoffs/H04_worker_handoff.md","mutable_current_handoff","99de6fd036b7e7c52a55406615642024092e3177317255101c4a5db1ff391036",31926,"order-35b dispatch with authorized current-source identities","99de6fd036b7e7c52a55406615642024092e3177317255101c4a5db1ff391036",31926,TRUE,"PASS_LIVE_EXACT"
