"field","value"
"command","python3 -m http.server 0 --bind 127.0.0.1"
"pid","48904"
"bind_address","127.0.0.1"
"port","62390"
"document_root","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth"
"start_time_utc","2026-08-20T07:53:53Z"
"url","http://127.0.0.1:62390/audit/hypotheses/H01/H01_analysis_preparation.html"
"teardown_signal","SIGINT delivered through the owning terminal session"
"teardown_verification_time_utc","2026-08-20T08:09:00Z"
"process_after_teardown","none"
"listener_after_teardown","none"
