metric_order,metric_id,manuscript_name,factor_order,factor_id,factor_label,estimate_model_per_sd__alternative_preprocessing,estimate_model_per_sd__main,conf_low_model_per_sd__alternative_preprocessing,conf_low_model_per_sd__main,conf_high_model_per_sd__alternative_preprocessing,conf_high_model_per_sd__main,estimate_difference_mpd_minus_main,sign_concordant,component_intervals_overlap
1,interdaily_stability,Interdaily stability,1,leba_f2,Spending time outdoors,0.01966624254272706,0.02741120608262995,-0.05328952903988059,-0.04551496236459118,0.0926220141253347,0.1003373745298511,-0.00774496353990289,TRUE,TRUE
1,interdaily_stability,Interdaily stability,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.07077118471024975,-0.07104972769751748,-0.14127244929488203,-0.14158613325324318,-2.6992012561747567e-4,-5.133221417917886e-4,2.785429872677325e-4,TRUE,TRUE
1,interdaily_stability,Interdaily stability,3,leba_f4,Controlling and using ambient light before bedtime,-0.0219431187296703,-0.02509034427153414,-0.09565420264768268,-0.0988161353828562,0.05176796518834208,0.04863544683978792,0.00314722554186384,TRUE,TRUE
1,interdaily_stability,Interdaily stability,4,leba_f5,Using light in the morning and during daytime,0.0921127471330042,0.08564171303586564,0.01778389177849867,0.01104005261426148,0.16644160248750978,0.1602433734574698,0.00647103409713857,TRUE,TRUE
2,intradaily_variability,Intradaily variability,1,leba_f2,Spending time outdoors,-0.0771657381177216,-0.05749942325695309,-0.1412010956330094,-0.12449668413171162,-0.01313038060243379,0.00949783761780543,-0.0196663148607685,TRUE,TRUE
2,intradaily_variability,Intradaily variability,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.01212699088509419,-0.00118476260295935,-0.07613661089509596,-0.06751229765508396,0.05188262912490757,0.06514277244916523,-0.01094222828213483,TRUE,TRUE
2,intradaily_variability,Intradaily variability,3,leba_f4,Controlling and using ambient light before bedtime,-0.01230043617427918,9.094744222959826e-4,-0.07834374839982794,-0.0675243317985641,0.05374287605126957,0.06934328064315605,-0.01320991059657516,FALSE,TRUE
2,intradaily_variability,Intradaily variability,4,leba_f5,Using light in the morning and during daytime,0.05713706442927284,0.0568183778123113,-0.01018179389474472,-0.0129593419947231,0.1244559227532904,0.1265960976193457,3.1868661696154293e-4,TRUE,TRUE
3,daily_geometric_mean_medi,Mean melEDI,1,leba_f2,Spending time outdoors,0.04024898254068,0.03808569372563319,-0.01403208821601875,-0.0153899964134842,0.09453005329737876,0.0915613838647506,0.0021632888150468,TRUE,TRUE
3,daily_geometric_mean_medi,Mean melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.03992212328874117,-0.03763636481040124,-0.09303946556252084,-0.08999364568930322,0.01319521898503852,0.01472091606850073,-0.00228575847833992,TRUE,TRUE
