item,observed,expected,status
order_48b_sha256,b49869952c4294504cb3dea0d2ea53fdca5da6ee7cd8574bd87d4412cceda080,b49869952c4294504cb3dea0d2ea53fdca5da6ee7cd8574bd87d4412cceda080,PASS
dispatch_manifest_sha256,ef745b84aea676b9c9b5f4fdfe3fa6736d19919a31da494cf87f792de51cf30d,ef745b84aea676b9c9b5f4fdfe3fa6736d19919a31da494cf87f792de51cf30d,PASS
preflight_checker_status,"H06_DAILY_ORDER48A_ENVIRONMENT_STOP=PASS owner_rows=49 build=846 protected=3369 promoted=6 knitr=FALSE pandoc=FALSE hook=FALSE html_changed=FALSE",PASS,PASS
fresh_semantic_directory,/private/tmp/H06_daily-order48b-semantic.SbpRAI,one fresh absolute directory,PASS
fresh_semantic_directory_mode,700,700,PASS
render_command,"GT_HTML_SEMANTIC_AUDIT_DIR=/private/tmp/H06_daily-order48b-semantic.SbpRAI quarto render notebooks/hypotheses/H06_daily.qmd --profile nathealth",exact authorized command,PASS
render_exit_code,0,0,PASS
render_elapsed_wall_seconds,108.71,recorded,PASS
knitr_chunks_completed,31,31,PASS
pandoc_reached,TRUE,TRUE,PASS
semantic_hook_reached,TRUE,TRUE,PASS
semantic_disposition,REPAIRED,"REPAIRED or ALREADY_VALID",PASS
semantic_table_count,14,14,PASS
semantic_id_count,113,113,PASS
semantic_headers_count,705,705,PASS
semantic_total_substitutions,818,818,PASS
final_html_sha256,74a63bd09b266709630e92241a17735298dffd5fc6d1746887621eb6288f2e6c,semantic_summary_post_sha256,PASS
final_html_bytes,11946551,semantic_summary_post_bytes,PASS
semantic_reverse_checks,6,6,PASS
postrender_verifier_exit_code,1,0,FAIL_CLOSED
postrender_verifier_error,The rendered document has no unique main element.,no error,FAIL_CLOSED
failure_classification,VERIFIER_CARDINALITY_BUG,page defect absent,FAIL_CLOSED
second_render_attempted,FALSE,FALSE,PASS
page_qa_started,FALSE,FALSE,PASS
sealed_utc,2026-08-21T06:49:08Z,recorded,PASS
