placement,scenario_id,activity_code,activity,display_order,model_order,between_variable,composition_change_percentage_points,log_ratio_per_change,log_se_per_change,ratio_per_change,ratio_conf_low,ratio_conf_high,statistic,denominator_df,p_raw,inferential_role,family_id,family_n,p_adjusted
Near-eye,mundlak_within_between,sleeping,Sleeping,1,2,between_activity_1,10,0.1323436575387465,0.11453588759249421,1.141500537134131,0.9099759767552039,1.431931731784652,1.155477643912014,125,0.2500987750727962,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.38067082616334913
Near-eye,mundlak_within_between,road_vehicle,On the road with public transport/car,3,3,between_activity_2,10,0.28949335231404466,0.26989088507261955,1.3357505616272936,0.7829752401653748,2.278781590220883,1.0726310828768844,125,0.28550311962251185,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.38067082616334913
Near-eye,mundlak_within_between,working_indoor,Working in the office/from home,4,4,between_activity_3,10,-0.01875188179064153,0.07577905522841902,0.981422840913722,0.8447386098100628,1.140223474435165,-0.24745467905502616,125,0.8049623573060725,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.8049623573060725
Near-eye,mundlak_within_between,outdoors,Outdoors,5,5,between_activity_4,10,0.3523666992438374,0.13446028821918074,1.4224300321115537,1.0900821943615528,1.856105169608702,2.6206005052544006,125,0.009865836822796195,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.03946334729118478
Near-eye,mundlak_within_between,other,Other/unspecified activity,6,6,between_activity_5,10,-0.07391696584497194,0.16622405366395168,0.9287488085122152,0.6683822771032891,1.2905404270310428,-0.4446827292180398,125,,DISPLAY_ONLY,,,
Chest,mundlak_within_between,sleeping,Sleeping,1,2,between_activity_1,10,0.07792698117329545,0.09983098465881342,1.0810437192440905,0.8875056778689562,1.316786531127582,0.7805891271094039,149,0.4362825382861003,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.5817100510481337
Chest,mundlak_within_between,road_vehicle,On the road with public transport/car,3,3,between_activity_2,10,0.32429185668980953,0.23332060913197578,1.3830509008786138,0.8721858547681514,2.19314471103137,1.389898037281296,149,0.1666329027040231,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.3332658054080462
Chest,mundlak_within_between,working_indoor,Working in the office/from home,4,4,between_activity_3,10,0.020888306988862036,0.08768877778852616,1.021107994641344,0.8586568839066812,1.2142935743746783,0.23820958069728299,149,0.8120458255359005,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.8120458255359005
Chest,mundlak_within_between,outdoors,Outdoors,5,5,between_activity_4,10,0.25957907290000204,0.1039327302761127,1.2963842885241645,1.0557027176578828,1.5919370059601698,2.497568111704482,149,0.013591787889691214,NAMED_COMPOSITION_VERSUS_HOME,mundlak_between_named,4,0.054367151558764856
Chest,mundlak_within_between,other,Other/unspecified activity,6,6,between_activity_5,10,-0.0050710286455648455,0.14323053289963475,0.9949418073138587,0.7496892818934302,1.3204259735991333,-0.03540466228048068,149,,DISPLAY_ONLY,,,
