column_01,column_02,column_03,column_04,column_05,column_06,column_07,column_08,column_09,column_10,column_11,column_12,column_13,column_14
Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses),Metric descriptive summary (glasses)
,Unit,Overall,Borås (SE),Delft (NL),Dortmund (DE),Tübingen (DE),Munich (DE),Madrid (ES),Izmir (TR),San José (CR),Kumasi (GH),Scaling1,Distribution2
Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration
Duration above 1000,Hrs:Mins (duration),"00:39(00:11, 01:33)01:09 ±01:28n=811","01:17(00:30, 03:23)02:00 ±01:54n=78","01:18(00:29, 02:08)01:31 ±01:27n=78","01:02(00:19, 02:32)01:46 ±02:13n=106","00:37(00:07, 01:24)01:05 ±01:21n=150","00:38(00:09, 01:38)01:08 ±01:18n=60","00:27(00:05, 00:53)00:37 ±00:46n=127","00:29(00:05, 01:03)00:43 ±00:50n=102","00:19(00:09, 00:43)00:33 ±00:34n=30","00:42(00:14, 01:15)00:57 ±00:57n=80",Log 10 zero inflated,
Duration above 250 wake,Hrs:Mins (duration),"02:20(00:50, 04:32)02:56 ±02:27n=755","04:03(02:16, 06:14)04:10 ±02:27n=74","03:17(01:58, 05:12)03:35 ±02:23n=66","03:36(01:21, 05:32)03:53 ±02:51n=91","01:53(00:42, 04:12)02:46 ±02:37n=146","02:43(01:02, 04:16)02:55 ±02:14n=60","02:43(00:54, 04:43)03:01 ±02:19n=113","01:31(00:41, 03:25)02:08 ±01:54n=98","01:47(00:42, 02:42)01:52 ±01:21n=27","01:07(00:24, 02:36)01:43 ±01:45n=80",Log 10 zero inflated,
Duration below 10 pre-Sleep,Hrs:Mins (duration),"01:43(00:53, 02:30)01:43 ±01:02n=780","02:07(01:24, 02:37)01:56 ±00:56n=76","01:40(00:52, 02:39)01:41 ±01:03n=70","01:39(00:48, 02:17)01:35 ±00:58n=101","01:44(00:57, 02:21)01:47 ±01:05n=145","01:39(00:43, 02:28)01:40 ±01:07n=59","01:36(00:50, 02:38)01:43 ±01:04n=121","01:24(00:46, 02:12)01:32 ±00:59n=100","02:06(01:14, 02:36)01:50 ±00:59n=28","01:58(01:17, 02:40)01:55 ±00:55n=80",Log 10 zero inflated,
Duration below 1 sleep,Hrs:Mins (duration),"07:06(05:56, 08:15)07:01 ±02:00n=790","07:06(05:51, 08:14)07:03 ±01:53n=78","07:10(05:55, 08:04)06:54 ±01:55n=72","07:05(05:55, 08:15)07:00 ±01:54n=101","06:54(05:51, 07:45)06:47 ±01:31n=150","05:51(04:41, 07:03)05:58 ±01:58n=60","08:05(07:10, 09:08)07:59 ±02:03n=120","06:45(05:07, 08:15)06:39 ±02:06n=99","06:50(06:06, 07:30)06:28 ±02:00n=30","07:30(06:30, 08:50)07:31 ±02:13n=80",Log 10 zero inflated,
Period above 250,Hrs:Mins (duration),"00:38(00:17, 01:13)00:56 ±01:05n=811","00:56(00:29, 01:35)01:14 ±01:04n=78","00:48(00:24, 01:20)01:09 ±01:14n=78","01:00(00:21, 01:44)01:23 ±01:47n=106","00:35(00:11, 01:06)00:50 ±00:54n=150","00:35(00:17, 01:41)01:06 ±01:12n=60","00:38(00:16, 01:05)00:44 ±00:35n=127","00:33(00:14, 00:56)00:42 ±00:41n=102","00:28(00:14, 00:40)00:29 ±00:19n=30","00:23(00:15, 00:49)00:38 ±00:45n=80",Log 10 zero inflated,
Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics,Dynamics
Interdaily stability,—,"0.31(0.25, 0.38)0.32 ±0.10n=141","0.34(0.30, 0.37)0.33 ±0.08n=13","0.25(0.24, 0.37)0.28 ±0.09n=13","0.27(0.22, 0.33)0.28 ±0.08n=18","0.33(0.26, 0.41)0.34 ±0.10n=26","0.24(0.22, 0.28)0.26 ±0.06n=10","0.35(0.32, 0.48)0.38 ±0.10n=23","0.28(0.24, 0.39)0.32 ±0.10n=17","0.36(0.32, 0.45)0.37 ±0.11n=6","0.30(0.26, 0.34)0.30 ±0.06n=15",Identity,
