site,metric_id,median_formatted_before,q1_formatted_before,q3_formatted_before,mean_formatted_before,sd_formatted_before,display_before,median_formatted_after,q1_formatted_after,q3_formatted_after,mean_formatted_after,sd_formatted_after,display_after,displayed_values_changed,status
Overall,l10_mean_medi,0.103,0.02,0.253,0.243,0.513,0.103 (0.02–0.253); mean 0.243 ± 0.513; n=816 obs / 141 participants / 816 participant-days,0.103,0.02,0.253,0.243,0.513,0.103 (0.02–0.253); mean 0.243 ± 0.513; n=816 obs / 141 participants / 816 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
RISE,l10_mean_medi,0.08,0.016,0.191,0.183,0.299,0.08 (0.016–0.191); mean 0.183 ± 0.299; n=78 obs / 13 participants / 78 participant-days,0.08,0.016,0.191,0.183,0.299,0.08 (0.016–0.191); mean 0.183 ± 0.299; n=78 obs / 13 participants / 78 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
THUAS,l10_mean_medi,0.1,0.035,0.23,0.2,0.332,0.1 (0.035–0.23); mean 0.2 ± 0.332; n=78 obs / 13 participants / 78 participant-days,0.1,0.035,0.23,0.2,0.332,0.1 (0.035–0.23); mean 0.2 ± 0.332; n=78 obs / 13 participants / 78 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
BAUA,l10_mean_medi,0.14,0.036,0.282,0.223,0.299,0.14 (0.036–0.282); mean 0.223 ± 0.299; n=107 obs / 18 participants / 107 participant-days,0.14,0.036,0.282,0.223,0.299,0.14 (0.036–0.282); mean 0.223 ± 0.299; n=107 obs / 18 participants / 107 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
MPI,l10_mean_medi,0.149,0.074,0.309,0.273,0.465,0.149 (0.074–0.309); mean 0.273 ± 0.465; n=150 obs / 26 participants / 150 participant-days,0.149,0.074,0.309,0.273,0.465,0.149 (0.074–0.309); mean 0.273 ± 0.465; n=150 obs / 26 participants / 150 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
TUM,l10_mean_medi,0.325,0.119,0.71,0.515,0.653,0.325 (0.119–0.71); mean 0.515 ± 0.653; n=60 obs / 10 participants / 60 participant-days,0.325,0.119,0.71,0.515,0.653,0.325 (0.119–0.71); mean 0.515 ± 0.653; n=60 obs / 10 participants / 60 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
FUSPCEU,l10_mean_medi,0.022,0,0.08,0.054,0.075,0.022 (0–0.08); mean 0.054 ± 0.075; n=129 obs / 23 participants / 129 participant-days,0.022,0,0.08,0.054,0.075,0.022 (0–0.08); mean 0.054 ± 0.075; n=129 obs / 23 participants / 129 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
IZTECH,l10_mean_medi,0.152,0.052,0.481,0.475,0.882,0.152 (0.052–0.481); mean 0.475 ± 0.882; n=101 obs / 17 participants / 101 participant-days,0.152,0.052,0.481,0.475,0.882,0.152 (0.052–0.481); mean 0.475 ± 0.882; n=101 obs / 17 participants / 101 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
UCR,l10_mean_medi,0.133,0.055,0.309,0.411,1.044,0.133 (0.055–0.309); mean 0.411 ± 1.044; n=32 obs / 6 participants / 32 participant-days,0.133,0.055,0.309,0.411,1.044,0.133 (0.055–0.309); mean 0.411 ± 1.044; n=32 obs / 6 participants / 32 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
KNUST,l10_mean_medi,0.01,0,0.092,0.059,0.104,0.01 (0–0.092); mean 0.059 ± 0.104; n=81 obs / 15 participants / 81 participant-days,0.01,0,0.092,0.059,0.104,0.01 (0–0.092); mean 0.059 ± 0.104; n=81 obs / 15 participants / 81 participant-days,FALSE,PASS_VISIBLE_VALUES_UNCHANGED
