artifact,path,expected_sha256,observed_sha256,status,base_input_bundle_sha256
decision,audit/decisions/mder_mean_of_viable_ratios.md,1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de,1664347de976057807fcb5ac6e24bd4b66af1fe32378fabd1f2acafcfc9266de,PASS,
metric_manifest,artifacts/12_manifests/metric_artifacts.csv,7bb2830c695e5600f0877acca500a187a040fe727a029bdb069f69099abe4f43,7bb2830c695e5600f0877acca500a187a040fe727a029bdb069f69099abe4f43,PASS,
independent_audit,artifacts/08_diagnostics/mder_METRIC-010/audit_manifest.csv,5bd34fd4ac26dc2761540393d40e096cde835d8dd4b4edda9253243c9083d4bb,5bd34fd4ac26dc2761540393d40e096cde835d8dd4b4edda9253243c9083d4bb,PASS,
base_manifest,artifacts/12_manifests/base_model_data_artifacts.csv,b6fa22836faee5243bb6ce1cc9dceab5d5403f94d688f8f74472a19dbf6e3e09,b6fa22836faee5243bb6ce1cc9dceab5d5403f94d688f8f74472a19dbf6e3e09,PASS,168f25e18b6e494aa7a0272923041ad8249e25adb9ff3742d22e2f4cacf1bdf8
site_context_manifest,artifacts/12_manifests/site_solar_context_artifacts.csv,959e7a1ff1e659ad3eb673c4d4b827da0b02b8a0a779e2647459638c4dac1045,959e7a1ff1e659ad3eb673c4d4b827da0b02b8a0a779e2647459638c4dac1045,PASS,
preanalysis_manifest,artifacts/12_manifests/preanalysis_comparison_artifacts.csv,f90ea36334b59821101ef36de50d5d84dcfc6e8bee23f1f918be10fb2247724e,f90ea36334b59821101ef36de50d5d84dcfc6e8bee23f1f918be10fb2247724e,PASS,
gap_manifest,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,PASS,
gap_participant_day,artifacts/06_model_data/scenarios/manuscript_prepared_data/participant_day_metrics.rds,7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1,7561b5dd47cb5e23ca94ba59bd57648f11fe492f86af53a566c5c9cf42d932f1,PASS,
gap_mder_support,artifacts/06_model_data/scenarios/manuscript_prepared_data/mder_support.rds,a0bc5d7ea2142709412da2253158086416ddb730b0f60ff616bba9d6ccb1edc5,a0bc5d7ea2142709412da2253158086416ddb730b0f60ff616bba9d6ccb1edc5,PASS,
gap_repair_evidence,audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv,81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018,81e3aa9439b88cf239d6669dc4343cfb146cd2f45790bae412ab837156315018,PASS,
renv_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,PASS,
