version_before,placement,site,participant_days_before,participants_before,exact_zero_before,positive_roundoff_before,version_after,participant_days_after,participants_after,exact_zero_after,positive_roundoff_after,exact_zero_delta,positive_roundoff_delta,support_unchanged,status
stored_before,near_eye,Overall,816,141,111,3,METRIC-011_after,816,141,114,0,3,-3,TRUE,PASS
stored_before,near_eye,RISE,78,13,9,0,METRIC-011_after,78,13,9,0,0,0,TRUE,PASS
stored_before,near_eye,THUAS,78,13,6,0,METRIC-011_after,78,13,6,0,0,0,TRUE,PASS
stored_before,near_eye,BAUA,107,18,10,0,METRIC-011_after,107,18,10,0,0,0,TRUE,PASS
stored_before,near_eye,MPI,150,26,3,0,METRIC-011_after,150,26,3,0,0,0,TRUE,PASS
stored_before,near_eye,TUM,60,10,4,0,METRIC-011_after,60,10,4,0,0,0,TRUE,PASS
stored_before,near_eye,FUSPCEU,129,23,45,0,METRIC-011_after,129,23,45,0,0,0,TRUE,PASS
stored_before,near_eye,IZTECH,101,17,6,0,METRIC-011_after,101,17,6,0,0,0,TRUE,PASS
stored_before,near_eye,UCR,32,6,0,0,METRIC-011_after,32,6,0,0,0,0,TRUE,PASS
stored_before,near_eye,KNUST,81,15,28,3,METRIC-011_after,81,15,31,0,3,-3,TRUE,PASS
stored_before,chest,Overall,902,154,120,5,METRIC-011_after,902,154,125,0,5,-5,TRUE,PASS
stored_before,chest,RISE,96,16,10,0,METRIC-011_after,96,16,10,0,0,0,TRUE,PASS
stored_before,chest,THUAS,93,15,8,0,METRIC-011_after,93,15,8,0,0,0,TRUE,PASS
stored_before,chest,BAUA,114,20,13,0,METRIC-011_after,114,20,13,0,0,0,TRUE,PASS
stored_before,chest,TUM,60,10,8,0,METRIC-011_after,60,10,8,0,0,0,TRUE,PASS
stored_before,chest,FUSPCEU,123,22,45,1,METRIC-011_after,123,22,46,0,1,-1,TRUE,PASS
stored_before,chest,IZTECH,102,17,6,0,METRIC-011_after,102,17,6,0,0,0,TRUE,PASS
stored_before,chest,UCR,230,39,10,0,METRIC-011_after,230,39,10,0,0,0,TRUE,PASS
stored_before,chest,KNUST,84,15,20,4,METRIC-011_after,84,15,24,0,4,-4,TRUE,PASS
