legacy_id,legacy_section,construct,disposition,new_output,current_difference,reason
T1_FULL,Table 1,"Site, collection, participant, chronotype, sleep, and wear characteristics",REPAIR_REPLICATE,participant_site_characteristics_replica.csv,"Same submitted gt typography, grouping, site tinting, wide site-column organization, and 1200-pixel gtsave viewport; updated rows retain placement-explicit denominators.","Replicates the reader-facing display while correcting mixed placement denominators, wrong preprocessing stages, and incomplete n labels."
T1_REDUCED_A,Reduced Table 1 A,Reduced site and participant characteristics,RETIRE,Covered by participant_site_characteristics_replica.csv,The exact reduced row set embedded in the submitted manuscript is reproduced as a separate export with updated data.,"This is the reduced row set actually embedded in the submitted manuscript, so it is retained as a separately verified export."
T1_REDUCED_B,Reduced Table 1 B,Short participant/site characteristics,RETIRE,Covered by participant_site_characteristics_replica.csv,Not reproduced as a second independently formatted reduction.,The second duplicate adds no construct and could drift from the full replicated table.
T2,Table 2,Distributions of near-eye light metrics by site,REPAIR_REPLICATE,metric_descriptive_summary_replica.csv,"Same submitted gt typography, categories, order, site columns, 17 metrics, and miniature ridges; the 1800-pixel viewport prevents clipping and cells include exact denominator types.",Uses the updated verified metric artifacts; clock-time summaries are circular and the quantile-argument repair is included.
F1_A,Overview panel A,Study protocol schematic,REPAIR_REPLICATE,descriptive_overview plus protocol_asset_provenance.csv,The same protocol image is retained with recorded hash provenance and accessible explanatory text.,The image itself is not data-derived; provenance and accessibility were the required repairs.
F1_B,Overview panel B,Collection-date overview,REPAIR_REPLICATE,collection_days.csv and descriptive_overview,"Same collection-date role using the roster-wide union of all recorded non-all-zero days, without double-counting paired dates.",Placement pooling obscured the analytical denominator.
F1_C,Overview panel C,Geographic distribution of sites,REPAIR_REPLICATE,"site_locations.csv, world_map_wkt.csv, and descriptive_overview",Same world-map role and site palette; labels and coordinates use the verified site artifact.,Mutable coordinate objects were replaced by the pinned verified context.
F1_D,Overview panel D,Overall 24-hour melEDI profile with sleep and photoperiod context,REPAIR_REPLICATE,"profile_summary.csv, profile_context_bands.csv, and descriptive_overview",Same 48-hour double-profile form; verified values are pooled after removing participant grouping and aggregated to 15-minute bins with LightLogR medians and a central 67% Overall value interval.,The earlier empirical ribbons were not uncertainty intervals and participant weighting was uncontrolled.
F1_E,Overview panel E,Photoperiod distribution by site,REPAIR_REPLICATE,collection_days.csv and descriptive_overview; near-eye is displayed and chest remains explicit in source data,Same site ridge layout using the whole available non-all-zero roster union.,The analysis contract makes near-eye primary and prohibits pooling placements.
F1_COMPOSITE,Overview figure,"Protocol, geography, collection timing, photoperiod, and overall light profile",REPAIR_REPLICATE,descriptive_overview PNG/JPEG/PDF/SVG set,"Same five-part overview composition and panel roles at the submitted nominal 10.5-by-10-inch canvas, with restored legible typography.",The familiar composition is useful and can be retained after repairing its inputs and denominator definitions.
F2_COMPOSITE,Site profile figure,Site-specific 24-hour near-eye melEDI profiles,REPAIR_REPLICATE,near_eye_site_profiles and complementary chest_site_profiles PNG/JPEG/PDF/SVG sets,"Same 3-by-3, 48-hour, site-faceted composition with 15-minute aggregation and average sleep/civil-night periods; eight chest sites are additionally supplied as a complementary counterpart.",Participant balancing and explicit uncertainty repair the earlier profile without changing the recognizable layout.
F2_SITE,Site-specific profile exports,One profile for each of nine sites,RETIRE,One audited nine-panel primary figure; exact site data remain in profile_summary.csv and profile_context_bands.csv,No separate site PDFs; all exact site source rows and the composite remain available.,Separate exports duplicated the composite and lacked a durable contract.
F3_COMPOSITE,Metric distribution figure,Distributions of 16 displayed near-eye metrics,REPAIR_REPLICATE,near_eye_metric_distributions PNG/JPEG/PDF/SVG set,"Same 4-by-4 composition, categories, ordering, ridge/box geometry, and 16 familiar metrics.",Verified values and circular clock treatment repair the old analytical inputs without changing the recognizable layout.
F3_INDIVIDUAL,Individual metric exports,One distribution plot per old metric,RETIRE,Semantically named rows in metric_plot_values.csv and one primary composite,No letter-only individual exports; the exact values remain in one semantic source CSV.,Semantic source rows and one deterministic composite prevent drift.
F_LAT,Latitude–photoperiod diagnostic,Observed photoperiod by absolute latitude against theoretical annual bounds,REPAIR_REPLICATE_SUPPLEMENT,latitude_photoperiod_diagnostic PNG/JPEG/PDF/SVG set from verified near-eye solar context,Same observed latitude-versus-photoperiod ridge diagnostic; verified current H1 theoretical bounds restore the submitted impossible-region ribbons.,Observed verified solar context is sufficient; recalculating a theoretical surface would introduce a second solar model.
T_REC_NEAR,Near-eye recommendation table,Fraction of observed minutes meeting Brown et al. day/evening/night light recommendations,REPAIR_REPLICATE_CONTEXTUAL,recommendation_context_replica.csv and recommendation_context_near_eye.csv,"Same submitted gt typography, site-row and eight-statistic column organization, spanners, separator row, and default 992-pixel gtsave viewport; recommended-range cells show literal minute numerator/denominator fractions.","The thresholds describe environmental context, not individual adherence or biological compliance."
T_REC_CHEST,Chest recommendation table,Chest-level fraction of observed minutes meeting Brown et al. light recommendations,RETIRE,No chest recommendation table; placement limitation documented,The old chest recommendation table is not retained because near-eye is primary and sleep is bedside environment rather than ocular exposure.,A complementary chest contextual table would invite inappropriate equivalence with near-eye ocular exposure.
