artifact,path,expected_sha256,observed_sha256,status,base_input_bundle_sha256
decision,audit/decisions/l10_numerical_zero_normalization.md,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,23b9f70d1d16f7fd3ebbdbc57aaf78c0a701fe1f9d22bd667d926cd320d40797,PASS,
evidence_manifest,audit/reconciliation/l10_METRIC-011/METRIC-011_evidence_manifest.csv,a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb,a37efd3449a8d1a6065d0eb8964bd6cf8b241f1683a26c065ea1a946e23214fb,PASS,
metric_manifest,artifacts/12_manifests/metric_artifacts.csv,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,PASS,
site_context_manifest,artifacts/12_manifests/site_solar_context_artifacts.csv,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,PASS,
base_manifest,artifacts/12_manifests/base_model_data_artifacts.csv,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,PASS,e840ce9d2a7f653bc5ebbfe020ce087017dfdaf0276df09da578bda30a539916
preanalysis_manifest,artifacts/12_manifests/preanalysis_comparison_artifacts.csv,f3c4bfbf120d2023c045b44e3c7c04c58bce1f8d11621956bca1e5ede90c5623,f3c4bfbf120d2023c045b44e3c7c04c58bce1f8d11621956bca1e5ede90c5623,PASS,
near_eye_context,artifacts/06_model_data/base/metrics_glasses_participant_day_context.rds,013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a,013afe75e9b75b141b4cb48d04111a9e6c688630085a24c9fe07ca3d142a4e9a,PASS,
chest_context,artifacts/06_model_data/base/metrics_chest_participant_day_context.rds,497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057,497466ccd1a35635cca40bb8f9ce51efb97321ab04b42ee1bb76785e466a2057,PASS,
gap_manifest,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,PASS,
renv_lock,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,PASS,
