column_01,column_02,column_03,column_04,column_05,column_06,column_07,column_08,column_09
Site,Wake,Pre-sleep,Sleep,Total2,Wake,Pre-sleep,Sleep,Missing3
Overall,24%,63%,88%,52%,47%,11%,33%,9%
,,,,,,,,
Borås (SE),33%,70%,93%,58%,50%,11%,31%,7%
Delft (NL),30%,67%,86%,55%,42%,9%,31%,17%
Dortmund (DE),32%,59%,88%,56%,43%,11%,32%,14%
Tübingen (DE),23%,62%,86%,50%,50%,12%,33%,6%
Munich (DE),25%,61%,72%,46%,49%,11%,35%,5%
Madrid (ES),24%,63%,96%,55%,46%,11%,33%,11%
Izmir (TR),18%,56%,79%,45%,48%,11%,34%,7%
San José (CR),15%,65%,89%,46%,48%,11%,30%,11%
Kumasi (GH),14%,75%,95%,49%,51%,11%,33%,6%
"1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI"
2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average
"3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI"
