placement,site,metric_id,n_possible_observations_before,n_observations_before,n_participants_before,n_participant_days_before,mean_before,sd_before,q1_before,median_before,q3_before,mean_display_before,median_middle_50_display_before,n_possible_observations_after,n_observations_after,n_participants_after,n_participant_days_after,mean_after,sd_after,q1_after,median_after,q3_after,mean_display_after,median_middle_50_display_after,q1_delta,support_unchanged,display_changed,status
near_eye,Overall,l10_mean_medi,816,816,141,816,0.2433785040244839,0.5128027997099349,0.020115217700580824,0.10250743148540206,0.2533830225702579,0.2434,"0.1025 [0.02012, 0.2534]",816,816,141,816,0.24337850402448383,0.5128027997099345,0.020115217700580824,0.10250743148540206,0.2533830225702579,0.2434,"0.1025 [0.02012, 0.2534]",0,TRUE,FALSE,PASS
near_eye,RISE,l10_mean_medi,78,78,13,78,0.183172675980554,0.29933580198565035,0.016182548912023774,0.08021371458010296,0.1908165891322119,0.1832,"0.08021 [0.01618, 0.1908]",78,78,13,78,0.18317267598055403,0.29933580198565024,0.016182548912023774,0.08021371458010296,0.1908165891322119,0.1832,"0.08021 [0.01618, 0.1908]",0,TRUE,FALSE,PASS
near_eye,THUAS,l10_mean_medi,78,78,13,78,0.20026748101784492,0.33226870466130476,0.03523847878464211,0.100118526085668,0.2300557677955958,0.2003,"0.1001 [0.03524, 0.2301]",78,78,13,78,0.20026748101784486,0.33226870466130476,0.03523847878464211,0.100118526085668,0.2300557677955958,0.2003,"0.1001 [0.03524, 0.2301]",0,TRUE,FALSE,PASS
near_eye,BAUA,l10_mean_medi,107,107,18,107,0.22328747864216775,0.2991366549068328,0.03643234726283956,0.1396563321197556,0.28223311268775775,0.2233,"0.1397 [0.03643, 0.2822]",107,107,18,107,0.22328747864216777,0.29913665490683294,0.03643234726283956,0.1396563321197556,0.28223311268775775,0.2233,"0.1397 [0.03643, 0.2822]",0,TRUE,FALSE,PASS
near_eye,MPI,l10_mean_medi,150,150,26,150,0.27327121466848214,0.46522077076256035,0.07387716801789632,0.14949458643732344,0.30860648805559865,0.2733,"0.1495 [0.07388, 0.3086]",150,150,26,150,0.2732712146684821,0.46522077076256035,0.07387716801789632,0.14949458643732344,0.30860648805559865,0.2733,"0.1495 [0.07388, 0.3086]",0,TRUE,FALSE,PASS
near_eye,TUM,l10_mean_medi,60,60,10,60,0.5154779228732362,0.6529480583687862,0.11855447812495919,0.3253668879400816,0.7101694375271438,0.5155,"0.3254 [0.1186, 0.7102]",60,60,10,60,0.5154779228732361,0.6529480583687862,0.11855447812495919,0.3253668879400816,0.7101694375271438,0.5155,"0.3254 [0.1186, 0.7102]",0,TRUE,FALSE,PASS
near_eye,FUSPCEU,l10_mean_medi,129,129,23,129,0.05360966070920334,0.07490782693379144,0,0.02170804399561728,0.07961074370661775,0.05361,"0.02171 [0, 0.07961]",129,129,23,129,0.05360966070920336,0.07490782693379149,0,0.02170804399561728,0.07961074370661775,0.05361,"0.02171 [0, 0.07961]",0,TRUE,FALSE,PASS
near_eye,IZTECH,l10_mean_medi,101,101,17,101,0.4753719934751618,0.8822993212248209,0.05193079547655344,0.15196541883284195,0.481391482316906,0.4754,"0.152 [0.05193, 0.4814]",101,101,17,101,0.4753719934751619,0.8822993212248209,0.05193079547655344,0.15196541883284195,0.481391482316906,0.4754,"0.152 [0.05193, 0.4814]",0,TRUE,FALSE,PASS
near_eye,UCR,l10_mean_medi,32,32,6,32,0.41132673344012266,1.0444451759982103,0.055413422084315156,0.13271189784234727,0.3086254632258014,0.4113,"0.1327 [0.05541, 0.3086]",32,32,6,32,0.4113267334401226,1.0444451759982105,0.055413422084315156,0.13271189784234727,0.3086254632258014,0.4113,"0.1327 [0.05541, 0.3086]",0,TRUE,FALSE,PASS
near_eye,KNUST,l10_mean_medi,81,81,15,81,0.059095508742750304,0.1041474006645508,0,0.01021452065466628,0.09174090965726324,0.0591,"0.01021 [0, 0.09174]",81,81,15,81,0.059095508742750304,0.10414740066455078,0,0.01021452065466628,0.09174090965726324,0.0591,"0.01021 [0, 0.09174]",0,TRUE,FALSE,PASS
chest,Overall,l10_mean_medi,902,902,154,902,0.2224475248393035,0.8592531869006832,0.01017810472818372,0.07015915648952029,0.22047212507107353,0.2224,"0.07016 [0.01018, 0.2205]",902,902,154,902,0.2224475248393035,0.8592531869006836,0.01017810472818372,0.07015915648952029,0.22047212507107353,0.2224,"0.07016 [0.01018, 0.2205]",0,TRUE,FALSE,PASS
chest,RISE,l10_mean_medi,96,96,16,96,0.10740237383491262,0.1669964640662174,0.006085162648045161,0.03700430500109268,0.1268823961415668,0.1074,"0.037 [0.006085, 0.1269]",96,96,16,96,0.10740237383491262,0.1669964640662174,0.006085162648045161,0.03700430500109268,0.1268823961415668,0.1074,"0.037 [0.006085, 0.1269]",0,TRUE,FALSE,PASS
chest,THUAS,l10_mean_medi,93,93,15,93,0.17493529955301382,0.2823694721783697,0.01017314851692816,0.05379885509292725,0.18806364260601324,0.1749,"0.0538 [0.01017, 0.1881]",93,93,15,93,0.17493529955301385,0.2823694721783697,0.01017314851692816,0.05379885509292725,0.18806364260601324,0.1749,"0.0538 [0.01017, 0.1881]",0,TRUE,FALSE,PASS
chest,BAUA,l10_mean_medi,114,114,20,114,0.10261377684351433,0.1314744568111083,0.010762282199747359,0.05173782131311662,0.1413845337608679,0.1026,"0.05174 [0.01076, 0.1414]",114,114,20,114,0.1026137768435143,0.13147445681110834,0.010762282199747359,0.05173782131311662,0.1413845337608679,0.1026,"0.05174 [0.01076, 0.1414]",0,TRUE,FALSE,PASS
chest,TUM,l10_mean_medi,60,60,10,60,0.33590573586386585,0.531390094157853,0.02187170169084938,0.18137955597550354,0.3955763296815745,0.3359,"0.1814 [0.02187, 0.3956]",60,60,10,60,0.3359057358638659,0.5313900941578529,0.02187170169084938,0.18137955597550354,0.3955763296815745,0.3359,"0.1814 [0.02187, 0.3956]",0,TRUE,FALSE,PASS
chest,FUSPCEU,l10_mean_medi,123,123,22,123,0.05185282001882745,0.08004126499847976,0,0.01736266807088625,0.07980540798267871,0.05185,"0.01736 [0, 0.07981]",123,123,22,123,0.051852820018827434,0.08004126499847972,0,0.01736266807088625,0.07980540798267871,0.05185,"0.01736 [0, 0.07981]",0,TRUE,FALSE,PASS
chest,IZTECH,l10_mean_medi,102,102,17,102,0.4293212867769258,0.7854085303615946,0.03397340957071684,0.13293706493111934,0.3952352027314989,0.4293,"0.1329 [0.03397, 0.3952]",102,102,17,102,0.42932128677692594,0.7854085303615946,0.03397340957071684,0.13293706493111934,0.3952352027314989,0.4293,"0.1329 [0.03397, 0.3952]",0,TRUE,FALSE,PASS
chest,UCR,l10_mean_medi,230,230,39,230,0.2387513910442555,0.38725988199034883,0.04372196516178581,0.14529700785403243,0.2747342730505544,0.2388,"0.1453 [0.04372, 0.2747]",230,230,39,230,0.23875139104425544,0.3872598819903487,0.04372196516178581,0.14529700785403243,0.2747342730505544,0.2388,"0.1453 [0.04372, 0.2747]",0,TRUE,FALSE,PASS
chest,KNUST,l10_mean_medi,84,84,15,84,0.44207445110400373,2.510816343586725,4.163336342344337e-17,0.03475367595742519,0.1361755969699694,0.4421,"0.03475 [0.00000000000000004163, 0.1362]",84,84,15,84,0.4420744511040039,2.5108163435867215,0,0.03475367595742519,0.1361755969699694,0.4421,"0.03475 [0, 0.1362]",-4.163336342344337e-17,TRUE,TRUE,PASS
