section,characteristic,site,reader_site,previous_display,current_display,comparison_status,difference_reason,denominator_definition,placement,n_participants,n_participant_days,n_observations
Site specifics,Institution,Overall,Overall,Overall,Overall,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,191,,
Site specifics,Institution,RISE,Borås (SE),RISE,RISE,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,17,,
Site specifics,Institution,THUAS,Delft (NL),THUAS,THUAS,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,20,,
Site specifics,Institution,BAUA,Dortmund (DE),BAUA,BAUA,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,24,,
Site specifics,Institution,MPI,Tübingen (DE),MPI,MPI,DISPLAY_UNCHANGED,The earlier table interchanged the MPI and TUM institution labels. The updated cell follows the verified site metadata.,Study site,mixed_or_not_applicable,26,,
Site specifics,Institution,TUM,Munich (DE),TUM,TUM,DISPLAY_UNCHANGED,The earlier table interchanged the MPI and TUM institution labels. The updated cell follows the verified site metadata.,Study site,mixed_or_not_applicable,10,,
Site specifics,Institution,FUSPCEU,Madrid (ES),FUSPCEU,FUSPCEU,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,23,,
Site specifics,Institution,IZTECH,Izmir (TR),IZTECH,IZTECH,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,17,,
Site specifics,Institution,UCR,San José (CR),UCR,UCR,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,39,,
Site specifics,Institution,KNUST,Kumasi (GH),KNUST,KNUST,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,15,,
Site specifics,Country,Overall,Overall,—,—,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,RISE,Borås (SE),Sweden,Sweden,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,THUAS,Delft (NL),The Netherlands,Netherlands,DISPLAY_CHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,BAUA,Dortmund (DE),Germany,Germany,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,MPI,Tübingen (DE),Germany,Germany,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,TUM,Munich (DE),Germany,Germany,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,FUSPCEU,Madrid (ES),Spain,Spain,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,IZTECH,Izmir (TR),Turkey,Türkiye,DISPLAY_CHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,UCR,San José (CR),Costa Rica,Costa Rica,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Country,KNUST,Kumasi (GH),Ghana,Ghana,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,Overall,Overall,—,—,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,RISE,Borås (SE),Borås,Borås,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,THUAS,Delft (NL),Delft,Delft,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,BAUA,Dortmund (DE),Dortmund,Dortmund,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,MPI,Tübingen (DE),Tübingen,Tübingen,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,TUM,Munich (DE),Munich,Munich,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,FUSPCEU,Madrid (ES),Madrid,Madrid,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,IZTECH,Izmir (TR),Izmir,Izmir,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,UCR,San José (CR),"San Pedro, San José",San José,DISPLAY_CHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,City,KNUST,Kumasi (GH),Kumasi,Kumasi,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Study site,mixed_or_not_applicable,,,
Site specifics,Coordinates,Overall,Overall,—,—,DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,RISE,Borås (SE),"57.7°N, 12.9°E","57.7°N, 12.9°E",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,THUAS,Delft (NL),"52°N, 4.4°E","52.0°N, 4.4°E",DISPLAY_CHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,BAUA,Dortmund (DE),"51.5°N, 7.4°E","51.5°N, 7.4°E",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,MPI,Tübingen (DE),"48.5°N, 9.1°E","48.5°N, 9.1°E",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,TUM,Munich (DE),"48.1°N, 11.6°E","48.1°N, 11.6°E",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,FUSPCEU,Madrid (ES),"40.4°N, 3.7°W","40.4°N, 3.7°W",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,IZTECH,Izmir (TR),"38.3°N, 26.6°E","38.3°N, 26.6°E",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,UCR,San José (CR),"9.9°N, 84.1°W","9.9°N, 84.1°W",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Site specifics,Coordinates,KNUST,Kumasi (GH),"6.7°N, 1.6°W","6.7°N, 1.6°W",DISPLAY_UNCHANGED,The table structure is retained; the updated cell is tied to the verified site and solar-context metadata.,Verified site coordinates,mixed_or_not_applicable,,,
Data collection,Participants,Overall,Overall,"191(g:143, c:157)",191 roster (near-eye 143; chest 157; paired 116),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,191,,
Data collection,Participants,RISE,Borås (SE),"17(g:14, c:17)",17 roster (near-eye 14; chest 17; paired 14),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,17,,
Data collection,Participants,THUAS,Delft (NL),"20(g:13, c:15)",20 roster (near-eye 13; chest 15; paired 13),DISPLAY_CHANGED,"The earlier cell mixed the full roster and two placement-specific counts. The updated cell keeps the roster, near-eye, chest, and paired counts distinct across every available non-all-zero day.",Whole participant roster; placement counts include any recorded non-all-zero participant-day,mixed_or_not_applicable,20,,
