site,reader_site,quantity,previous_display,current_display,comparison_status,difference_reason,participants,participant_days,eligible_real_minutes,wake_valid_minutes,pre_sleep_valid_minutes,sleep_valid_minutes
Overall,Overall,wake_fraction,24%,24%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",141,816,1175160,573712,129390,383366
Overall,Overall,pre_sleep_fraction,63%,63%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",141,816,1175160,573712,129390,383366
Overall,Overall,sleep_fraction,88%,88%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",141,816,1175160,573712,129390,383366
Overall,Overall,combined_fraction,52%,51%,DISPLAY_CHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",141,816,1175160,573712,129390,383366
Overall,Overall,wake_time_fraction,47%,52%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,141,816,1175160,573712,129390,383366
Overall,Overall,pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,141,816,1175160,573712,129390,383366
Overall,Overall,sleep_time_fraction,33%,33%,DISPLAY_UNCHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,141,816,1175160,573712,129390,383366
Overall,Overall,unclassified_time_fraction,9%,4%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,141,816,1175160,573712,129390,383366
RISE,Borås (SE),wake_fraction,33%,33%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",13,78,112260,57952,12759,35489
RISE,Borås (SE),pre_sleep_fraction,70%,70%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",13,78,112260,57952,12759,35489
RISE,Borås (SE),sleep_fraction,93%,93%,DISPLAY_UNCHANGED,"The threshold is retained, but the result is now described as contextual rather than adherence. Its denominator is valid one-minute observations within the named diary state on updated main near-eye days.",13,78,112260,57952,12759,35489
RISE,Borås (SE),combined_fraction,58%,58%,DISPLAY_UNCHANGED,"The updated total is the pooled fraction across all valid classified minutes, not an average of displayed state percentages.",13,78,112260,57952,12759,35489
RISE,Borås (SE),wake_time_fraction,50%,54%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,57952,12759,35489
RISE,Borås (SE),pre_sleep_time_fraction,11%,12%,DISPLAY_CHANGED,The updated state share is divided by all eligible real minutes on updated main near-eye days; unclassified time is the explicit residual.,13,78,112260,57952,12759,35489
