column_01,column_02,column_03,column_04,column_05,column_06,column_07,column_08,column_09,column_10,column_11
Site specifics,Site specifics,Site specifics,Site specifics,Site specifics,Site specifics,Site specifics,Site specifics,Site specifics,Site specifics,Site specifics
Institution,Overall,RISE,THUAS,BAUA,MPI,TUM,FUSPCEU,IZTECH,UCR,KNUST
Country,—,Sweden,The Netherlands,Germany,Germany,Germany,Spain,Turkey,Costa Rica,Ghana
City,—,Borås,Delft,Dortmund,Tübingen,Munich,Madrid,Izmir,"San Pedro, San José",Kumasi
Coordinates,—,"57.7°N, 12.9°E","52°N, 4.4°E","51.5°N, 7.4°E","48.5°N, 9.1°E","48.1°N, 11.6°E","40.4°N, 3.7°W","38.3°N, 26.6°E","9.9°N, 84.1°W","6.7°N, 1.6°W"
Data collection,Data collection,Data collection,Data collection,Data collection,Data collection,Data collection,Data collection,Data collection,Data collection,Data collection
Participants1,"191(g:143, c:157)","17(g:14, c:17)","20(g:13, c:15)","24(g:19, c:22)","26(g:26, c:0)","10(g:10, c:10)","23(g:23, c:22)","17(g:17, c:17)","39(g:6, c:39)","15(g:15, c:15)"
"Participant-days1,2","1480d(g:1136d, c:1249d)","137d(g:107d, c:137d)","125d(g:107d, c:125d)","176d(g:145d, c:163d)","208d(g:208d, c:0d)","80d(g:80d, c:80d)","182d(g:182d, c:174d)","140d(g:140d, c:140d)","312d(g:48d, c:312d)","120d(g:119d, c:118d)"
Participant time2,139w 22h,12w 6d,13w 2d,17w 6d,25w 2d,9w 4d,22w 4d,17w 2d,5w 5d,14w 1d
Nonwear time (%)2,5w 4d (4.1%),3d 11h (3.8%),4d 4h (4.5%),4d 14h (3.7%),1w 1d (4.6%),2d 19h (4.1%),4d 23h (3.1%),3d 19h (3.2%),2d 15h (6.5%),5d 22m (5.0%)
"Complete days (>80% data)1,2","1416d(g:811d, c:1249d)","137d(g:78d, c:137d)","125d(g:78d, c:125d)","174d(g:106d, c:163d)","150d(g:150d, c:0d)","80d(g:60d, c:80d)","179d(g:127d, c:174d)","140d(g:102d, c:140d)","312d(g:30d, c:312d)","119d(g:80d, c:118d)"
"Photoperiod3,2","13h 14m(10h 37m, 18h 11m)","14h 48m(11h 48m, 20h 29m)","13h 59m(11h 52m, 18h 5m)","17h 52m(11h 45m, 18h 13m)","12h 3m(10h 32m, 15h 24m)","17h 12m(16h 27m, 17h 26m)","11h 49s(10h 21m, 12h 13m)","13h 5m(10h 31m, 15h 33m)","13h 20m(13h 24s, 13h 28m)","12h 32m(12h 29m, 12h 41m)"
Participant information,Participant information,Participant information,Participant information,Participant information,Participant information,Participant information,Participant information,Participant information,Participant information,Participant information
Age4,"28yr(18yr, 68yr)","38yr(21yr, 68yr)","30yr(19yr, 59yr)","36yr(18yr, 62yr)","27yr(22yr, 46yr)","28yr(20yr, 29yr)","31yr(20yr, 56yr)","24yr(21yr, 32yr)","34yr(22yr, 52yr)","23yr(18yr, 25yr)"
Sex5,105F/86M,6F/11M,8F/12M,13F/11M,14F/12M,6F/4M,15F/8M,11F/6M,24F/15M,8F/7M
Employment status6,163F/26P/2N,16F/1N,11F/9P,21F/3P,23F/3P,9F/1P,21F/2P,15F/2P,34F/5P,13F/1P/1N
Chronotype (MEQ-based)7,62m/94i/30e,8m/4i/5e,3m/9i/3e,8m/13i/3e,9m/9i/8e,8i/2e,5m/17i/1e,2m/10i/5e,16m/20i/3e,11m/4i
"Chronotype (MCTQ-score)3,8","04:02(02:07, 06:14)","02:55(02:04, 05:08)","04:31(03:04, 05:36)","03:47(02:17, 04:49)","04:33(02:40, 06:04)","05:07(04:11, 06:03)","04:48(03:10, 06:52)","05:28(03:34, 06:49)","03:42(02:16, 05:30)","02:19(01:21, 03:25)"
