category,metric_order,metric_id,table_name,unit,site,reader_site,previous_display,current_display,comparison_status,difference_reason,analysis_unit,n_observations,n_participants,n_participant_days
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,Overall,Overall,"00:39(00:11, 01:33)01:09 ±01:28n=811",00:41 (00:11–01:34); mean 01:10 ± 01:28; n=816 obs / 141 participants / 816 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,816,141,816
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,RISE,Borås (SE),"01:17(00:30, 03:23)02:00 ±01:54n=78",01:18 (00:31–03:24); mean 02:00 ± 01:54; n=78 obs / 13 participants / 78 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,78,13,78
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,THUAS,Delft (NL),"01:18(00:29, 02:08)01:31 ±01:27n=78",01:18 (00:29–02:12); mean 01:33 ± 01:28; n=78 obs / 13 participants / 78 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,78,13,78
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,BAUA,Dortmund (DE),"01:02(00:19, 02:32)01:46 ±02:13n=106",01:03 (00:20–02:32); mean 01:48 ± 02:14; n=107 obs / 18 participants / 107 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,107,18,107
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,MPI,Tübingen (DE),"00:37(00:07, 01:24)01:05 ±01:21n=150",00:40 (00:07–01:25); mean 01:06 ± 01:22; n=150 obs / 26 participants / 150 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,150,26,150
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,TUM,Munich (DE),"00:38(00:09, 01:38)01:08 ±01:18n=60",00:39 (00:10–01:46); mean 01:09 ± 01:18; n=60 obs / 10 participants / 60 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,60,10,60
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,FUSPCEU,Madrid (ES),"00:27(00:05, 00:53)00:37 ±00:46n=127",00:27 (00:06–00:53); mean 00:38 ± 00:47; n=129 obs / 23 participants / 129 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,129,23,129
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,IZTECH,Izmir (TR),"00:29(00:05, 01:03)00:43 ±00:50n=102",00:30 (00:06–01:04); mean 00:44 ± 00:51; n=101 obs / 17 participants / 101 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,101,17,101
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,UCR,San José (CR),"00:19(00:09, 00:43)00:33 ±00:34n=30",00:19 (00:09–00:43); mean 00:32 ± 00:33; n=32 obs / 6 participants / 32 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,32,6,32
Duration,1,duration_above_1000,"Time above 1,000 lx melEDI",HH:MM,KNUST,Kumasi (GH),"00:42(00:14, 01:15)00:57 ±00:57n=80",00:43 (00:17–01:14); mean 00:58 ± 00:57; n=81 obs / 15 participants / 81 participant-days,DISPLAY_CHANGED,"The familiar metric and site layout are retained. The updated value comes from the verified main near-eye metric artifact after the approved completeness and exact-all-zero rules and now labels observations, participants, and participant-days.",participant-day,81,15,81
