check,observed,expected,status
primary L10 cells changed,8,8,PASS
near-eye exact-zero count,114,114,PASS
chest exact-zero count,125,125,PASS
near-eye support,141 participants / 816 participant-days,141 participants / 816 participant-days,PASS
chest support,154 participants / 902 participant-days,154 participants / 902 participant-days,PASS
visible Table 2 values,unchanged to three decimal places,unchanged to three decimal places,PASS
Table 2 thumbnail transform,symlog-1-10-1,symlog-1-10-1,PASS
Table 2 PNG width,3640,3640,PASS
Table 2 PNG height,3740,3740,PASS
Table 2 PNG SHA-256 before,5986419255a8a24429e0c6299eca83a3e8202be298f6a1c34e74b3db24e9e644,5986419255a8a24429e0c6299eca83a3e8202be298f6a1c34e74b3db24e9e644,PASS
Table 2 PNG SHA-256 after,5986419255a8a24429e0c6299eca83a3e8202be298f6a1c34e74b3db24e9e644,5986419255a8a24429e0c6299eca83a3e8202be298f6a1c34e74b3db24e9e644,PASS
Figure 3 export isolation,all Figure 3 PNG/JPEG/PDF/SVG and A4 hashes unchanged,all Figure 3 PNG/JPEG/PDF/SVG and A4 hashes unchanged,PASS
