output_id,output_type,original_path,rebuilt_path,comparison_scope,required_difference,original_sha256,rebuilt_sha256,original_width_px,original_height_px,rebuilt_width_px,rebuilt_height_px,review_state
participant_site_characteristics,table,tables/tbl1.png,artifacts/09_tables/descriptives/participant_site_characteristics_replica.png,submitted gt styling and original gtsave viewport 1200,"Updated verified values, explicit placement denominators, corrected MPI/TUM labels, and DISPLAY-001.",1634de1b46c11390ad04b25cd3a0089ad5ece145f7fc5b5ede63050bf89749a6,78278816d84670672d656df7773e7285c6d7ba5fdce392600d337bfbcbf23705,2358,3256,2388,3022,PASS_FINAL_SIZE_VISUAL_QA
participant_site_manuscript,table,assets/tbl1_red.png,artifacts/09_tables/descriptives/participant_site_characteristics_manuscript_replica.png,submitted gt styling and original gtsave viewport 1200,"The exact reduced row set embedded in the submitted manuscript is retained with updated verified values, corrected MPI/TUM labels, and DISPLAY-001.",ae8748a6f6e74ff14d363ff671b6ea2787329cb2c5dbec226a6ac958b07ba055,644613e35f8ce0fbcc5082e990eb461e56b60916b285e4178e90c8c3e380013a,2358,2406,2388,2368,PASS_FINAL_SIZE_VISUAL_QA
near_eye_metric_summary,table,tables/tbl2.png,artifacts/09_tables/descriptives/metric_descriptive_summary_replica.png,submitted gt styling and original gtsave viewport 1800,"Verified metric artifacts, complete denominator types, circular clock summaries, corrected terminology, and DISPLAY-001.",0f936c1dd4721324517e004bed8c3c74085351b66de6fb432aefeee5b1aaa68d,110f6654788b6749c6b3b8e1d0efc9b640c28d0595f28f86e0d7cd8cfbe170e2,3420,4182,3560,3570,PASS_FINAL_SIZE_VISUAL_QA
recommendation_context,table,tables/Brown_table.png,artifacts/09_tables/descriptives/recommendation_context_replica.png,submitted gt styling and original gtsave viewport 992,"Context rather than adherence wording, explicit minute denominators, and bedside sleep-environment limitation.",b9ab7430e2134702048dc44847921fa81859467f6a71e34b3ed3291792a0db7e,7b971193baa6332fe380fa1db4dd666674dfd91b87d91b0fa9630001a296e2ba,1972,1070,1972,1658,PASS_FINAL_SIZE_VISUAL_QA
descriptive_overview,figure,figures/Fig1.png,artifacts/10_figures/descriptives/descriptive_overview.png,"panel composition, visual grammar, and nominal V0 manuscript canvas","The accepted scientific content uses the submitted 10.5-by-10-inch design canvas, original source-level theme sizes, and literal ggsave(scale = 1.5) export. Collection dates are continuous site intervals interrupted after at least six dates without data. The pooled profile uses a central 67% value interval; average sleep and civil night are retained, declared non-wear is omitted, and the y-axis uses a true symlog transform with threshold 1.",3933c77a9d9c64f3155f5c460619e586ba7f9a5c3ad20b97d99e7e58409344a1,3088cd0be1fc7c4e97ea75fabac15cd41c21a46d598afd84f0c9629f38c78b6c,4725,4500,4725,4500,TYPOGRAPHY_APPROVED_DETAIL_QA_OPEN
near_eye_site_profiles,figure,figures/Fig2.png,artifacts/10_figures/descriptives/near_eye_site_profiles.png,near-eye data and submitted 3-by-3 site-profile design,"LightLogR-pooled 15-minute medians and nested central 50%, 75%, and 95% value intervals use the updated eligible minute data; average sleep and civil night remain explicit, and declared non-wear is omitted.",5649739643d452cff9d292b94d948cdefef119c40c65f8542e267f2d78d66666,cc7dc0c4cada66c32b312d68feab27598f280e3d8c73a804e5d5154a7aecfb84,5400,3600,2007,1559,PASS_INTENDED_SIZE_VISUAL_QA
chest_site_profiles,figure,figures/Fig2.png,artifacts/10_figures/descriptives/chest_site_profiles.png,submitted site-profile design only; no retained chest Fig2 exists,"MPI is omitted because no eligible chest main days exist; remaining sites retain registered order and colours in a complete four-by-two layout with nested 50%, 75%, and 95% intervals.",5649739643d452cff9d292b94d948cdefef119c40c65f8542e267f2d78d66666,bb2457d93b80b598415f8e71eb02ab5f05c1ec323fac65ff2fe2f6338ac923c2,5400,3600,2007,1275,PASS_INTENDED_SIZE_VISUAL_QA
near_eye_metric_distributions,figure,figures/Fig3.png,artifacts/10_figures/descriptives/near_eye_metric_distributions.png,submitted 4-by-4 ridge-plus-box design and physical dimensions,"Verified metric values, symlog rows, circular clock axes, corrected melEDI names, and DISPLAY-001 replace the old inputs.",2fde138272c58a244c82cec440e5788ea98de8250c4d5533a69d9be5a06a0974,da934a2a75ac4e6fea912006f441e9429dad373bcdfe80120d822b45420d54e3,6000,6000,2007,2007,PASS_INTENDED_SIZE_VISUAL_QA
time_series_to_metrics,figure,figures/Timeseries_to_metrics.png,artifacts/10_figures/descriptives/time_series_to_metrics.png,"submitted four-panel layout, typography, and physical dimensions",The same seven submitted IDs and study days 2–6 are drawn directly from the pinned gap-timing-unaware 30-minute dataset; TAT250 is recalculated from exactly those displayed daytime samples and determines participant order.,9c5f6f076ab08b4f13b8ece4de4bba2e10f881a65120c4de1750800a64d7c91e,4394565089ba25c417e5058fa14449c6014e997bec0689f138053656dcf04b9d,3000,2700,2007,1807,PASS_INTENDED_SIZE_VISUAL_QA
latitude_photoperiod_diagnostic,figure,figures/photoperiod_potential_ridges.png,artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.png,submitted latitude-ridge grammar and physical dimensions,Verified H1 theoretical bounds restore the submitted impossible-region curtains above the observed points and density curves; observed verified main near-eye participant-days and DISPLAY-001 replace the old inputs.,942848db7e2c3e49fe6dc925806c1d9ae95a49af42a555371640aa9e247a676e,72cd033dcaaab0276e610fcae768ee1bd986ae81e1855ef16f0565f46e8aeeca,1800,1800,2007,2007,PASS_INTENDED_SIZE_VISUAL_QA
