artifact_class,path,sha256_before,sha256_after,status
non-MDER source rows,metric_summary,6b3e8361bf771e4e311c84e990362a407fde59a05ff62010ca2604b257e0ef2c,6b3e8361bf771e4e311c84e990362a407fde59a05ff62010ca2604b257e0ef2c,PASS
non-MDER source rows,metric_availability,5a408c8c13f35278721596c268e23f4e8ef0899460c62625af842e478fc1a87c,5a408c8c13f35278721596c268e23f4e8ef0899460c62625af842e478fc1a87c,PASS
non-MDER source rows,metric_replica,a921931d484cc86bbf5253c81faadc02cf9abc765d6eef69e747f124f38efc1c,a921931d484cc86bbf5253c81faadc02cf9abc765d6eef69e747f124f38efc1c,PASS
non-MDER source rows,metric_plot_values,f013f108befc3616a4d78069250067ab9c2a948fd35c53231f901bb065a4212d,f013f108befc3616a4d78069250067ab9c2a948fd35c53231f901bb065a4212d,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/descriptive_overview.png,97c4e60318a9e0733da44a97cc8bd176ac4ebc85c4e41bdd40d900b32fca7248,97c4e60318a9e0733da44a97cc8bd176ac4ebc85c4e41bdd40d900b32fca7248,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/descriptive_overview.jpeg,188234a27f065dc5b3fe4db946e751e5feeecd6ce06bd681732943f9801823de,188234a27f065dc5b3fe4db946e751e5feeecd6ce06bd681732943f9801823de,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/descriptive_overview.pdf,94860c8486b67dfeab04bf3531c3b5f62a3789b4a5444021856ddc72e7ce0e9b,94860c8486b67dfeab04bf3531c3b5f62a3789b4a5444021856ddc72e7ce0e9b,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/descriptive_overview.svg,4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936,4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/near_eye_site_profiles.png,be583f1caa254c5f28fa19489a99cb7b497a58f353e17b4d62bd75b7e351ec50,be583f1caa254c5f28fa19489a99cb7b497a58f353e17b4d62bd75b7e351ec50,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/near_eye_site_profiles.jpeg,f4647c59ab64477db5794dd3d53a7360c79e08803d3b00f2ebf83ecc7c902d9b,f4647c59ab64477db5794dd3d53a7360c79e08803d3b00f2ebf83ecc7c902d9b,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/near_eye_site_profiles.pdf,3010831ecf8c2a65c231f884ce07e5c977fc3b7493c75e7482b4ec8582615849,3010831ecf8c2a65c231f884ce07e5c977fc3b7493c75e7482b4ec8582615849,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/near_eye_site_profiles.svg,6049d50600d463b4a4213a0e3cc923be86749302b638dcc970ca3db580cc87d3,6049d50600d463b4a4213a0e3cc923be86749302b638dcc970ca3db580cc87d3,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/chest_site_profiles.png,b9727d9ff587548f77aa18a5483ab6430c242c721a291b09cfd059541b58f765,b9727d9ff587548f77aa18a5483ab6430c242c721a291b09cfd059541b58f765,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/chest_site_profiles.jpeg,ef20d2ee85c73550a30b28f943d8a8f9ea13ed23a0e20dbc4770a9376cef4622,ef20d2ee85c73550a30b28f943d8a8f9ea13ed23a0e20dbc4770a9376cef4622,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/chest_site_profiles.pdf,42fb03726a6df51d9e3add83534118ece8440589779270dd98e96c8590d926ac,42fb03726a6df51d9e3add83534118ece8440589779270dd98e96c8590d926ac,PASS
untouched reader-facing export,artifacts/10_figures/descriptives/chest_site_profiles.svg,50c82ca393a47c5bd8a377970b2e69cf70bfea2292a1fc0ab69d75e5189b06d6,50c82ca393a47c5bd8a377970b2e69cf70bfea2292a1fc0ab69d75e5189b06d6,PASS
