column_01,column_02,column_03,column_04,column_05,column_06,column_07,column_08,column_09
Site,Wake,Pre-sleep,Sleep,Total2,Wake,Pre-sleep,Sleep,Missing3
Overall,23%,66%,90%,52%,65%,15%,44%,10%
,,,,,,,,
Borås (SE),28%,69%,96%,57%,60%,14%,39%,7%
Delft (NL),29%,67%,91%,56%,52%,12%,37%,17%
Dortmund (DE),28%,67%,91%,57%,47%,12%,35%,14%
Munich (DE),24%,70%,77%,49%,49%,11%,35%,5%
Madrid (ES),21%,64%,98%,54%,45%,11%,32%,11%
Izmir (TR),15%,61%,80%,44%,48%,11%,34%,7%
San José (CR),24%,63%,92%,51%,387%,88%,227%,11%
Kumasi (GH),14%,76%,89%,48%,52%,11%,34%,6%
"1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI","1 Recommendations for healthy lighting refer to Brown et al. (2022). Wake ≥ 250lx melanopic EDI, pre-sleep ≤ 10lx melanopic EDI, sleep ≤ 1lx melanopic EDI"
2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average,2 Total is a time-weighted average
"3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI","3 Missingness can result from either missing sleep-wake diary data for a given day, and/or missing or removed measurements of melanopic EDI"
