legacy_id,legacy_section,legacy_file_or_object,construct,inputs,calculation_and_display,legacy_sample_or_denominator,known_issue,disposition,new_output
T1_FULL,Table 1,tables/tbl1.png / tbl1,"Site, collection, participant, chronotype, sleep, and wear characteristics","Old serialized metric/preprocessed .RData objects plus mutable melidosData demographics, chronotype, sleep diary, site metadata","Combines near-eye and chest participant-days by full join; reports site and Overall columns; medians with ranges or 5th–95th percentiles; formats a transposed gt table","Overall participant roster n=191; legacy near-eye n=143 and chest n=157; union of placement-specific participant-days n=1,480","Pooled/union placement denominator; old non-wear code duplicates near-eye input; chest complete-day count uses the wrong preprocessing stage; unsupported mutable inputs; denominator labels are incomplete","REPAIR_REPLICATE","participant_site_characteristics_replica.csv"
T1_REDUCED_A,Reduced Table 1 A,tables/tbl1_red.png / tbl1_red,"Reduced site and participant characteristics","Subset of T1_FULL","Selects a manually reduced set of rows from the full transposed table","Same mixed legacy denominators as T1_FULL","Redundant presentation of the same unstable table and mixed denominators","RETIRE","Covered by participant_site_characteristics_replica.csv"
T1_REDUCED_B,Reduced Table 1 B,tables/tbl1_short.png,"Short participant/site characteristics","Legacy tbl1_data plus gtsummary","Second independently formatted reduction of Table 1","Same mixed legacy denominators as T1_FULL","Redundant and risks drift because it is independently formatted","RETIRE","Covered by participant_site_characteristics_replica.csv"
T2,Table 2,tables/tbl2.png / tbl2,"Distributions of near-eye light metrics by site","Old H1_results.RData nested metric objects","For each metric/site: linear median, 25th–75th percentiles, mean, SD, and non-missing observation count; embedded ridgeline; timing values treated linearly","Metric-specific rows from the old near-eye metric objects; n is an unlabeled mixture of participant, participant-day, and time-bin observations","Old serialized estimates; incomplete metric set; no participant/day denominator; linear summaries for clock time; diagnostic and inferential provenance mixed","REPAIR_REPLICATE","metric_descriptive_summary_replica.csv"
F1_A,Overview panel A,assets/2026-03-30_MeLiDos_Protocol.png,"Study protocol schematic","Static protocol PNG","Raster image inserted without data linkage","Not data-derived","No source-data contract, uncertain currency, and no accessible text alternative","REPAIR_REPLICATE","descriptive_overview plus protocol_asset_provenance.csv"
F1_B,Overview panel B,P_B,"Collection-date overview","Old light_glasses_processed2 and light_chest_processed2","Row-binds placements, takes distinct site/participant/timestamp, then uses LightLogR gg_overview","Near-eye and chest timestamps pooled; no displayed participant-day denominator","Violates the placement-separation rule and obscures which dates belong to which measurement position","REPAIR_REPLICATE","collection_days.csv and descriptive_overview"
F1_C,Overview panel C,P_C,"Geographic distribution of sites","Mutable melidosData country/city/coordinate objects plus rnaturalearth polygons","Projects a world map and labels nine sites","Nine study sites","Coordinates were not tied to the verified solar-context artifact and no exact figure source CSV was exported","REPAIR_REPLICATE","site_locations.csv, world_map_wkt.csv, and descriptive_overview"
F1_D,Overview panel D,P_D,"Overall 24-hour melEDI profile with sleep and photoperiod context","Old near-eye processed2 one-minute data","Changes all dates to one arbitrary date; aggregates to 15-minute medians and quantiles; duplicates to 48 hours with gg_doubleplot; overlays site medians and pointwise quantile ribbons","Legacy near-eye complete days; observations and participants are not stated","Bands are distribution bands but described visually like uncertainty; dates are rewritten; private LightLogR helpers used; participant weighting is not controlled; 48-hour duplication adds no information","REPAIR_REPLICATE","profile_summary.csv, profile_context_bands.csv, and descriptive_overview"
F1_E,Overview panel E,P_E,"Photoperiod distribution by site","Old nested glasses and chest metric objects","Row-binds placements, deduplicates site/participant/date, and plots boxplots plus density ridges","Union of placement-specific dates; n not shown","Placement pooling and old mutable/serialized inputs; no source-data export","REPAIR_REPLICATE","collection_days.csv and descriptive_overview; near-eye is displayed and chest remains explicit in source data"
F1_COMPOSITE,Overview figure,figures/Fig1.pdf and figures/Fig1.png,"Protocol, geography, collection timing, photoperiod, and overall light profile","Panels F1_A–F1_E","Patchwork composition with five panels","Mixed denominators across panels","No exact source-data bundle, no deterministic manifest, no alt text, and visually dominant protocol raster","REPAIR_REPLICATE","descriptive_overview PNG/JPEG/PDF/SVG set"
F2_COMPOSITE,Site profile figure,figures/Fig2.pdf and figures/Fig2.png,"Site-specific 24-hour near-eye melEDI profiles","Old near-eye processed2 one-minute data","Rewrites dates, aggregates to 15 minutes, duplicates to 48 hours, facets nine sites, overlays nested quantile ribbons and lines","Legacy near-eye complete days; no participant/day/minute counts","All-site fixed layer can appear in every facet; bands are empirical quantiles rather than uncertainty; no participant balancing; private LightLogR helpers; no source CSV or alt text","REPAIR_REPLICATE","near_eye_site_profiles and complementary chest_site_profiles PNG/JPEG/PDF/SVG sets"
F2_SITE,Site-specific profile exports,figures/Fig2_individual/Fig2_<site>.pdf,"One profile for each of nine sites","Same data as F2_COMPOSITE","Helper creates nine individual PDFs","Site-specific legacy near-eye days; n not stated","Duplicates the composite without an output contract and inherits its analytical problems","RETIRE","One audited nine-panel primary figure; exact site data remain in profile_summary.csv and profile_context_bands.csv"
F3_COMPOSITE,Metric distribution figure,figures/Fig3.pdf and figures/Fig3.png,"Distributions of 16 displayed near-eye metrics","Old H1_results.RData nested metric objects and Table 2 transformations","Builds separate metric plots, excludes darkest-10-hour mean from composite, then combines panels","Metric-specific mixed analysis units; n not stated on the figure","Old/incomplete metric inventory; units and denominators vary; no circular treatment for timing; no source-data export or alt text","REPAIR_REPLICATE","near_eye_metric_distributions PNG/JPEG/PDF/SVG set"
F3_INDIVIDUAL,Individual metric exports,figures/Fig3_individual/Fig3_A.pdf through Fig3_Q.pdf,"One distribution plot per old metric","Same data as F3_COMPOSITE","Exports 17 letter-named PDFs, including the metric omitted from the composite","Metric-specific mixed analysis units","Letter-only filenames are not semantically stable; outputs can drift from composite; no source-data contract","RETIRE","Semantically named rows in metric_plot_values.csv and one primary composite"
F_LAT,Latitude–photoperiod diagnostic,figures/photoperiod_potential_ridges.pdf and .png,"Observed photoperiod by absolute latitude against theoretical annual bounds","Old P_E_data plus newly calculated photoperiod for latitudes 0–60 degrees","Jitter and density ridges over black ribbons outside theoretical annual bounds","Legacy pooled placement dates; n not shown","Recalculates solar context in the notebook, pools placements, and the black masks dominate the data","REPAIR_REPLICATE_SUPPLEMENT","latitude_photoperiod_diagnostic PNG/JPEG/PDF/SVG set from verified near-eye solar context"
T_REC_NEAR,Near-eye recommendation table,tables/Brown_table.png,"Fraction of observed minutes meeting Brown et al. day/evening/night light recommendations","Old near-eye processed2 one-minute data","Brown2reference classifies wake, pre-sleep, and sleep; site and pooled time-weighted percentages are labeled adherence; missing time is derived separately","Legacy near-eye complete days and minutes; participants/days/minutes not shown","Adherence/compliance framing is not warranted; state support denominator is not explicit; sleep is a bedside environment measurement, not ocular exposure","REPAIR_REPLICATE_CONTEXTUAL","recommendation_context_replica.csv and recommendation_context_near_eye.csv"
