"path","bytes","sha256","actual_sha256","actual_bytes","pass"
"code/complete_review_and_seal.R",8452,"dfb80368f6de2c7c6d97e32eda4b025083a02d799fe6dfb60dd2b0d3f56ad712","dfb80368f6de2c7c6d97e32eda4b025083a02d799fe6dfb60dd2b0d3f56ad712",8452,TRUE
"code/index_final_pages.R",2049,"b86d24b98f970e123a2cc8441788650fb1ae31113f7f0bc8989bd8cf093bcb13","b86d24b98f970e123a2cc8441788650fb1ae31113f7f0bc8989bd8cf093bcb13",2049,TRUE
"code/patch_s9_break.py",5585,"df4e9e2d267e2c7b1dfcf178fc8243ce0fcb52e6888870da33fc017faedb4e27","df4e9e2d267e2c7b1dfcf178fc8243ce0fcb52e6888870da33fc017faedb4e27",5585,TRUE
"code/render_final.py",2166,"0a7e33dadd4d4615579ef4e9d41a7e37f671a378a96b4839d95f6325f89ab3e6","0a7e33dadd4d4615579ef4e9d41a7e37f671a378a96b4839d95f6325f89ab3e6",2166,TRUE
"code/verify_final.R",5588,"4eaa8cf0dff122e2b574045970537818035773bf9fec82a8a1d18f552be620fe","4eaa8cf0dff122e2b574045970537818035773bf9fec82a8a1d18f552be620fe",5588,TRUE
"completion_handoff.md",6827,"2e7a75b1dacd901aeb30cccbc01477269825eae5815055191f48971dcfe26283","2e7a75b1dacd901aeb30cccbc01477269825eae5815055191f48971dcfe26283",6827,TRUE
"deliverables/Nature_Health_manuscript.docx",14372157,"325c3a8e3a76ea225970f80e177ceed0bbdd592b72e79196d154597f3581250b","325c3a8e3a76ea225970f80e177ceed0bbdd592b72e79196d154597f3581250b",14372157,TRUE
"evidence/bookmark_guard_stop/code/patch_s9_break.py",5124,"6370bf176b1a10a7dd6fa81e6cd8282158f920d80317d589c4b2215e64affe8c","6370bf176b1a10a7dd6fa81e6cd8282158f920d80317d589c4b2215e64affe8c",5124,TRUE
"evidence/bookmark_guard_stop/code/render_final.py",2166,"0a7e33dadd4d4615579ef4e9d41a7e37f671a378a96b4839d95f6325f89ab3e6","0a7e33dadd4d4615579ef4e9d41a7e37f671a378a96b4839d95f6325f89ab3e6",2166,TRUE
"evidence/bookmark_guard_stop/code/verify_final.R",5588,"4eaa8cf0dff122e2b574045970537818035773bf9fec82a8a1d18f552be620fe","4eaa8cf0dff122e2b574045970537818035773bf9fec82a8a1d18f552be620fe",5588,TRUE
"evidence/bookmark_guard_stop/evidence/dispatch36_preflight.csv",8733,"15daa99d437571467c14fe72d3c9e92445302e3b3714d15a1105225a2142ea06","15daa99d437571467c14fe72d3c9e92445302e3b3714d15a1105225a2142ea06",8733,TRUE
