"check","status","evidence"
"R parse","PASS","R 4.6.1 parse completed without error"
"exporter identity","PASS","dbaf4f34f5383c36b87955bfb03f8f277313829bdb2b2810e8afbea80169a389"
"candidate endpoint","PASS","audit/hypotheses/H05/report018_order72_svg_export/candidate/H05_reader_near_eye_effects.svg"
"SVG device call count","PASS","exactly one svglite::svglite call"
"plotting inputs","PASS","frozen near-eye display CSV plus chest effect_fill solely for the shared colour limit"
"accepted plotting expression","PASS","tile heatmap, stored effect_fill and effect_label, accepted gradient, labels, theme, 9 by 9 inch canvas"
"broad builder execution","PASS","no source call and no builder execution"
"model or analytical input","PASS","no model archive, model table, fitted object, prediction, inference, p-value, or FDR calculation"
"raster or report command","PASS","no sips, Quick Look, graphics probe, plot.new, Quarto, knitr, or Pandoc command"
"write boundary","PASS","all writes resolve beneath audit/hypotheses/H05/report018_order72_svg_export"
