variable_id,placement,analysis_unit,value_type,comparison_status,comparison_unit,axis_geometry,variable_order,metric_id,manuscript_name,abbreviation,manuscript_category,analytical_role,variant_label,domain,native_unit,display_unit,canonical_transform,baseline_transform,linear_summary_interpretation,technical_estimand,mapping_scope,semantic_comparability,comparability_class,comparability_note,non_applicable_reason,canonical_n_observations,canonical_n_estimable,canonical_n_observed,canonical_n_missing,canonical_n_nonfinite,canonical_n_participants,canonical_n_participants_observed,canonical_n_participant_days,canonical_n_participant_days_observed,canonical_mean,canonical_median,canonical_sd,canonical_iqr,canonical_q025,canonical_q25,canonical_q75,canonical_q975,canonical_zero_rate,canonical_nonfinite_rate,canonical_circular_mean,canonical_circular_median,canonical_circular_resultant_length,canonical_circular_sd_hours,baseline_n_observations,baseline_n_estimable,baseline_n_observed,baseline_n_missing,baseline_n_nonfinite,baseline_n_participants,baseline_n_participants_observed,baseline_n_participant_days,baseline_n_participant_days_observed,baseline_mean,baseline_median,baseline_sd,baseline_iqr,baseline_q025,baseline_q25,baseline_q75,baseline_q975,baseline_zero_rate,baseline_nonfinite_rate,baseline_circular_mean,baseline_circular_median,baseline_circular_resultant_length,baseline_circular_sd_hours,delta_n_observations,delta_n_estimable,delta_n_observed,delta_n_missing,delta_n_nonfinite,delta_n_participants,delta_n_participants_observed,delta_n_participant_days,delta_n_participant_days_observed,distance_scope,distance_interpretation,baseline_bowley_skew,canonical_bowley_skew,baseline_tail_asymmetry,canonical_tail_asymmetry,ecdf_max_distance,wasserstein_1,wasserstein_1_iqr_scaled,circular_kuiper_distance,total_variation_distance,maximum_absolute_proportion_difference,key_baseline_n_keys,key_canonical_n_keys,key_common_n_keys,key_baseline_only_n_keys,key_canonical_only_n_keys,key_baseline_n_participants,key_canonical_n_participants,key_baseline_n_participant_days,key_canonical_n_participant_days,n_common_keys,n_paired_observed,mean_difference,sd_difference,median_difference,iqr_difference,q025_difference,q975_difference,mean_absolute_difference,root_mean_square_difference,pearson_correlation,spearman_correlation,n_equal,agreement_rate
light_interdaily_stability,chest,participant,numeric,applicable_field_key_mapping,dimensionless,linear,1,interdaily_stability,Interdaily stability,IS,dynamics-based,primary_outcome,Repeated-day regularity,light_metric,dimensionless,dimensionless,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,interdaily stability,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The manuscript-prepared IS/IV calculation drops missing hourly values before aggregation or adjacency, which can bridge absent hours; the main analysis represents time support and adjacency explicitly. Comparison is descriptive only.",,154,153,153,1,0,154,153,,,0.30470297116360145,0.2885024397835316,0.08749176480581854,0.11519694897633145,0.16177317874030583,0.24305979052274376,0.3582567394990752,0.51663869144382,0,0,,,,,154,154,154,0,0,154,154,,,0.30909082767937507,0.3017672169928125,0.09242157835701617,0.11483305860971382,0.16105562178920083,0.24713575642199903,0.36196881503171285,0.544718998805404,0,0,,,,,0,-1,-1,1,0,0,-1,,,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.048506392980598494,0.21104422183742833,0.18628204081133687,0.2359924696712528,0.04872251931075461,0.005294388491507861,0.04559966583019762,,,,154,154,154,0,0,154,154,,,154,153,-0.0028335861368266797,0.021955394168009665,7.208088078320962e-4,0.007936634760150607,-0.06673160271827018,0.027755561330984276,0.011644426805755018,0.022066217609531466,0.9702640300851038,0.9646241271628269,,
light_interdaily_stability,glasses,participant,numeric,applicable_field_key_mapping,dimensionless,linear,1,interdaily_stability,Interdaily stability,IS,dynamics-based,primary_outcome,Repeated-day regularity,light_metric,dimensionless,dimensionless,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,interdaily stability,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The manuscript-prepared IS/IV calculation drops missing hourly values before aggregation or adjacency, which can bridge absent hours; the main analysis represents time support and adjacency explicitly. Comparison is descriptive only.",,141,141,141,0,0,141,141,,,0.31833544671642744,0.30770686031022043,0.09485770609390783,0.13218144897727402,0.16951724499712006,0.24767711908516649,0.3798585680624405,0.5081054373109789,0,0,,,,,141,141,141,0,0,141,141,,,0.32008007957380563,0.307901091732898,0.09521198636282607,0.13060503936402407,0.1665966008009253,0.2514100217280638,0.3820150610920879,0.5240960097358088,0,0,,,,,0,0,0,0,0,0,0,,,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.13493276706756327,0.09170701804948636,0.22604954936751168,0.22123412541841106,0.05673758865248224,0.004001181467739042,0.030198071380355997,,,,141,141,141,0,0,141,141,,,141,141,-0.0017446328573781937,0.02109139547499136,0.0019129416169245683,0.007651145757913619,-0.06006011382005007,0.01805828722966618,0.011541494174560284,0.021088759183246056,0.9753796719020412,0.9724859797080354,,
light_intradaily_variability,chest,participant,numeric,applicable_field_key_mapping,dimensionless,linear,2,intradaily_variability,Intradaily variability,IV,dynamics-based,primary_outcome,Within-day fragmentation,light_metric,dimensionless,dimensionless,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,intradaily variability,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The manuscript-prepared IS/IV calculation drops missing hourly values before aggregation or adjacency, which can bridge absent hours; the main analysis represents time support and adjacency explicitly. Comparison is descriptive only.",,154,153,153,1,0,154,153,,,1.275964176594581,1.2547400865563498,0.399334277873302,0.615219307676732,0.5632982753286218,0.9844418050377663,1.5996611127144984,2.014970766426899,0,0,,,,,154,154,154,0,0,154,154,,,1.3245035724837326,1.321069748800305,0.3893872768998593,0.6503171616963082,0.5773198942274248,1.0163773830424285,1.6666945447387367,1.9752249319651796,0,0,,,,,0,-1,-1,1,0,0,-1,,,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.06294225739604642,0.12129454278892031,0.028840877932789225,0.07511780528918484,0.09392241745182922,0.05095340927584418,0.07967809423997545,,,,154,154,154,0,0,154,154,,,154,153,-0.05126561140393412,0.18156864415160145,2.220446049250313e-16,0.04835212619463891,-0.7031651230420424,0.0660028187435371,0.07634015782314202,0.18809535809192252,0.8942703600394394,0.8965930869955637,,
light_intradaily_variability,glasses,participant,numeric,applicable_field_key_mapping,dimensionless,linear,2,intradaily_variability,Intradaily variability,IV,dynamics-based,primary_outcome,Within-day fragmentation,light_metric,dimensionless,dimensionless,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,intradaily variability,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The manuscript-prepared IS/IV calculation drops missing hourly values before aggregation or adjacency, which can bridge absent hours; the main analysis represents time support and adjacency explicitly. Comparison is descriptive only.",,141,141,141,0,0,141,141,,,1.229035231172599,1.2526334367099268,0.3888987202639418,0.5711733071220564,0.534557616576181,0.9304017244702456,1.501575031592302,1.9337591981185764,0,0,,,,,141,141,141,0,0,141,141,,,1.2771272347100882,1.322128200263119,0.3795396802584897,0.5759136714697888,0.5472064618816421,0.9596437515448648,1.5355574230146536,1.934696592650472,0,0,,,,,0,0,0,0,0,0,0,,,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,-0.25881522413995756,-0.12831502530569852,-0.0890827304014167,0.021946048252647697,0.08510638297872342,0.05173673820288512,0.08789722715553601,,,,141,141,141,0,0,141,141,,,141,141,-0.04809200353748923,0.16049453938265054,2.220446049250313e-16,0.04929609757326725,-0.6452958555856196,0.06918922887294832,0.07231922937375183,0.16699896286742366,0.9130404083684052,0.9006036217303823,,
light_daily_geometric_mean_medi,chest,participant_day,numeric,applicable_field_key_mapping,lx,linear,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,primary_outcome,Daily geometric mean,light_metric,lx,lx,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,Participant-day zero-aware geometric mean melEDI,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The variables have the same broad name, but the main analysis changes masking, temporal support, admissibility, gap handling, DST handling, tie handling, or integration; side-by-side and paired values are descriptive and do not prove that the variables measure exactly the same quantity.",,902,902,902,0,0,154,154,902,902,6.433427982301349,4.666686730771975,7.5583641134982535,5.915802524192856,0.26218100629392616,2.4318557705331822,8.347658294726038,21.647740893443473,0,0,,,,,897,897,897,0,0,154,154,897,897,6.398001512627041,4.619502356542803,7.529174016295653,5.876707156996149,0.23741356337682973,2.4146761049551793,8.291383261951328,21.467281670565583,0.0033444816053511705,0,,,,,5,5,5,0,0,0,0,5,5,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.24963889039024,0.24445383323754216,0.4679035207109757,0.487840031759258,0.010812093526833738,0.06487500649087502,0.010989843657609815,,,,897,902,894,3,8,154,154,897,902,894,894,0.03849637600845088,0.3174160547651514,0,1.1102230246251565e-16,-0.2361249405652182,0.6423435771539927,0.08770700443777857,0.3195656798487626,0.9991430544193057,0.9992774298476611,,
light_daily_geometric_mean_medi,glasses,participant_day,numeric,applicable_field_key_mapping,lx,linear,3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,primary_outcome,Daily geometric mean,light_metric,lx,lx,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,Participant-day zero-aware geometric mean melEDI,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The variables have the same broad name, but the main analysis changes masking, temporal support, admissibility, gap handling, DST handling, tie handling, or integration; side-by-side and paired values are descriptive and do not prove that the variables measure exactly the same quantity.",,816,816,816,0,0,141,141,816,816,7.5873291018065965,5.15447793332358,9.495589226344157,6.394258583448909,0.3785209433549892,2.8310551959612797,9.22531377941019,27.337870407500354,0,0,,,,,811,811,811,0,0,141,141,811,811,7.549270726345957,5.130147960258894,9.41962377890424,6.431491236871401,0.3680603091735486,2.7658200508343755,9.197311287705777,29.02069302896109,0.002466091245376079,0,,,,,5,5,5,0,0,0,0,5,5,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.26476525510290644,0.27327845533919537,0.5652707694909841,0.5610160637624886,0.013416926573342036,0.057592753593109176,0.008941316060523553,,,,811,816,809,2,7,141,141,811,816,809,809,0.04552019570898328,0.32926709741291477,0,1.7763568394002505e-15,-0.21245701157925895,0.6472393983573841,0.09081560936511558,0.3321970744600196,0.9994513769956251,0.9992415042905197,,
light_dose_observed_medi,chest,participant_day,numeric,applicable_field_key_mapping,lx_h,linear,4,dose_observed_medi,melEDI dose,Dose,exposure-history-based,diagnostic_outcome,Observed-duration integration,light_metric,lx_h,lx·h,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,Observed participant-day melEDI integral,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The variables have the same broad name, but the main analysis changes masking, temporal support, admissibility, gap handling, DST handling, tie handling, or integration; side-by-side and paired values are descriptive and do not prove that the variables measure exactly the same quantity.",,902,902,902,0,0,154,154,902,902,12149.799715724315,6132.549083333332,18283.376213609234,12246.62661111111,216.99843958333352,2204.563159722223,14451.189770833334,61693.669336805586,0,0,,,,,897,897,897,0,0,154,154,897,897,12199.172769540444,5927.7256944444425,18871.638061348705,12135.376999999979,200.61778333333336,2138.172361111111,14273.549361111089,65035.057000000175,0.0033444816053511705,0,,,,,5,5,5,0,0,0,0,5,5,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.3754535465468705,0.35851952568761614,0.7357786171226453,0.7253904935723675,0.009932096888618624,181.59504308619918,0.014903643502519043,,,,897,902,894,3,8,154,154,897,902,894,894,-25.173916387026086,2029.867099587044,1.5916157281026244e-12,0.7801458333347,-1.1159499990753828e-10,991.8187902777908,289.4122986266553,2028.8876912620626,0.9944789155690495,0.9983464389164419,,
light_dose_observed_medi,glasses,participant_day,numeric,applicable_field_key_mapping,lx_h,linear,4,dose_observed_medi,melEDI dose,Dose,exposure-history-based,diagnostic_outcome,Observed-duration integration,light_metric,lx_h,lx·h,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,Observed participant-day melEDI integral,Direct field and key mapping for descriptive before/after reconciliation; not a claim of value or estimand equivalence.,same_named_or_directly_corresponding_construct_with_repaired_implementation,same_nominal_construct_changed_computation_admissibility_descriptive_only,"The variables have the same broad name, but the main analysis changes masking, temporal support, admissibility, gap handling, DST handling, tie handling, or integration; side-by-side and paired values are descriptive and do not prove that the variables measure exactly the same quantity.",,816,816,816,0,0,141,141,816,816,9766.364356583605,4826.3859722222105,15299.612890289069,9893.267152777775,190.06136458333341,1803.3474166666665,11696.614569444442,50584.990718750014,0,0,,,,,811,811,811,0,0,141,141,811,811,9774.736977736677,4770.2715555555615,15757.99729584822,9894.109986111105,183.87795138888887,1780.0167638888875,11674.126749999992,51796.51387500004,0.002466091245376079,0,,,,,5,5,5,0,0,0,0,5,5,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,0.3955485039353199,0.3888695192655842,0.7453816272819569,0.7412169104456071,0.00982507676313435,121.02146343177124,0.012246257236775198,,,,811,816,809,2,7,141,141,811,816,809,809,8.090937165222353,1172.1149284973983,1.8189894035458565e-12,1.397416666663048,-4.729372449219227e-11,794.9755777777684,153.47772201621333,1171.418224630828,0.9975191771741639,0.9987562003007058,,
light_dose_time_sensitive_corrected_medi,chest,participant_day,numeric,not_applicable_no_field_key_mapping,lx_h,linear,5,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,primary_outcome,Time-sensitive missing-coverage correction,light_metric,lx_h,lx·h,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,Time-sensitive support-profile corrected melEDI integral,Main-analysis availability only; no direct manuscript-prepared field and record-key mapping is asserted.,not_applicable,changed_estimand_or_no_direct_mapping_no_numerical_comparison,The corrected dose is a new support-profile estimand; the frozen baseline contains only uncorrected dose.,The corrected dose is a new support-profile estimand; the frozen baseline contains only uncorrected dose.,902,851,851,51,0,154,154,902,851,12704.057446020277,6425.503034463879,19110.169088181567,12659.782485579222,211.9572625927887,2278.3112648928964,14938.093750472119,66946.93010800527,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,,0.3448241667192854,,0.7172863278086791,,,,,,,,902,,,,,154,,902,,,,,,,,,,,,,,
light_dose_time_sensitive_corrected_medi,glasses,participant_day,numeric,not_applicable_no_field_key_mapping,lx_h,linear,5,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,primary_outcome,Time-sensitive missing-coverage correction,light_metric,lx_h,lx·h,identity,identity,Ordinary linear distribution summary on the declared comparison scale.,Time-sensitive support-profile corrected melEDI integral,Main-analysis availability only; no direct manuscript-prepared field and record-key mapping is asserted.,not_applicable,changed_estimand_or_no_direct_mapping_no_numerical_comparison,The corrected dose is a new support-profile estimand; the frozen baseline contains only uncorrected dose.,The corrected dose is a new support-profile estimand; the frozen baseline contains only uncorrected dose.,816,761,761,55,0,141,141,816,761,10358.399562841918,4959.551889056097,16215.57520053105,10377.01485643319,185.41541666666672,1936.2984213445752,12313.313277777765,54211.35355669282,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all_estimable_rows; numeric finite only; categorical missing retained as level,Descriptive empirical distance only; no hypothesis test or sample-size-driven p-value.,,0.4173173095464408,,0.7457300707769317,,,,,,,,816,,,,,141,,816,,,,,,,,,,,,,,
