item,classification,pass
implementation_postimage_and_sidecar,EXACT_FINAL_IDENTITY,TRUE
order70d_implementation_preimage,REVERSE_PROOF_PRESERVED,TRUE
retained_candidate_index,EXACT_POST_TRANSFORM_CANDIDATE,TRUE
retained_candidate_docx,EXACT_ACCEPTED_COPY,TRUE
production_landing_preimage,EXACT_UNCHANGED_PREIMAGE,TRUE
production_corpus_preimage,EXACT_UNCHANGED_PREIMAGE,TRUE
production_docx_absence,EXACT_ABSENT_PREIMAGE,TRUE
promotion_manifest_generation,EVIDENCE_ONLY_PRESEAL,TRUE
completion_manifest_self_exclusion,SAFE_NON_CIRCULAR_EXCLUSION_PRESENT,TRUE
checker_candidate_write_path,NONE_INVOKED,TRUE
checker_production_write_path,NONE_INVOKED,TRUE
checker_self_pin,SAFE_NO_SELF_PIN,TRUE
