"endpoint_type","order","label","status"
"table",1,"tbl-h06d-prep-execution-boundary","PASS"
"table",2,"tbl-h06d-prep-input-provenance","PASS"
"table",3,"tbl-h06d-prep-metric-registry","PASS"
"table",4,"tbl-h06d-prep-predictors","PASS"
"table",5,"tbl-h06d-prep-primary-samples","PASS"
"table",6,"tbl-h06d-prep-sample-roles","PASS"
"table",7,"tbl-h06d-prep-category-support","PASS"
"table",8,"tbl-h06d-prep-site-support","PASS"
"table",9,"tbl-h06d-prep-model-hierarchy","PASS"
"table",10,"tbl-h06d-prep-multiplicity","PASS"
"table",11,"tbl-h06d-prep-diagnostics","PASS"
"table",12,"tbl-h06d-prep-sensitivities","PASS"
"table",13,"tbl-h06d-prep-joint-context","PASS"
"table",14,"tbl-h06d-prep-temporal-formula","PASS"
"table",15,"tbl-h06d-prep-temporal-support","PASS"
"table",16,"tbl-h06d-prep-code-map","PASS"
"table",17,"tbl-h06d-prep-output-trace","PASS"
"figure",1,"fig-h06d-prep-primary-sample-support","PASS"
