"check","observed","expected","status"
"dispatch rows","35","35","PASS"
"hard dispatch rows","33","33","PASS"
"stopped acceptance rows","23","23","PASS"
"owner stopped manifest rows","50","50","PASS"
"build files","846","846","PASS"
"build symlinks","0","0","PASS"
"protected files","3498",,"PASS"
"source postimage","ae0d270b18690e01a708f25c73dccbb0b42ac5bc8529db4d5001398255271252","ae0d270b18690e01a708f25c73dccbb0b42ac5bc8529db4d5001398255271252","PASS"
"reverse proof","ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709","ef4fde67d5dd2ebbb14deb76c025b5ac2ac9b6a34f7b34ca62c2fdb382bde709","PASS"
"R chunks","19","19","PASS"
"native gt tables","17","17","PASS"
"figure labels","1","1","PASS"
"top-down Mermaid","1","1","PASS"
"dynamic qmd links","2","2","PASS"
"required checker invocations","1","1","PASS"
"active prohibited process classes","0","0","PASS"
