run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,approximation,measure,estimate,conf_low,conf_high,bootstrap_successful_used,interval_method,status
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,marginal_r2,0.03223438396758896,0.0182442267801911,0.10264371427303876,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,conditional_r2,0.2934003212539714,0.2049561352768886,0.3713859733457653,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,participant_associated_share,0.2611659372863825,0.15207727436003754,0.32087133541864477,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,site_part_r2,0.02734565441939008,0.01453012166729375,0.09236496139485505,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,photoperiod_part_r2,0.01776246042014235,7.934760927166899e-4,0.05457183693999692,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,latitude_model_marginal_r2,0.00530293127981539,3.019252453517819e-4,0.03422526873402787,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,latitude_part_r2,4.135282331135152e-4,5.760904214188647e-6,0.01808505777968867,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,lognormal,unrepresented_share,0.7065996787460286,0.6286140266542347,0.7950438647231114,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,marginal_r2,0.02998055061717645,0.0168708202262925,0.09570095347840953,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,conditional_r2,0.2728857232480395,0.1882104605310772,0.34936519918400494,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,participant_associated_share,0.24290517263086303,0.14000773872982902,0.3018612102201746,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,site_part_r2,0.02543364183117847,0.01331256781854688,0.08607327051242755,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,photoperiod_part_r2,0.01652050630926025,7.353685096645437e-4,0.0506384834072665,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,latitude_model_marginal_r2,0.00493125149630566,2.8071870446884535e-4,0.03180821930204645,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,latitude_part_r2,3.8454424745565456e-4,5.344646680735881e-6,0.01679015220582827,1000,joint_parametric_percentile,PASS
main__chest__all_available,main,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,tweedie_log,identity,delta,unrepresented_share,0.7271142767519605,0.6506348008159952,0.8117895394689228,1000,joint_parametric_percentile,PASS
