"analysis_state","rows","mean_scaled_residual","sd_scaled_residual","q05_scaled_residual","q50_scaled_residual","q95_scaled_residual","mean_quantile_residual","sd_quantile_residual","grouping","site","day_type","sample_id"
"Wake outside the three hours before sleep",844,0.502731190938184,0.278498567982114,0.0458514039175093,0.518020486537015,0.939253058484198,-0.000357102192137037,0.954769545544777,"state",,,"B_chest"
"Pre-sleep",845,0.494894523068678,0.286255181199098,0.0497488258263236,0.4656797520028,0.943855328032409,-0.0096688510518961,0.995660227543987,"state",,,"B_chest"
,199,0.50118285947632,0.299020562497747,0.0397154930310856,0.519989460203613,0.958123707528912,-0.00524092013402835,1.04513991615684,"site","BAUA",,"B_chest"
,221,0.508539050217222,0.286456921798905,0.063672191401203,0.510592980994045,0.953002627662834,0.0434701557833578,1.00500744295844,"site","FUSPCEU",,"B_chest"
,210,0.495522672434262,0.274170519764163,0.0560977736714062,0.476045667198356,0.921753222191286,-0.00417555106128007,0.965923193305941,"site","IZTECH",,"B_chest"
,168,0.489055658833861,0.289354048234016,0.0371263496993495,0.467883333846898,0.957693782961272,-0.036746311969475,1.03760845620768,"site","KNUST",,"B_chest"
,182,0.49975696017784,0.28183361675858,0.0562507537848841,0.528239734983364,0.933999736009024,-0.00923938757906761,0.94590851765487,"site","RISE",,"B_chest"
,152,0.503630576798582,0.294806843579789,0.0244721041605768,0.504855853992083,0.93886141382176,-0.01561715695726,1.04035609140401,"site","THUAS",,"B_chest"
,118,0.490477552469647,0.289823980431704,0.0526871852691286,0.490889095666087,0.946236936049883,-0.0238461629263095,1.03044020585492,"site","TUM",,"B_chest"
,439,0.498322096807775,0.269193395438807,0.0726962321166633,0.487973019769328,0.908045541391378,-0.00709809784630372,0.883050815489712,"site","UCR",,"B_chest"
,1043,0.497707060824228,0.280638323787706,0.048544112079933,0.494567875467245,0.940049273689347,-0.0111813409122118,0.963859584828223,"day_type",,"Work day","B_chest"
,646,0.500592155890388,0.285299485265571,0.0457291584194704,0.490328763749692,0.944827838243925,0.00493895539074462,0.993814203968327,"day_type",,"Free day","B_chest"
