"required_text","present"
"Answer in brief",TRUE
"Personal light exposure metrics depend on age and gender",TRUE
"measured biological sex",TRUE
"Age, per 10 years",TRUE
"Female minus Male",TRUE
"Time below 10 lx melEDI before sleep",TRUE
"Current MDER associations",TRUE
"702 participant-days from 137 participants",TRUE
"687 participant-days from 137 participants",TRUE
"Every finite primary and gap-timing-unaware MDER value is strictly positive",TRUE
"A day with no viable momentary ratio is reason-coded missing",TRUE
"Gaussian",TRUE
"FDR-adjusted p",TRUE
"Near eye (primary)",TRUE
"Chest (complementary)",TRUE
"Overview of statistically supported associations",FALSE
"every main association that met its separately labelled 17-metric FDR rule",TRUE
"295 de-identified participant display rows",TRUE
"Twenty-five models were assessed acceptable",TRUE
"43 acceptable with specified limitations",TRUE
"zero not acceptable",TRUE
"Core residual checks",TRUE
"68-page diagnostic appendix",TRUE
"gap-timing-unaware dataset",TRUE
"applies the same general coverage rules as the primary dataset",TRUE
"does not use the timing of remaining missing observations for metric-specific adjustment",TRUE
"not an equivalence margin",TRUE
"IS and IV were unavailable",TRUE
"R 4.6.1",TRUE
