"domain","check_id","pass","detail"
"identity","fixed_inputs_and_held_outputs",TRUE,"exact=19/19"
"render","fresh_result_html",TRUE,"sha256=37d5ffb4b5e33f23690e222c90ac6c26b70a222298c7c631005d41e3db4bee14 bytes=359702"
"stopped_test","single_missing_reader_assertion",TRUE,"Overview of statistically supported associations"
"construct","rendered_sex_gender_boundary",TRUE,"positive=5/5 false_phrases=0"
"structure","native_tables_and_figures",TRUE,"tables=15 figures=8"
"semantics","repair_reverse_reapply_and_headers",TRUE,"disposition=REPAIRED tables=15 ids=92 headers=1038 substitutions=1130"
"historical_manifest","six_post_render_transitions",TRUE,"_build/nathealth/notebooks/hypotheses/H10.html|_quarto-nathealth.yml|audit/hypotheses/H10/H10_analysis_preparation.qmd|notebooks/hypotheses/H10.qmd|tests/hypotheses/H10/test_h10_preparation_report.R|tests/hypotheses/H10/test_h10_stage3_reader_report.R"
"scientific_assets","fifty_seven_preserved",TRUE,"exact=57/57"
"phase4","historical_result_transition",TRUE,"historical=6bd3da932b7f743c2c28b2b5abe7a3772fc2ee6587c75f6fff1dca8910332c84 live=37d5ffb4b5e33f23690e222c90ac6c26b70a222298c7c631005d41e3db4bee14"
"filesystem","single_target_build_delta",TRUE,"delta_rows=3 symlinks=0"
"evidence","preflight_and_transition_evidence_copied",TRUE,"preflight checks and zero-context test diff retained"
