"domain","check_id","pass","detail"
"dispatch","non_transition_members",TRUE,"exact=32/32"
"dispatch","authorized_test_postimage",TRUE,"live test is byte-identical to the sealed postimage"
"dispatch","released_coordination_matrix",TRUE,"released H10 state active_order58_h10_result_render"
"test_transition","exact_reverse",TRUE,"sha256=803f4139c6c99b56e49ed160b1ae644244a7ac8acbfa80328e7945eb326242f1 bytes=23710"
"test_transition","zero_context_diff",TRUE,"status=1 lines=103 sha256=630ab8384016454595b42c6556f1762303e038bb74d0b1d79d6f593fceea4fe7"
"source","parse_without_execution",TRUE,"result_chunks=24 test_parse=PASS"
"source","native_endpoints",TRUE,"tables=15 figures=8"
"source","relative_links",TRUE,"occurrences=26 unique=24"
"source","scientific_contracts",TRUE,"five formulas, construct boundary, four FDR families, hierarchy, provenance"
"source","no_scientific_recomputation_or_writes",TRUE,""
"historical_manifest","five_pre_render_transitions",TRUE,"_quarto-nathealth.yml|audit/hypotheses/H10/H10_analysis_preparation.qmd|notebooks/hypotheses/H10.qmd|tests/hypotheses/H10/test_h10_preparation_report.R|tests/hypotheses/H10/test_h10_stage3_reader_report.R"
"scientific_assets","fifty_seven_exact",TRUE,"exact=57/57"
"filesystem","build_inventory_and_no_symlinks",TRUE,"entries=1180 symlinks=0"
"filesystem","protected_inventory",TRUE,"files=150"
"environment","authoritative_runtime",TRUE,"R=4.6.1 Quarto=1.9.37 gt=1.3.0"
