"path","sha256","bytes","evidence_role"
"audit/hypotheses/H10/report018_order58_result_render/build_delta_after_single_render.csv","9d7755de11d48ae7c3bcd5f6ae80e2820cfb813d3f7b258c4b4c38c6f9738ebc",677,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/execution_and_stop_record.csv","ef6b56ccd320f57e6181163f99acbd193f7ade3ab58601d6339c886d133da191",539,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/fail_closed_verification_checks.csv","e0856e0ae95f2b5d5aa34458dad59f53410af4d844e4b016f3fddde5106e162b",1349,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/fixed_identity_audit.csv","5f03338ad35b247997d509537d65c805916166ce218ba3fb5231b31fa3f1ac00",3731,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/order58_fail_closed_record.md","ae2053164f866770b04443b3b51e3e95288cae7e3d468ed1ba85698441c124f8",2392,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/preflight_checks.csv","02eaa8a0d96451237325aa3d3c542a1e487f758f03688183c0b9fbe722176a6c",1440,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/reader_required_text_audit.csv","aef9d48af3d23fdaf89b6187f3ad3ca49985dfa6ae804373a11a537b8a08209f",1275,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/reader_test_zero_context.diff","630ab8384016454595b42c6556f1762303e038bb74d0b1d79d6f593fceea4fe7",3527,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/semantic_reverse_and_reapply_audit.csv","3f487d2b2f15207d18fbf6e62fe5f50f86967c2c5451b8a39bc040cd843135bd",420,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/stage3_historical_transition_audit.csv","aeac41fdac27fa864e99fbc5bde4266030a5c24228ade182c1918f4e414dc6e2",1109,"order58_task_owned_evidence"
"audit/hypotheses/H10/report018_order58_result_render/verify_h10_order58_result_render.R","e4d79d8112393bdc5fef01868b20fd69e5a8e7fbe799ac919fb67e7a1b7aa70c",22842,"order58_task_owned_evidence"
"/private/tmp/h10-order58-semantic.UelLEK/gt_html_semantic_post_render_summary.csv","23c7f36ee58748a3146f2f30a9575972cdd317d057b753e809fb56e02ea7c5e5",456,"external_semantic_summary"
"/private/tmp/h10-order58-semantic.UelLEK/001__build__nathealth__notebooks__hypotheses__H10.html_gt_semantic_ledger.csv","094c126424e79332133cb82a879362d2b9a7dbd8c075983cfe7ba2c287574ed9",178781,"external_semantic_ledger"
