check,observation,status
native_gt_count,"14 unique native gt endpoints, including accepted METRIC-011 table tbl-l10-numerical-zero",PASS
table_structure,"All captions, nonempty headers, body rows, and intended source-note roles present",PASS
required_reader_text,"METRIC-010, METRIC-011, PREP-003, FIND-044, current MDER counts, and no-discrepancy qualification present",PASS
mder_figure,"PNG present with substantive 200-character alt text, caption, and paired source-data link",PASS
reader_links,"Five labeled reader-facing main links retained; local targets and fragments unchanged from the passing semantic audit",PASS
forbidden_hrefs,"No internal .qmd, file://, _build, build-directory, or absolute-local rendered href",PASS
navigation,"Preparation 04 active and H06 complementary daily results retained in sidebar",PASS
render_output,"No raw console/tibble output, unresolved cross-reference, or rendered error text",PASS
site_labels,"No individual site names are displayed, so country coding is not applicable",PASS
qualification,"PREP-003/FIND-044 remains visible and unchanged in meaning",PASS
