"page","path","role","source_spec","baseline_bytes","current_bytes","baseline_sha256","current_sha256","exists","bytes_match","sha256_match","status"
"preparation04","artifacts/05_metrics/metric_derivation_settings.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",6984,6984,"60557fef4a509fea90adaa5b2416eac3c067cacbc500aaa8cae0dd12fc51a816","60557fef4a509fea90adaa5b2416eac3c067cacbc500aaa8cae0dd12fc51a816",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metric_state_interval_inputs.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",15733,15733,"1f06f7464eab7a05e32e59ed37f911348ec21f4fb4079e25b9f2d42bbaaa55e1","1f06f7464eab7a05e32e59ed37f911348ec21f4fb4079e25b9f2d42bbaaa55e1",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_30_minute.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",7779824,7779824,"559408cafb714fd7bea9c9146142a8610e5e4a66b1efc68dc4be789c7c66be79","559408cafb714fd7bea9c9146142a8610e5e4a66b1efc68dc4be789c7c66be79",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_30_minute.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",386544,386544,"558f69f9cb0009a8262429b906716809df1ade3a29080b33fdeea342d4b742dc","558f69f9cb0009a8262429b906716809df1ade3a29080b33fdeea342d4b742dc",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_admissibility.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",2516941,2516941,"e7b511432e4e4a9b406e4a7f83cb8bca2a10659d77013a44d50f8afd12a5f332","e7b511432e4e4a9b406e4a7f83cb8bca2a10659d77013a44d50f8afd12a5f332",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_censoring_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",348865,348865,"fd2b776b6eb913ccbe402c88f3fd364568a09d19907eae17317658e5e1ac0deb","fd2b776b6eb913ccbe402c88f3fd364568a09d19907eae17317658e5e1ac0deb",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_gap_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",75880,75880,"c6249ac0c45aac578fe47663a1bd5aa96d7e790d45556ac49840f83e375cfc2e","c6249ac0c45aac578fe47663a1bd5aa96d7e790d45556ac49840f83e375cfc2e",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_one_hour.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",4228294,4228294,"0c334acd9d4fe855bd0f7e9216e6cf9179fd4f4fce41f9269403fa89f9d8b432","0c334acd9d4fe855bd0f7e9216e6cf9179fd4f4fce41f9269403fa89f9d8b432",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_one_hour.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",224072,224072,"1eae0282f30e1b9cbc3c2acf6886907a9bd32d89979669003f00fbf1c2788ab5","1eae0282f30e1b9cbc3c2acf6886907a9bd32d89979669003f00fbf1c2788ab5",TRUE,TRUE,TRUE,"UNCHANGED"
"preparation04","artifacts/05_metrics/metrics_chest_participant_day.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",623797,623797,"6f648bc99955adbaf14b95dc987f4f1937de3d6546734a90bf8e56b14fa392ca","6f648bc99955adbaf14b95dc987f4f1937de3d6546734a90bf8e56b14fa392ca",TRUE,TRUE,TRUE,"UNCHANGED"
