"page","path","role","source_spec","bytes","sha256"
"preparation07","artifacts/03_coverage/light_glasses_coverage.rds","accepted_prepared_input","artifacts/03_coverage/light_glasses_coverage.rds",19922480,"00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee"
"preparation07","artifacts/06_model_data/context/site_solar_context.rds","accepted_solar_input","artifacts/06_model_data/context/site_solar_context.rds",41068,"b0e8de539572ee595cc91027e7a2d919ba01237f780e50a76e5e4468d497c4bf"
"preparation07","artifacts/08_diagnostics/prepared_day_showcase/eligible_day_counts.csv","accepted_display_manifest_member","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",108,"c80e41ddc53ad1d5a68d4dafd2adfc6c939b947b875d0286c6ebb6291fd833a4"
"preparation07","artifacts/08_diagnostics/prepared_day_showcase/selected_days.csv","accepted_display_manifest_member","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",1334,"36490be48ae13b5da8f7534af35652b90a3ee4b4c83ab595c5deb28c1f4c5481"
"preparation07","artifacts/08_diagnostics/prepared_day_showcase/selection_settings.csv","accepted_display_manifest_member","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",544,"807039893f3a464472ab490fac192d1d8e5b4882fc78129ac29ab4834d926121"
"preparation07","artifacts/10_figures/prepared_day_showcase.png","accepted_display_manifest_member","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",808132,"a35e8189bdbdb450411bfe7f71d52964c17e45a7a26fdb44e82776d201b00ff3"
"preparation07","artifacts/10_figures/prepared_day_showcase.svg","accepted_display_manifest_member","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",2408619,"5ad003220cb1d5a1d2b223af206f4a1e608b4e1fa0e695d656989dde62b0ea4a"
"preparation07","artifacts/11_source_data/prepared_day_showcase.csv","accepted_display_manifest_member","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",3297558,"15e12011effbdf8fdbf7835be235b7b50406838278d411df023e924e81bea1e4"
"preparation07","artifacts/12_manifests/prepared_day_showcase_artifacts.csv","accepted_display_manifest","artifacts/12_manifests/prepared_day_showcase_artifacts.csv",2674,"c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322"
"preparation07","config/site_display_registry.csv","reader_facing_display_registry","config/site_display_registry.csv",295,"3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809"
"preparation07","config/site_metadata.csv","accepted_site_input","config/site_metadata.csv",2439,"8aa5492ea357fa2e91b5d5fa3c9fd990ba82149632962320b4834e4e5693291b"
"preparation07","notebooks/preparation/07_example_days.qmd","render_source","notebooks/preparation/07_example_days.qmd",33142,"fbb37a1e0d209c58a33d53e121a00921cedf4ccfa03be104d76302ff2023302e"
