"record_type","path","sha256","bytes","role"
"accepted_source","notebooks/preparation/02_coverage_sample_flow.qmd","572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd","28373","Preparation 02 source after the one authorized Mermaid direction repair"
"render_configuration","_quarto-nathealth.yml","b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5","7031","Accepted nathealth profile held unchanged"
"accepted_handoff","audit/handoffs/preparation_reports_worker_handoff.md","ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640","31435","Accepted owner handoff read before execution"
"focused_test","tests/test_preparation02_report.R","1a6fd5fb83fdefa7e7862c055fee71b6d6b9508a59b0a434b20936b51cea52c3","6169","Focused bounded-render source test"
"scoped_baseline","audit/preparation_reports/report017_preparation02_diagram_prerender_scoped_readset.csv","4551e62feff0f744278016895d5a980caf3c316b9386c293f471a2ae073462c2","6637","Pre-render 32-row scoped baseline"
"scoped_verification","audit/preparation_reports/report017_preparation02_diagram_postrender_scoped_verification.csv","6abd7f479f283f95c94c8dd571dce1c25cdd5bd90ce7580c52ed8b7f6bbd3722","9941","Immediate post-render protected-input comparison"
"scoped_verification","audit/preparation_reports/report017_preparation02_diagram_final_scoped_verification.csv","6abd7f479f283f95c94c8dd571dce1c25cdd5bd90ce7580c52ed8b7f6bbd3722","9941","Post-loopback protected-input comparison"
"rendered_target","_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","0eeb0114db9161d5bc69b9a0186bd629b302d5fec2e08dcf35e78d049f20886d","313890","Accepted Preparation 02 HTML after the diagram repair"
"render_support","_build/nathealth/search.json","fedf8b394efb2fe499b8f05168b36e202e51ca023b8016577c53b93633b36e46","1535458","Search index updated by the target render"
"render_support","_build/nathealth/sitemap.xml","fb7d35e07c77e21ea3b231276fb89711e326ed49837f5d24654fe50d4936c5f8","5219","Sitemap updated by the target render"
"link_target","_build/nathealth/notebooks/preregistration_deviations.html","c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880","160936","Resolved DEV-055 rendered target"
"prior_record","audit/preparation_reports/report017_preparation02_repeat_visual_verification.md","5b610ffb983227086f296654ed2c680591b2603faa2bbee870933c873856afd6","9652","Sealed repeat-visual failure preserved before the diagram repair"
"prior_manifest","audit/preparation_reports/report017_preparation02_repeat_visual_manifest.csv","e0aacb13563da72e9e8025aedf9d303b43c339fb3d6da7b32eba528d1c23e338","2914","Non-circular manifest for the sealed repeat-visual failure"
"verification_record","audit/preparation_reports/report017_preparation02_diagram_verification.md","b1edcf7e22012c3ff6809429ef553f92d35cfb4c0a8cd6f2e0b64e1702e14f9e","9990","Final accepted diagram-repair render and visual-verification record"
