"check","status"
"native_gt_count_14",TRUE
"expected_table_ids",TRUE
"unique_table_ids",TRUE
"nonempty_table_captions",TRUE
"table_headers_present",TRUE
"table_rows_present",TRUE
"expected_source_notes_intact",TRUE
"required_reader_text",TRUE
"mder_figure_present",TRUE
"mder_caption_nonempty",TRUE
"mder_alt_substantive",TRUE
"mder_source_data_link",TRUE
"no_empty_link_labels",TRUE
"no_forbidden_hrefs",TRUE
"local_files_resolve",TRUE
"local_fragments_resolve",TRUE
"active_preparation04_navigation",TRUE
"h06_daily_in_sidebar",TRUE
"no_raw_or_error_output",TRUE
