"page","path","role","source_spec","baseline_bytes","current_bytes","baseline_sha256","current_sha256","status"
"preparation04","artifacts/05_metrics/metric_derivation_settings.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",8128,8128,"5fe5a9b0c026e70ea89b476bef552ec78cc502ac058e29552720b1c95c7063b8","5fe5a9b0c026e70ea89b476bef552ec78cc502ac058e29552720b1c95c7063b8","unchanged"
"preparation04","artifacts/05_metrics/metric_state_interval_inputs.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",15733,15733,"1f06f7464eab7a05e32e59ed37f911348ec21f4fb4079e25b9f2d42bbaaa55e1","1f06f7464eab7a05e32e59ed37f911348ec21f4fb4079e25b9f2d42bbaaa55e1","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_30_minute.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",7779824,7779824,"559408cafb714fd7bea9c9146142a8610e5e4a66b1efc68dc4be789c7c66be79","559408cafb714fd7bea9c9146142a8610e5e4a66b1efc68dc4be789c7c66be79","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_30_minute.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",386832,386832,"eadb3acf88037b365c2957013cf1654aadefbd0db42871e4d60dc02341987c9d","eadb3acf88037b365c2957013cf1654aadefbd0db42871e4d60dc02341987c9d","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_admissibility.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",2516941,2516941,"e7b511432e4e4a9b406e4a7f83cb8bca2a10659d77013a44d50f8afd12a5f332","e7b511432e4e4a9b406e4a7f83cb8bca2a10659d77013a44d50f8afd12a5f332","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_censoring_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",348865,348865,"fd2b776b6eb913ccbe402c88f3fd364568a09d19907eae17317658e5e1ac0deb","fd2b776b6eb913ccbe402c88f3fd364568a09d19907eae17317658e5e1ac0deb","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_gap_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",75880,75880,"c6249ac0c45aac578fe47663a1bd5aa96d7e790d45556ac49840f83e375cfc2e","c6249ac0c45aac578fe47663a1bd5aa96d7e790d45556ac49840f83e375cfc2e","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_numerical_zero_audit.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",3152,3152,"49416275df317caa3134549f8c966fadc4fcf9dcb52d45f9776212fd41ae656b","49416275df317caa3134549f8c966fadc4fcf9dcb52d45f9776212fd41ae656b","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_one_hour.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",4228294,4228294,"0c334acd9d4fe855bd0f7e9216e6cf9179fd4f4fce41f9269403fa89f9d8b432","0c334acd9d4fe855bd0f7e9216e6cf9179fd4f4fce41f9269403fa89f9d8b432","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_one_hour.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",224372,224372,"c0339a516e1cee47dbf238dc2f47f69b41a089c4fec6e817b39e210291c6931b","c0339a516e1cee47dbf238dc2f47f69b41a089c4fec6e817b39e210291c6931b","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_participant_day.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",623697,623697,"3394c4ba3bd20add15942daa0e4e4d71f1ec6570223e5ef397cb2cde48875ca7","3394c4ba3bd20add15942daa0e4e4d71f1ec6570223e5ef397cb2cde48875ca7","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_participant_day.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",84960,84960,"fa1675bfd8d8430eb6220b5e3716d414445f0aafdb75d398523a9884c1e6aeed","fa1675bfd8d8430eb6220b5e3716d414445f0aafdb75d398523a9884c1e6aeed","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_participant.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",26359,26359,"244ee135d82763853894ecb1171c00dc1e041a9724e70cd3de6d5899a5a4fff2","244ee135d82763853894ecb1171c00dc1e041a9724e70cd3de6d5899a5a4fff2","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_participant.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",6020,6020,"3ee4f38720f2d1566a95df4ff23924ba6e878c5663b2fa804b042585bd88367d","3ee4f38720f2d1566a95df4ff23924ba6e878c5663b2fa804b042585bd88367d","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_support_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",2427534,2427534,"c7c5b1394fce43a321c29d84a2b53707bdab0a3c481b0b1bef8f786da789fe3f","c7c5b1394fce43a321c29d84a2b53707bdab0a3c481b0b1bef8f786da789fe3f","unchanged"
"preparation04","artifacts/05_metrics/metrics_chest_values_long.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",3749835,3749835,"bee4c4a8cf01e316736e4312b9bb0ecb8567433cc1b73fbaf70f8ba146cafd55","bee4c4a8cf01e316736e4312b9bb0ecb8567433cc1b73fbaf70f8ba146cafd55","unchanged"
"preparation04","artifacts/05_metrics/metrics_glasses_30_minute.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",7219230,7219230,"4e4a3bc56e8442fc7788c508dd665208ea663d87e25ef3f85180fa1cef3b06ee","4e4a3bc56e8442fc7788c508dd665208ea663d87e25ef3f85180fa1cef3b06ee","unchanged"
"preparation04","artifacts/05_metrics/metrics_glasses_30_minute.rds","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",352112,352112,"efdddbf03fcc836b08acada16f063191ad64f08b7dc7bda98510837adfec2278","efdddbf03fcc836b08acada16f063191ad64f08b7dc7bda98510837adfec2278","unchanged"
"preparation04","artifacts/05_metrics/metrics_glasses_admissibility.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",2318812,2318812,"49370ca087ca9946f2d895425076548ab51ae0205c71a77508d7e261d8654efb","49370ca087ca9946f2d895425076548ab51ae0205c71a77508d7e261d8654efb","unchanged"
"preparation04","artifacts/05_metrics/metrics_glasses_censoring_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",316993,316993,"fabd450ccb578f7e684af621369ffef7177acaec1e443ec4b573614b3b65b7b9","fabd450ccb578f7e684af621369ffef7177acaec1e443ec4b573614b3b65b7b9","unchanged"
"preparation04","artifacts/05_metrics/metrics_glasses_gap_diagnostics.csv","accepted_preparation_manifest_member","artifacts/12_manifests/metric_artifacts.csv",70497,70497,"661cbce597e1a075fac3d5dcfeb6aa2ad08ea9848a247197cc8be0c2aa02363a","661cbce597e1a075fac3d5dcfeb6aa2ad08ea9848a247197cc8be0c2aa02363a","unchanged"
