"endpoint","caption","containers","native_gt_tables","quarto_captions","source_notes","nonempty_headers","body_rows","status"
"tbl-normalized-participant-inputs","Table 1: Standardized participant, questionnaire, and diary inputs stored before any model-specific selection.",1,1,1,1,4,7,"PASS"
"tbl-incomplete-diary-intervals","Table 2: Stored diary records that remain available descriptively but cannot support interval-based calculations.",1,1,1,1,4,3,"PASS"
"tbl-gap-timing-unaware-artifacts","Table 3: Accepted data levels stored for the gap-timing-unaware dataset.",1,1,1,1,4,4,"PASS"
"tbl-gap-timing-unaware-correction","Table 4: Verified identifier correction recorded for the gap-timing-unaware dataset.",1,1,1,1,6,1,"PASS"
"tbl-site-daylight-joins","Table 5: Row-preservation checks when site and daylight context was added to the primary metric files.",1,1,1,1,8,6,"PASS"
"tbl-temporal-sequence-provenance","Table 6: Stored links between local-clock outcomes and actual elapsed-time intervals.",1,1,1,1,2,9,"PASS"
"tbl-shared-site-samples","Table 7: Participants, participant-days, and 30-minute grid rows in the shared primary inputs, by submitted-manuscript site.",1,1,1,1,11,9,"PASS"
"tbl-participant-input-availability","Table 8: Availability of questionnaire and diary inputs among participants with stored light-exposure metrics.",1,1,1,1,4,16,"PASS"
"tbl-current-mder-availability","Table 9: Current MDER availability and distribution summaries in the two stored prepared datasets.",1,1,1,1,7,6,"PASS"
"tbl-l10-zero-handoff","Table 10: Primary L10 values passed into the shared inputs as source-verified exact zeros.",1,1,1,1,3,3,"PASS"
"tbl-h01-primary-prepared-samples","Table 11: Available records for the 17 primary near-eye H01 prepared frames.",1,1,1,1,6,17,"PASS"
"tbl-h01-gap-prepared-samples","Table 12: Available records for the 17 gap-timing-unaware near-eye H01 prepared frames.",1,1,1,1,6,17,"PASS"
"tbl-render-boundary","Table 13: Bounded operations permitted while this report renders.",1,1,1,1,2,4,"PASS"
"tbl-manifest-identity","Table 14: File-identity checks read from eight preparation manifests, two stored MDER evidence manifests, and the METRIC-011 evidence manifest.",1,1,1,1,8,11,"PASS"
"tbl-current-mder-provenance","Table 15: Exact decisions, manifests, and bundle identities governing MDER in the current shared inputs.",1,1,1,1,4,14,"PASS"
"tbl-l10-preparation-provenance","Table 16: Exact METRIC-011 decisions, evidence, shared inputs, and preparation-manifest identities.",1,1,1,1,2,11,"PASS"
"tbl-script-execution-map","Table 17: Producing scripts and function modules in execution order; none is executed while this report renders.",1,1,1,1,2,14,"PASS"
"tbl-preparation06-handoff","Table 18: Stored Preparation 06 artifacts passed to later analysis stages.",1,1,1,1,3,13,"PASS"
"tbl-preparation06-environment","Table 19: Environment and execution boundary recorded for this review render.",1,1,1,1,2,5,"PASS"
