page,path,role,expand_manifest,path_column
shared,.Rprofile,project_environment,FALSE,
shared,renv.lock,project_environment,FALSE,
shared,renv/activate.R,project_environment,FALSE,
shared,_quarto.yml,shared_quarto_configuration,FALSE,
shared,_quarto-nathealth.yml,shared_quarto_configuration,FALSE,
shared,styles.css,shared_quarto_configuration,FALSE,
shared,audit/decisions/hypothesis_preparation_provenance_companions.md,shared_preparation_contract,FALSE,
shared,audit/decisions/gap_timing_unaware_dataset_terminology.md,shared_preparation_contract,FALSE,
shared,audit/decisions/manuscript_prepared_data_sensitivity.md,shared_preparation_contract,FALSE,
shared,audit/decisions/model_reporting.md,shared_preparation_contract,FALSE,
shared,audit/decisions/figure_readability_and_layout.md,shared_preparation_contract,FALSE,
shared,audit/hypotheses/implementation_result_comparison_contract.qmd,shared_preparation_contract,FALSE,
shared,audit/hypotheses/H02/H02_analysis_preparation.qmd,accepted_presentation_exemplar,FALSE,
preparation01,notebooks/preparation/01_import_state_alignment.qmd,render_source,FALSE,
preparation01,bibliography.bib,citation_source,FALSE,
preparation01,config/site_display_registry.csv,reader_facing_display_registry,FALSE,
preparation01,config/site_sources.csv,production_input_registry,FALSE,
preparation01,artifacts/12_manifests/import_alignment_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation01,artifacts/12_manifests/state_interval_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation01,artifacts/12_manifests/pinned_downloads.csv,fixed_source_manifest,TRUE,local_path
preparation01,scripts/pipeline/build_import_alignment.R,described_production_script,FALSE,
preparation01,scripts/pipeline/import_sources.R,described_function_module,FALSE,
preparation01,scripts/pipeline/time_axes.R,described_function_module,FALSE,
preparation01,scripts/pipeline/aggregation_coverage.R,described_function_module,FALSE,
preparation01,scripts/pipeline/state_alignment.R,described_function_module,FALSE,
preparation01,scripts/pipeline/state_interval_projection.R,described_function_module,FALSE,
preparation01,scripts/pipeline/verify_import_alignment_artifacts.R,described_verification_module,FALSE,
preparation02,notebooks/preparation/02_coverage_sample_flow.qmd,render_source,FALSE,
preparation02,config/site_display_registry.csv,reader_facing_display_registry,FALSE,
preparation02,artifacts/12_manifests/coverage_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation02,artifacts/12_manifests/coverage_artifacts.csv,accepted_preparation_inputs,TRUE,input_path
preparation02,scripts/pipeline/build_coverage_sample_flow.R,described_production_script,FALSE,
preparation02,scripts/pipeline/aggregation_coverage.R,described_function_module,FALSE,
preparation02,scripts/pipeline/verify_coverage_artifacts.R,described_verification_module,FALSE,
preparation03,notebooks/preparation/03_reference_profiles.qmd,render_source,FALSE,
preparation03,artifacts/12_manifests/reference_profile_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation03,artifacts/04_reference_profiles/reference_profile_settings.csv,accepted_preparation_input_registry,TRUE,input_coverage_settings_path
preparation03,artifacts/04_reference_profiles/reference_profile_input_provenance.csv,accepted_preparation_inputs,TRUE,input_path
preparation03,scripts/pipeline/build_reference_profiles.R,described_production_script,FALSE,
preparation03,scripts/pipeline/reference_profiles.R,described_function_module,FALSE,
preparation03,scripts/pipeline/verify_reference_profile_artifacts.R,described_verification_module,FALSE,
preparation03,tests/test_reference_profiles.R,reported_scientific_test_source,FALSE,
preparation03,tests/test_verify_reference_profile_artifacts.R,reported_verification_test_source,FALSE,
preparation03,audit/findings/threshold_timing_zero_relevance_map.md,reported_verification_record,FALSE,
preparation03,audit/decisions/preparation03_version_specific_verification.md,version_specific_reporting_decision,FALSE,
preparation03,audit/ledgers/finding_register.csv,open_audit_item_registry,FALSE,
preparation04,notebooks/preparation/04_metric_derivation.qmd,render_source,FALSE,
preparation04,config/metric_display_registry.csv,reader_facing_display_registry,FALSE,
preparation04,artifacts/12_manifests/metric_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation04,artifacts/12_manifests/state_support_gate_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation04,artifacts/12_manifests/mder_support_gate_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation04,artifacts/05_metrics/metric_derivation_settings.csv,accepted_preparation_inputs,TRUE,coverage_path
preparation04,artifacts/05_metrics/metric_derivation_settings.csv,accepted_preparation_inputs,TRUE,coverage_settings_path
preparation04,artifacts/05_metrics/metric_derivation_settings.csv,accepted_preparation_inputs,TRUE,state_interval_manifest_path
preparation04,artifacts/05_metrics/metric_derivation_settings.csv,accepted_preparation_inputs,TRUE,reference_profiles_path
preparation04,artifacts/05_metrics/metric_derivation_settings.csv,accepted_preparation_inputs,TRUE,timing_exceedance_distributions_path
preparation04,artifacts/05_metrics/metric_derivation_settings.csv,accepted_preparation_inputs,TRUE,relevance_maps_path
preparation04,artifacts/05_metrics/metric_state_interval_inputs.csv,accepted_preparation_inputs,TRUE,state_interval_path
preparation04,artifacts/05_metrics/state_support_gate_inputs.csv,accepted_preparation_inputs,TRUE,coverage_path
preparation04,artifacts/08_diagnostics/mder_support_gate/mder_support_gate_inputs.csv,accepted_preparation_inputs,TRUE,path
preparation04,scripts/pipeline/build_mder_support_gate.R,described_production_script,FALSE,
preparation04,scripts/pipeline/mder_support_gate.R,described_function_module,FALSE,
preparation04,scripts/pipeline/build_metric_derivation.R,described_production_script,FALSE,
preparation04,scripts/pipeline/metric_derivation.R,described_function_module,FALSE,
preparation04,scripts/pipeline/state_interval_projection.R,described_function_module,FALSE,
preparation04,scripts/pipeline/time_support.R,described_function_module,FALSE,
