page,path,role,source_spec,older_bytes,current_bytes,older_sha256,current_sha256,status,reconciliation_evidence
preparation07,artifacts/03_coverage/light_glasses_coverage.rds,accepted_prepared_input,artifacts/03_coverage/light_glasses_coverage.rds,19922480,19922480,00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee,00085dc32ae370f059da9bfb6dfbf560eda4c4376fdb0727d2ef3c0b4fec34ee,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/06_model_data/context/site_solar_context.rds,accepted_solar_input,artifacts/06_model_data/context/site_solar_context.rds,41068,41068,b0e8de539572ee595cc91027e7a2d919ba01237f780e50a76e5e4468d497c4bf,39ffe488de86f5d7cdc56d65c582c9de31f9054f8565936b4ec74e01491f26d0,accepted_later_identity,accepted current METRIC-011 site-context input
preparation07,artifacts/08_diagnostics/prepared_day_showcase/eligible_day_counts.csv,accepted_display_manifest_member,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,108,108,c80e41ddc53ad1d5a68d4dafd2adfc6c939b947b875d0286c6ebb6291fd833a4,c80e41ddc53ad1d5a68d4dafd2adfc6c939b947b875d0286c6ebb6291fd833a4,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/08_diagnostics/prepared_day_showcase/selected_days.csv,accepted_display_manifest_member,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,1334,1334,36490be48ae13b5da8f7534af35652b90a3ee4b4c83ab595c5deb28c1f4c5481,36490be48ae13b5da8f7534af35652b90a3ee4b4c83ab595c5deb28c1f4c5481,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/08_diagnostics/prepared_day_showcase/selection_settings.csv,accepted_display_manifest_member,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,544,544,807039893f3a464472ab490fac192d1d8e5b4882fc78129ac29ab4834d926121,807039893f3a464472ab490fac192d1d8e5b4882fc78129ac29ab4834d926121,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/10_figures/prepared_day_showcase.png,accepted_display_manifest_member,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,808132,808132,a35e8189bdbdb450411bfe7f71d52964c17e45a7a26fdb44e82776d201b00ff3,a35e8189bdbdb450411bfe7f71d52964c17e45a7a26fdb44e82776d201b00ff3,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/10_figures/prepared_day_showcase.svg,accepted_display_manifest_member,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,2408619,2408619,5ad003220cb1d5a1d2b223af206f4a1e608b4e1fa0e695d656989dde62b0ea4a,5ad003220cb1d5a1d2b223af206f4a1e608b4e1fa0e695d656989dde62b0ea4a,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/11_source_data/prepared_day_showcase.csv,accepted_display_manifest_member,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,3297558,3297558,15e12011effbdf8fdbf7835be235b7b50406838278d411df023e924e81bea1e4,15e12011effbdf8fdbf7835be235b7b50406838278d411df023e924e81bea1e4,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,accepted_display_manifest,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,2674,2674,c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322,c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,config/site_display_registry.csv,reader_facing_display_registry,config/site_display_registry.csv,295,295,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,3d669d459ecc27d3154bbb5ff5b0d64cb510805d486b45264443228c44a6d809,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,config/site_metadata.csv,accepted_site_input,config/site_metadata.csv,2439,2439,8aa5492ea357fa2e91b5d5fa3c9fd990ba82149632962320b4834e4e5693291b,8aa5492ea357fa2e91b5d5fa3c9fd990ba82149632962320b4834e4e5693291b,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,notebooks/preparation/07_example_days.qmd,render_source,notebooks/preparation/07_example_days.qmd,33142,33032,fbb37a1e0d209c58a33d53e121a00921cedf4ccfa03be104d76302ff2023302e,2293d2520dabaacc7394a39c00b5ac62911da1d34fb489ecf4bf232c55a2998f,accepted_later_identity,accepted current reader source
preparation07,scripts/pipeline/build_prepared_day_showcase.R,described_production_script,scripts/pipeline/build_prepared_day_showcase.R,967,967,44a5d60a8fd6f97fa9a8f4fce29485e312efbe18fdaaa9d755d58a945a4389cb,44a5d60a8fd6f97fa9a8f4fce29485e312efbe18fdaaa9d755d58a945a4389cb,unchanged,exact size and SHA-256 match to older page-specific baseline
preparation07,scripts/pipeline/prepared_day_showcase.R,described_function_module,scripts/pipeline/prepared_day_showcase.R,25520,25549,820fa16531f505e4561c133ccea19cfb8924218fde82d7548c0af281b538d3ee,d77ca354f9bc927c293a5160194c481343f8e14cfc014a9e6985f70694db1ba0,accepted_later_identity,accepted REPORT-013 explicit symlog arguments
preparation07,scripts/pipeline/verify_prepared_day_showcase_artifacts.R,described_verification_module,scripts/pipeline/verify_prepared_day_showcase_artifacts.R,18675,18675,9a39ce7ab8e99187fdf14f2b750c3e3f9aa308de127e75a4923639dfb84d49b6,9a39ce7ab8e99187fdf14f2b750c3e3f9aa308de127e75a4923639dfb84d49b6,unchanged,exact size and SHA-256 match to older page-specific baseline
