page,path,role,expand_manifest,path_column
shared,.Rprofile,project_environment,FALSE,
shared,renv.lock,project_environment,FALSE,
shared,renv/activate.R,project_environment,FALSE,
shared,_quarto.yml,shared_quarto_configuration,FALSE,
shared,_quarto-nathealth.yml,shared_quarto_configuration,FALSE,
shared,styles.css,shared_quarto_configuration,FALSE,
shared,audit/decisions/figure_readability_and_layout.md,shared_reporting_contract,FALSE,
shared,audit/decisions/gap_timing_unaware_dataset_terminology.md,shared_reporting_contract,FALSE,
shared,audit/decisions/model_reporting.md,shared_reporting_contract,FALSE,
preparation03,notebooks/preparation/03_reference_profiles.qmd,render_source,FALSE,
preparation03,artifacts/12_manifests/reference_profile_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation03,scripts/pipeline/build_reference_profiles.R,described_production_script,FALSE,
preparation03,scripts/pipeline/reference_profiles.R,described_function_module,FALSE,
preparation03,scripts/pipeline/verify_reference_profile_artifacts.R,described_verification_module,FALSE,
preparation03,audit/findings/threshold_timing_zero_relevance_map.md,reported_verification_record,FALSE,
preparation03,audit/decisions/preparation03_version_specific_verification.md,version_specific_reporting_decision,FALSE,
preparation03,audit/decisions/mder_mean_of_viable_ratios.md,controlling_mder_decision,FALSE,
preparation03,tests/test_preparation03_report.R,report_contract,FALSE,
preparation04,notebooks/preparation/04_metric_derivation.qmd,render_source,FALSE,
preparation04,config/metric_display_registry.csv,reader_facing_display_registry,FALSE,
preparation04,artifacts/12_manifests/metric_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation04,artifacts/12_manifests/state_support_gate_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation04,artifacts/12_manifests/mder_support_gate_artifacts.csv,historical_mder_manifest,FALSE,
preparation04,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,current_gap_timing_unaware_manifest,TRUE,path
preparation04,artifacts/08_diagnostics/mder_METRIC-010/audit_manifest.csv,current_mder_audit_manifest,FALSE,
preparation04,artifacts/08_diagnostics/mder_METRIC-010/verification_summary.csv,current_mder_audit_output,FALSE,
preparation04,artifacts/08_diagnostics/mder_METRIC-010/distribution_summary.csv,current_mder_audit_output,FALSE,
preparation04,artifacts/08_diagnostics/mder_METRIC-010/paired_comparisons.csv,current_mder_audit_output,FALSE,
preparation04,artifacts/08_diagnostics/mder_METRIC-010/support_by_site.csv,current_mder_audit_output,FALSE,
preparation04,artifacts/08_diagnostics/mder_METRIC-010/key_level_comparison.csv,current_mder_audit_output,FALSE,
preparation04,artifacts/08_diagnostics/mder_METRIC-010/non_mder_invariance.csv,current_mder_audit_output,FALSE,
preparation04,audit/reconciliation/mder_METRIC-010_gap_repair/gap_repair_evidence_manifest.csv,current_gap_repair_evidence_manifest,TRUE,path
preparation04,scripts/pipeline/build_metric_derivation.R,described_production_script,FALSE,
preparation04,scripts/pipeline/metric_derivation.R,described_function_module,FALSE,
preparation04,scripts/pipeline/state_interval_projection.R,described_function_module,FALSE,
preparation04,scripts/pipeline/time_support.R,described_function_module,FALSE,
preparation04,scripts/pipeline/verify_metric_derivation_mder.R,described_verification_module,FALSE,
preparation04,audit/scripts/finalize_mder_METRIC_010.R,described_audit_finalizer,FALSE,
preparation04,audit/scripts/repair_gap_mder_METRIC_010.R,described_gap_repair_script,FALSE,
preparation04,audit/scripts/finalize_gap_mder_METRIC_010_evidence.R,described_gap_repair_finalizer,FALSE,
preparation04,audit/decisions/metric_implementation_parameters.md,scientific_decision,FALSE,
preparation04,audit/decisions/metric_validity.md,scientific_decision,FALSE,
preparation04,audit/decisions/mder_mean_of_viable_ratios.md,controlling_mder_decision,FALSE,
preparation04,audit/decisions/preparation04_version_specific_verification.md,version_specific_reporting_decision,FALSE,
preparation04,audit/ledgers/finding_register.csv,open_audit_item_registry,FALSE,
preparation04,tests/test_preparation04_report.R,report_contract,FALSE,
preparation06,notebooks/preparation/06_model_ready_datasets.qmd,render_source,FALSE,
preparation06,config/site_display_registry.csv,reader_facing_display_registry,FALSE,
preparation06,artifacts/12_manifests/model_input_normalization.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/site_solar_context_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/06_model_data/temporal_provenance/artifact_manifest.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/base_model_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/H01_model_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/H01_manuscript_prepared_data_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/preanalysis_comparison_artifacts.csv,accepted_preparation_manifest,TRUE,path
preparation06,artifacts/12_manifests/metric_artifacts.csv,current_metric_manifest,FALSE,
preparation06,artifacts/12_manifests/mder_support_gate_artifacts.csv,historical_mder_gate_manifest,FALSE,
preparation06,artifacts/08_diagnostics/mder_METRIC-010/audit_manifest.csv,current_mder_audit_manifest,FALSE,
preparation06,artifacts/08_diagnostics/mder_METRIC-010/verification_summary.csv,current_mder_audit_output,FALSE,
preparation06,artifacts/08_diagnostics/mder_METRIC-010/distribution_summary.csv,current_mder_audit_output,FALSE,
preparation06,artifacts/08_diagnostics/mder_METRIC-010/non_mder_invariance.csv,current_mder_audit_output,FALSE,
