viewport,check,component,source_pt,display_width_px,effective_pt,threshold_pt,observed,status,detail
desktop_1440x1000,page_horizontal_overflow,document,"","","","",client=1425; scroll=1425,PASS,No page-level horizontal overflow
desktop_1440x1000,mermaid_label_size,TB Mermaid,12,836.3984375,12,7,labels=8; clipped=0; overlaps=0,PASS,Effective size = nominal label points x displayed SVG width / viewBox width
desktop_1440x1000,figure_text_size,fig-example-days-1:legend_title,10,1148.5,12.593201754385966,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-1:legend_text,10,1148.5,12.593201754385966,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-1:facet_strip,10,1148.5,12.593201754385966,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-1:axis_text,10,1148.5,12.593201754385966,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_visual_integrity,fig-example-days-1,"",1148.5,"","",alt_chars=390; caption_chars=360,PASS,"Manual screenshot review: traces, points, panels, bands, daylight regions, labels, units, colours, and site order are intact with no clipping, overlap, crowding, or broken units"
desktop_1440x1000,figure_text_size,fig-example-days-2:legend_title,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-2:legend_text,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-2:facet_strip,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-2:axis_text,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_visual_integrity,fig-example-days-2,"",1148.5,"","",alt_chars=310; caption_chars=144,PASS,"Manual screenshot review: traces, points, panels, bands, daylight regions, labels, units, colours, and site order are intact with no clipping, overlap, crowding, or broken units"
desktop_1440x1000,figure_text_size,fig-example-days-3:legend_title,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-3:legend_text,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-3:facet_strip,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_text_size,fig-example-days-3:axis_text,10,1148.5,12.593201754385966,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
desktop_1440x1000,figure_visual_integrity,fig-example-days-3,"",1148.5,"","",alt_chars=309; caption_chars=144,PASS,"Manual screenshot review: traces, points, panels, bands, daylight regions, labels, units, colours, and site order are intact with no clipping, overlap, crowding, or broken units"
desktop_1440x1000,native_table_usability,tbl-example-day-selection,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,native_table_usability,tbl-example-day-availability,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,native_table_usability,tbl-example-day-inputs,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,native_table_usability,tbl-example-day-rules,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,native_table_usability,tbl-example-day-scripts,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,native_table_usability,tbl-example-day-current-checks,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,native_table_usability,tbl-example-day-artifacts,"",1148.5,8.25,7,client=1149; scroll=1149; overflowX=auto,PASS,Native HTML table is contained; horizontal scrolling remains available if content later exceeds the container
desktop_1440x1000,callout_and_navigation,page chrome,"",1148.5,"","",callout_width=1148.5,PASS,"Manual screenshot review: headings, callout, active navigation, breadcrumbs, captions, and links remain usable"
narrow_708x1000,page_horizontal_overflow,document,"","","","",client=693; scroll=693,PASS,No page-level horizontal overflow
narrow_708x1000,mermaid_label_size,TB Mermaid,12,642,9.210921080899316,7,labels=8; clipped=0; overlaps=0,PASS,Effective size = nominal label points x displayed SVG width / viewBox width
narrow_708x1000,figure_text_size,fig-example-days-1:legend_title,10,642,7.0394736842105265,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-1:legend_text,10,642,7.0394736842105265,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-1:facet_strip,10,642,7.0394736842105265,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_text_size,fig-example-days-1:axis_text,10,642,7.0394736842105265,7,natural=2850x1260; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
narrow_708x1000,figure_visual_integrity,fig-example-days-1,"",642,"","",alt_chars=390; caption_chars=360,PASS,"Manual screenshot review: traces, points, panels, bands, daylight regions, labels, units, colours, and site order are intact with no clipping, overlap, crowding, or broken units"
narrow_708x1000,figure_text_size,fig-example-days-2:legend_title,10,642,7.0394736842105265,7,natural=2850x1110; clippedX=false,PASS,Effective size = 10 pt x displayed width / (9.5 in x 96 CSS px/in)
