"record_type","path","sha256","bytes","role"
"accepted_source","notebooks/preparation/02_coverage_sample_flow.qmd","b65673d2ecfd8913a6e9c8ba06d7c1b98bca3665769864bb7f7e68be78a8f3ef","28373","Preparation 02 source after the three authorized cross-reference repairs"
"render_configuration","_quarto-nathealth.yml","b9c10a09d525d7de37bb08f5160e37409e382df6be0af58698a8219783b84ed5","7031","Accepted nathealth profile held unchanged"
"accepted_handoff","audit/handoffs/preparation_reports_worker_handoff.md","ae882eb5a3079851d29367ad1883c7a4115edaf8774e3271d69ecf7e90dc4640","31435","Accepted owner handoff read before execution"
"focused_test","tests/test_preparation02_report.R","1a6fd5fb83fdefa7e7862c055fee71b6d6b9508a59b0a434b20936b51cea52c3","6169","Focused bounded-render source test"
"scoped_baseline","audit/preparation_reports/report017_preparation02_repair_prerender_scoped_readset.csv","1d57c848257242e22c27b1461d0a39855ae2df344c62bed0717fa0795277b3bd","6637","Pre-render 32-row scoped baseline"
"scoped_verification","audit/preparation_reports/report017_preparation02_repair_postrender_scoped_verification.csv","43cf3a5b185475410640ff53fe23f669928b36344497839701f87b34939c88b2","9941","Immediate post-render protected-input comparison"
"scoped_verification","audit/preparation_reports/report017_preparation02_repair_final_scoped_verification.csv","43cf3a5b185475410640ff53fe23f669928b36344497839701f87b34939c88b2","9941","Post-loopback protected-input comparison"
"rendered_target","_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","badeb5f5c1c02436cbb33200841921d2e2010bf413b3074b93b666f996dd07a6","313890","Preparation 02 HTML with the repeat visual stop"
"render_support","_build/nathealth/search.json","c044834c4d756ce163f09fb867326c1f3958f8a4c5a29cfd3cc2567873021e32","1535458","Search index updated by the fresh target render"
"render_support","_build/nathealth/sitemap.xml","067a1de50590667ffa6efa462817c90b71d33a30608bc9bfdb0ecc51eb1459ab","5219","Sitemap updated by the fresh target render"
"link_target","_build/nathealth/notebooks/preregistration_deviations.html","c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880","160936","Resolved DEV-055 rendered target"
"prior_record","audit/preparation_reports/report017_preparation02_verification.md","03c4e283c691be459b4fa3020e30dcefd12a083c97b37ea0af659607439c8721","12063","Sealed first failed-visual record preserved unchanged"
"prior_manifest","audit/preparation_reports/report017_preparation02_failed_visual_manifest.csv","c5e6eb7209cf0ce69e5ab7e3da28c757ed0df18498c40d405d28c9ce87e0b3f2","2412","Non-circular manifest for the first failed-visual record"
"verification_record","audit/preparation_reports/report017_preparation02_repeat_visual_verification.md","5b610ffb983227086f296654ed2c680591b2603faa2bbee870933c873856afd6","9652","Sealed repeat visual record with diagram-size failure and teardown evidence"
