"table_id","caption","header_cells","body_rows","source_note_nodes"
"tbl-preparation04-inputs","Table 1: Exact stored inputs to metric derivation and the scientific role of each.",2,5,2
"tbl-metric-rules","Table 2: Metric construction, temporal support, and missing-data rules applied by the production scripts.",2,10,0
"tbl-l10-numerical-zero","Table 3: Primary L10 values changed from positive floating-point roundoff to source-verified exact zero.",4,3,2
"tbl-current-metric-sample","Table 4: Participants, participant-days, and complete time-grid rows in the current stored metric outputs.",6,2,2
"tbl-state-support","Table 5: Diary-period metric values retained at the fixed 70%, 80%, and 90% support cutoffs.",8,16,2
"tbl-mder-support","Table 6: Current MDER availability and distribution summaries under the same viable one-minute-ratio estimand.",7,6,2
"tbl-bin-support","Table 7: Stored 30-minute and hourly values with and without enough valid melEDI data.",6,4,2
"tbl-metric-availability","Table 8: Metric values calculated in the current stored outputs, shown as calculated / possible (percentage).",4,26,2
"tbl-gap-diagnostics","Table 9: Actual-time coverage, missing periods, diary-state uncertainty, and daylight-saving diagnostics in the current metric outputs.",8,2,2
"tbl-daylight-saving-diagnostics","Table 10: Daylight-saving minutes represented on the separate actual-time and local-clock grids.",4,2,2
"tbl-script-execution-map","Table 11: Producing scripts and function modules in execution order; none is executed while this report renders.",2,7,2
"tbl-output-artifacts","Table 12: Preparation 04 artifacts stored for Preparation 06 and for metric-specific audit.",3,9,2
"tbl-current-manifest-validation","Table 13: Bounded file-identity checks for the current metric, repaired gap-timing-unaware, diary-period, MDER-audit, and L10 numerical-zero artifacts.",8,6,2
"tbl-version-specific-verification","Table 14: Which verification statements apply to the current and earlier Preparation 04 artifact versions.",2,5,2
