"page","path","role","source_spec","bytes","sha256"
"shared","_quarto-nathealth.yml","shared_quarto_configuration","_quarto-nathealth.yml",5810,"516ac36aee8bce6d29fc2c7df91a1e41d0d2bb078256be49b695c7622408c8e7"
"shared","_quarto.yml","shared_quarto_configuration","_quarto.yml",2517,"44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c"
"shared",".Rprofile","project_environment",".Rprofile",26,"3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4"
"shared","audit/decisions/figure_readability_and_layout.md","shared_preparation_contract","audit/decisions/figure_readability_and_layout.md",4124,"2196480dfef21525125d2b368a3692587a7eeb13827c3d0fb253ffd42a7b0b80"
"shared","audit/decisions/gap_timing_unaware_dataset_terminology.md","shared_preparation_contract","audit/decisions/gap_timing_unaware_dataset_terminology.md",2153,"c68ecb5b81639fddaa035ca2787ad43d1dd5106b7238f2f6d20db4d5df36a306"
"shared","audit/decisions/hypothesis_preparation_provenance_companions.md","shared_preparation_contract","audit/decisions/hypothesis_preparation_provenance_companions.md",8055,"dc9d899ced5655293673613b290755031b0e6564009692759d1dbda7028b9144"
"shared","audit/decisions/manuscript_prepared_data_sensitivity.md","shared_preparation_contract","audit/decisions/manuscript_prepared_data_sensitivity.md",4695,"70f0cbe9d12ed07d6eb429f0afb0e33f1975f676cbc912df6a2bb69267940fe8"
"shared","audit/decisions/model_reporting.md","shared_preparation_contract","audit/decisions/model_reporting.md",7897,"5ac9018167a33626e14a1de49fc183c938b3574a352fefc5c29a9b4c5005092d"
"shared","audit/hypotheses/H02/H02_analysis_preparation.qmd","accepted_presentation_exemplar","audit/hypotheses/H02/H02_analysis_preparation.qmd",51475,"52a1b3b85c4a375c44c0a2a83f542ea2663c7d233a6de18ed689cb2b7a0be557"
"shared","audit/hypotheses/implementation_result_comparison_contract.qmd","shared_preparation_contract","audit/hypotheses/implementation_result_comparison_contract.qmd",14532,"7251c35864812c42e990f9bdebc4038dcc940f6c906f90903dae508c935a6442"
"shared","renv.lock","project_environment","renv.lock",603493,"3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350"
"shared","renv/activate.R","project_environment","renv/activate.R",39946,"51798a35c2772b94b4a73ae7a7cc928975ff6e628a17bad1bc73d30defca82e6"
"shared","styles.css","shared_quarto_configuration","styles.css",302,"557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b"
